1c2e037cb0844c79cc4b698a93b4a5aca52ed9c5f9b1e206c7ec0be699fab1e2,b385296d6c865ae410c71c3c9ba9a7fbd678112dc55a448781a8dbe92a23f5e5,b13cc210272fbc04b7ac3fb84e20a551501b18db5e8faac52b3332729d2361dc,4b07056cb66e8c6ba4a2969c71d17d0cb92f781ee2432fa41f9a20ad55b1093f,e21d1016557b4a6960b36c03da6a477fc0200d6125b141c36d341e8f75042433,4b2dde91786077bc9b73883688eb357288cb8a139f8c35a5ddb1d77ff17a0312,b818b7cd543f52b7fdddb30d76e934f9d6f2328684dc4315f41b81768cfceca9,bc84424a08a978f0a23447ad822337baad7fc4259603374e575d2ce0da74df5a,e84d6a712fe44d44b3463393b07960aa891c8af1c5a1d4a9143d3c42396abb32,acb5a8aecfb4236f3f3d52daca4cae9826ad032678b1ac7de733843e51785a4c,06e10546ed54759e7568b851f62220ac336602a09952b21e6776dcf3791d43cf,0c6cd07dce5888bdf0a0e7d99d555c5751fa5d7b80ea9bb549c86a35ae089f4b,396b7584d4d1b0c295b101f46956f03ddc29f0e6a16f70c1eeabf42363531bdc,fcf9abcddbccf2ba1de06c6ab0c73a8b18faebb0b2ef241b3253003d0daccccf,ea37694b12b0f6ce677960ddb679cae679913ab7b9e29e8de5d286aa78e02783,0cdd8a1dd292da40ecfde6bb2130ad6d9e741d5ac8c49cf22cc336b6e44544de,9f4d5ab5663b41be53bf4af293020f00f282c8d965fb9fb58ad71a026d9d0808,114412000af38fed73c707a5520def68a2fc73c7c84f2bffc6b598eaa52876aa,91c6dea09321b1b0e9c9cacbd87fff21b614c956fb3432ab46e66dc25b212168,45446fb2e972f07750d7e5ce12e6d58d3877eec79e662ff2b41a11f84054b9b1,bcee2121afc8443b23c7940545e62815a69f17a55231e2d80dcd4eb5ba124a1b,5a4505c82d2e92a47bc6642152a92890b1f2e3808ac6b327e303435d2bbe36b9,93b53317d96fb6f39c6c30ec189d8c0a77d59d0a198b82aef4f2fb956ce16584,2d1c5cf36a30c1d96fdb3069ed6a192840376479d085b08cd2226030df2388d9,d72484b4d314316b58dbbba6aab7aaeda7e5d355ce80c4b784695aa1bb6f74b8,56fb5add99d785d7d4b2177c1ec963ef3ca4dd6bb0ea97cf66d630b3b230da34,1880d05a437e22674b5f33a593c9634f7d3d1be9e4ae91a5a88c2a3fdd45f361,0ae280770b8d0e9470c95ccb0556f1479cbe79d384e8b9004f05b19621420cb6,8a08012d17c40e74e22c09acfefea314af91ec66561b537178b4eef5e9f7d48a,35e96893825555c2a78ac45eecccce5b57799ace3e1788411cb104cf302f4b47,adfdc27dfa7d2ee83018830c5f89fbe3b0dff60788f1a7ad8dc1c4e8f99696e4,21629c8b1da1500494524d74fc408ec86f2a3ac9f9aeb7800b2692ff99995491,952fe73d8fac699be35d235db862bf9244b4970ba7cae2698756f08ccc92d8fc,d28b0255ca3866e69c703ddb23fb36c9da9df43a0a21c08348d70a1cff0a4879,adfeaef73eb9c104789e8792965d4ce1f61271a27819d78c72f9d6260ae7194e,ac4cb91dc729eae74a5f2001f75fb7d86f73b711b707531e551a8cf66dafa1d6,8688d72d83fa6ffa2a090a486ca28bd0279234494fefdd4f9fd2230205e2f2b1,95832537a93d3989239852944e22086b5facfd5479ef38e97ffa3ab939eeda4f,2dcbafa237bbf6e6f2b789c9e2e952e510d54ab017d720fc848947a31a7cc345,bb3e728013e59c718873b244b4de9e2839f5564212f599be42a751f8f599889d,3959f0ab4517cc3133fecb3f1467263cfd240696207cd3c13d24cfdf14cf740b
"620060001","61001005","1","0","3001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","3001","0","0","1","61001007","30","1","0","0","18","620130001","0","0","620090001","258","0","600110031","0","600000003"
"620060001","61001005","1","0","4001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","4001","0","0","1","61001007","30","1","0","0","18","620130001","0","0","620090001","258","0","600110041","0","600000004"
"620060002","61001005","1","0","5001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","5001","0","0","1","61001007","30","1","0","0","18","620130002","0","0","620090002","268","0","600110051","0","600000005"
"620060003","61001005","1","0","6001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","6001","0","0","1","61001007","30","1","0","0","18","620130003","0","0","620090003","273","0","600110061","0","600000006"
"620060004","61001005","1","0","7001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","7001","0","0","1","61001007","30","1","0","0","18","620130004","0","0","620090004","281","0","600110071","0","600000007"
"620060005","61001005","1","0","8001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","8001","0","0","1","61001007","30","1","0","0","18","620130005","0","0","620090005","288","0","600110081","0","600000008"
"620060006","61001005","1","0","9001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","9001","0","0","1","61001007","30","1","0","0","18","620130006","0","0","620090006","298","0","600110091","0","600000009"
"620060007","61001005","1","0","10001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","10001","0","0","1","61001007","30","1","0","0","18","620130007","0","0","620090007","309","0","600110101","0","600000010"
"620060008","61001005","1","0","11001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","11001","0","0","1","61001007","30","1","0","0","18","620130008","0","0","620090008","313","0","600110111","0","600000011"
"620060009","61001005","1","0","12001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","12001","0","0","1","61001007","30","1","0","0","18","620130009","0","0","620090009","321","0","600110121","0","600000012"
"620060010","61001005","1","0","13001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","13001","0","0","1","61001007","30","1","0","0","18","620130010","0","0","620090010","326","0","600110131","0","600000013"
"620060011","61001005","1","0","14001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","14001","0","0","1","61001007","30","1","0","0","18","620130011","0","0","620090011","336","0","600110141","0","600000014"
"620060012","61001005","1","0","15001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","15001","0","0","1","61001007","30","1","0","0","18","620130012","0","0","620090012","341","0","600110151","0","600000015"
"620060013","61001005","1","0","16001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","16001","0","0","1","61001007","30","1","0","0","18","620130013","0","0","620090013","351","0","600110161","0","600000016"
"620060014","61001005","1","0","17001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","17001","0","0","1","61001007","30","1","0","0","18","620130014","0","0","620090014","356","0","600110171","0","600000017"
"620060015","61001005","1","0","18001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","18001","0","0","1","61001007","30","1","0","0","18","620130015","0","0","620090015","366","0","600110181","0","600000018"
"620060016","61001005","1","0","19001","0","0","0","0","0","0","1","0","0","0","0","0","0","1","36","0","61001004","19001","0","0","1","61001007","30","1","0","0","18","620130016","0","0","620090016","371","0","600110191","0","600000019"
