d566bb4500faa6fcf7224bd89f69ab88b8a46df066dd19f46d71d16026c630b0,b5ffb2c4c535c825e7d232c967fdeecec3a0ee5a62216f894046012538574adc,e25ec36b57c01507fe7c0d2901795df5608b1fe97dbd67c086fca413548d0159,1cc0104990e66874b2d4aa72afa032a9d7f6fec7a74a36159207aa00a865f45a,874d34cdcee51922b5b1ed23af85b475439b8e2dfb6cdc43d2b0f4366930ac16,d4a5f59b53887abe6fd0fff459908b5a8b5da6c81f7f43b8d87cee47a2f3793e,7e67f92dbaa8422956799192546337f0e32e0cd2797aad655237ccb0699464f9
"2500","50000","94002","5126700","12","累計スコアを2500pt 獲得しよう","1"
"5000","50000","94002","0","12","累計スコアを5000pt 獲得しよう","1"
"7500","50000","94002","0","12","累計スコアを7500pt 獲得しよう","1"
"10000","1","2839","5126701","7","累計スコアを10000pt 獲得しよう","1"
"12500","80000","94002","0","12","累計スコアを12500pt 獲得しよう","1"
"15000","80000","94002","0","12","累計スコアを15000pt 獲得しよう","1"
"17500","80000","94002","0","12","累計スコアを17500pt 獲得しよう","1"
"20000","25","91002","5126702","8","累計スコアを20000pt 獲得しよう","1"
"22500","100000","94002","0","12","累計スコアを22500pt 獲得しよう","1"
"25000","100000","94002","0","12","累計スコアを25000pt 獲得しよう","1"
"27500","100","91002","0","8","累計スコアを27500pt 獲得しよう","1"
"30000","1","11001262","5126703","15","累計スコアを30000pt 獲得しよう","1"
"2500","50000","94002","5126710","12","累計スコアを2500pt 獲得しよう","2"
"5000","50000","94002","0","12","累計スコアを5000pt 獲得しよう","2"
"7500","50000","94002","0","12","累計スコアを7500pt 獲得しよう","2"
"10000","1","2840","5126711","7","累計スコアを10000pt 獲得しよう","2"
"12500","80000","94002","0","12","累計スコアを12500pt 獲得しよう","2"
"15000","80000","94002","0","12","累計スコアを15000pt 獲得しよう","2"
"17500","80000","94002","0","12","累計スコアを17500pt 獲得しよう","2"
"20000","25","91002","5126712","8","累計スコアを20000pt 獲得しよう","2"
"22500","100000","94002","0","12","累計スコアを22500pt 獲得しよう","2"
"25000","100000","94002","0","12","累計スコアを25000pt 獲得しよう","2"
"27500","100","91002","0","8","累計スコアを27500pt 獲得しよう","2"
"30000","1","11001263","5126713","15","累計スコアを30000pt 獲得しよう","2"
