e3e9378058595ae3fb407d856cf4c20973985a4f463588a814bd38b3a0b12ece,814098fb25597c50b8e63df6a6233cc8bf6100fc8f06aee84390be15cf4b78fe,470f2c451a069c04726f504c506455ca07e8917082a861af1caef8c88d5ed461,a9f6ba0ad122e4b2b46b97bb51addad426c6afdfd2a4efdae9477494b069bec7,6b268285e2466df38f6f295f478d34afb82c4eae863e3846a41a52e8a89f9980,4c45b99e8134572016a2486050d5e92314d1cef1d3011c861ce88efe5249e78e,66431e4ca139d309936fec97445996145c2df04fb8a387d44ba28ac8ca5abcfa,830179f9fe07678c48b70413d5b0392e3c8a63453392fa6d9e02cb750a325550,f0ab2e3a2184be5f77dcc62ea3982db23dcc55292cb308ba33471775c0076fbd
"1101001","0","0","1101002","21","0","0","600","0"
"1101002","600","0","1101003","22","0","0","2400","0"
"1101003","-1500","0","1","20","0","0","1","50"
"1101011","0","0","1101012","21","0","0","900","0"
"1101012","700","0","1101013","22","0","0","2100","0"
"1101013","-1500","0","1","20","0","0","1","200"
"1101021","0","0","1101022","21","0","0","400","0"
"1101022","500","0","1101023","22","0","0","2000","0"
"1101023","-1500","0","1","20","0","0","1","350"
"1101031","0","0","1101032","21","0","0","1000","0"
"1101032","900","0","1101033","22","0","0","1800","0"
"1101033","-1500","0","1","20","0","0","1","500"
"1101041","0","0","1101042","21","0","0","500","0"
"1101042","800","0","1101043","22","0","0","1600","0"
"1101043","-1500","0","1","20","0","0","1","750"
"1101101","2","2","25","1","0","0","1","2"
"1102001","-2000","0","1","20","0","0","1","-100"
"1102101","2","2","20","1","0","0","1","10"
"1102102","0","2","200000","10","0","0","2","0"
"1103001","0","0","1103002","21","0","0","500","0"
"1103002","0","2","1000","3","0","0","0","0"
"1202001","3000","2","-15","2","0","0","3","0"
"1204001","30000","1","15","2","0","0","3","0"
"1205001","30000","1","10","2","0","0","3","0"
"1206001","30000","1","10","2","0","0","3","0"
"1207001","30000","1","10","2","0","0","3","0"
"1208001","3000","1","15","2","0","0","2","0"
"1209001","3000","1","25","2","0","0","1","0"
"1210001","3000","1","10","2","0","0","2","0"
"1210002","0","0","1210003","21","0","0","3000","0"
"1210003","30000","1","15","2","0","0","1","0"
"1211001","3000","1","-10","2","0","0","2","0"
"1211002","0","0","1211003","21","0","0","3000","0"
"1211003","30000","2","-15","2","0","0","1","0"
"1213001","30000","2","-10","2","0","0","1","0"
"1213002","30000","2","-10","2","0","0","2","0"
"1214001","1500","2","-25","2","0","0","3","0"
"1216001","3000","2","-20","2","0","0","3","0"
"1218001","30000","1","20","2","0","0","3","0"
"1219001","30000","1","15","2","0","0","3","0"
"1220001","30000","1","15","2","0","0","3","0"
"1221001","30000","1","15","2","0","0","3","0"
"1222001","3000","1","20","2","0","0","2","0"
"1223001","3000","1","30","2","0","0","1","0"
"1224001","3000","1","15","2","0","0","2","0"
"1224002","0","0","1224003","21","0","0","3000","0"
"1224003","30000","1","20","2","0","0","1","0"
"1225001","3000","1","-10","2","0","0","2","0"
"1225002","0","0","1225003","21","0","0","3000","0"
"1225003","30000","2","-20","2","0","0","1","0"
"1227001","30000","2","-15","2","0","0","1","0"
"1227002","30000","2","-15","2","0","0","2","0"
"1228001","1500","2","-35","2","0","0","3","0"
"1229001","30000","1","20","2","0","0","3","0"
"1230001","3000","1","20","2","0","0","2","0"
"1230002","0","0","1230003","21","0","0","3000","0"
"1230003","30000","1","50","2","0","0","1","0"
"1232001","3000","2","-25","2","0","0","3","0"
"1234001","30000","1","25","2","0","0","3","0"
"1235001","30000","1","20","2","0","0","3","0"
"1236001","30000","1","20","2","0","0","3","0"
"1237001","30000","1","20","2","0","0","3","0"
"1238001","3000","1","25","2","0","0","2","0"
"1239001","3000","1","35","2","0","0","1","0"
"1240001","3000","1","20","2","0","0","2","0"
"1240002","0","0","1240003","21","0","0","3000","0"
"1240003","30000","1","25","2","0","0","1","0"
"1241001","3000","1","-10","2","0","0","2","0"
"1241002","0","0","1241003","21","0","0","3000","0"
"1241003","30000","2","-25","2","0","0","1","0"
"1242001","30000","2","-20","2","0","0","1","0"
"1242002","30000","2","-20","2","0","0","2","0"
"1244001","1500","2","-75","2","0","0","3","0"
"1246001","30000","1","20","2","0","0","3","0"
"1247001","30000","1","30","2","0","0","3","0"
"1247002","0","0","1247003","21","0","0","3000","0"
"1247003","3000","1","25","2","0","0","1","0"
"1248001","3000","1","75","2","0","0","1","0"
"1249001","1500","2","-90","2","0","0","3","0"
"2101001","30000","1","10","2","0","0","2","0"
"2102001","30000","1","10","2","0","0","2","0"
"2103001","3000","2","-15","2","0","0","2","0"
"2103002","3000","2","-15","2","0","0","3","0"
"2105001","3000","2","-25","2","0","0","3","0"
"2107001","30000","1","25","2","0","0","3","0"
"2108001","30000","1","10","2","0","0","3","0"
"2109001","30000","1","10","2","0","0","3","0"
"2110001","30000","1","10","2","0","0","3","0"
"2111001","3000","1","15","2","0","0","2","0"
"2112001","3000","1","25","2","0","0","1","0"
"2113001","3000","1","10","2","0","0","2","0"
"2113002","0","0","2113003","21","0","0","3000","0"
"2113003","30000","1","25","2","0","0","1","0"
"2114001","3000","1","-10","2","0","0","2","0"
"2114002","0","1","2114003","21","0","0","3000","0"
"2114003","30000","2","-25","2","0","0","1","0"
"2116001","30000","2","-10","2","0","0","1","0"
"2116002","30000","2","-10","2","0","0","2","0"
"2117001","1500","2","-50","2","0","0","3","0"
"3301001","0","0","3301002","21","0","0","300","0"
"3301002","30","0","1","20","0","0","2","20"
"3301101","1","2","0","1","0","0","1","100"
"3302001","1","2","0","1","0","0","1","40"
"3302002","1","2","0","1","0","0","1","60"
"3303001","1","2","0","1","0","0","1","12"
"3303002","1","2","0","1","0","0","1","28"
"3304001","1","2","0","1","0","0","1","40"
"3304002","1","2","0","1","0","0","1","100"
"3305001","0","0","3305011","21","0","0","200","0"
"3305002","0","0","3305012","21","0","0","200","0"
"3305003","0","0","3305013","21","0","0","200","0"
"3305004","0","0","3305014","21","0","0","200","0"
"3305005","0","0","3305015","21","0","0","200","0"
"3305006","0","0","3305016","21","0","0","200","0"
"3305011","26","0","1","20","30","0","2","15"
"3305012","29","0","1","20","15","0","2","8"
"3305013","30","0","1","20","0","0","2","0"
"3305014","29","0","1","20","-15","0","2","-8"
"3305015","26","0","1","20","-30","0","2","-15"
"3305016","180","1","30000","10","0","0","1","0"
"3305101","1","2","0","1","0","0","1","20"
"3402001","274","0","1","20","0","0","2","29"
"3402101","0","3","500000","11","0","0","2000","0"
"3403001","0","0","3403002","21","0","0","200","0"
"3403002","0","1","200000","10","0","0","1","0"
"4001001","0","3","0","4","0","0","0","0"
"4001002","0","3","99999","1","0","0","0","0"
"4002001","9","3","99999","1","9","9","9","9"
