8f94104f4632db695341255eec9369af6cf882bf57eb40f6fae4f54f9fb6682e,f2b3011b57ea881258cf7b9323c523a0836ab1ba5614912cdeb1c1caa5e32a16,a5b47460178357091368a276525d2bf0c625556a8910603ee3e69f2f4337d8c6,a3e6f3630ea8b8b34527c94466aa8ee8d4650fced70b03a2ac1decbcc82eb0f9,201dbb9c2bfd0d14ea0723169ddc06b8f17e5f46b6fcc8655addd74efc32043f,a1cec00c2d1959c60565f733f2f331da1862a4aa77a0ac6f0d5387d3ea09d4c0,1f3355007614d4c73c3fef49cc2b9ff85788d907bc1a4ee8e87dbb13c4fc023a,9428dc618e1b6afe75520581972b940b85e9608b7b43bacd20cc4707ef34c30e
"2","1","20000","1","1","96001","21952","1"
"2","1","10000","1","1","96001","21904","2"
"2","1","10000","1","1","96001","41000","3"
"2","1","2000","5","5","96001","31803","4"
"2","1","1500","5","5","96001","31215","5"
"2","1","1500","5","5","96001","31210","6"
"2","1","1500","5","5","96001","31211","7"
"2","1","1250","5","10","96001","90005","8"
"4","1","500","10","20","96001","140001","9"
"2","1","500","5","10","96001","25001","10"
"4","1","100","5","5","96001","150003","11"
"4","1","130","5","5","96001","150004","12"
"4","1","150","5","5","96001","150005","13"
"4","1","180","5","5","96001","150006","14"
"4","1","200","5","5","96001","150007","15"
"4","1","230","5","5","96001","150008","16"
"2","1","500","100","5","96001","20004","17"
"2","1","200","100","5","96001","22003","18"
"2","1","1000","100","0","96001","20004","19"
"2","1","400","100","0","96001","22003","20"
"2","2","20000","1","1","96002","21952","21"
"2","2","10000","1","1","96002","21904","22"
"2","2","10000","1","1","96002","41000","23"
"2","2","1500","5","5","96002","31233","24"
"2","2","1500","5","5","96002","31229","25"
"2","2","1500","5","5","96002","31225","26"
"2","2","1250","5","10","96002","90005","27"
"4","2","500","10","20","96002","140001","28"
"2","2","500","5","10","96002","25001","29"
"4","2","100","5","5","96002","150003","30"
"4","2","130","5","5","96002","150004","31"
"4","2","150","5","5","96002","150005","32"
"4","2","180","5","5","96002","150006","33"
"4","2","200","5","5","96002","150007","34"
"4","2","230","5","5","96002","150008","35"
"2","2","500","100","5","96002","20004","36"
"2","2","200","100","5","96002","22003","37"
"2","2","1000","100","0","96002","20004","38"
"2","2","400","100","0","96002","22003","39"
"2","3","20000","1","1","96003","21952","40"
"2","3","10000","1","1","96003","21905","41"
"2","3","10000","1","1","96003","41000","42"
"2","3","2000","5","5","96003","31805","43"
"2","3","1500","5","5","96003","31240","44"
"2","3","1500","5","5","96003","31238","45"
"2","3","1500","5","5","96003","31236","46"
"2","3","2500","10","5","96003","90005","47"
"4","3","2500","50","5","96003","140001","48"
"2","3","500","5","5","96003","25001","49"
"4","3","500","30","5","96003","150003","50"
"4","3","650","30","5","96003","150004","51"
"4","3","750","30","5","96003","150005","52"
"4","3","900","30","5","96003","150006","53"
"4","3","1000","30","5","96003","150007","54"
"4","3","1150","30","5","96003","150008","55"
"2","3","2500","500","5","96003","20004","56"
"2","3","1000","500","5","96003","22003","57"
"2","3","1000","100","0","96003","20004","58"
"2","3","400","100","0","96003","22003","59"
"2","4","20000","1","1","96004","21952","60"
"2","4","10000","1","1","96004","21905","61"
"2","4","10000","1","2","96004","41000","62"
"2","4","2000","5","5","96004","31807","63"
"2","4","1500","5","5","96004","31245","64"
"2","4","1500","5","5","96004","31248","65"
"2","4","1500","5","5","96004","31250","66"
"2","4","1500","5","5","96004","31091","67"
"2","4","2500","10","5","96004","90005","68"
"4","4","2500","50","10","96004","140001","69"
"2","4","1000","10","10","96004","25001","70"
"4","4","500","30","5","96004","150003","71"
"4","4","650","30","5","96004","150004","72"
"4","4","750","30","5","96004","150005","73"
"4","4","900","30","5","96004","150006","74"
"4","4","1000","30","5","96004","150007","75"
"4","4","1150","30","5","96004","150008","76"
"4","4","1300","30","5","96004","150009","77"
"2","4","2500","500","5","96004","20004","78"
"2","4","1000","500","5","96004","22003","79"
"2","4","1000","100","0","96004","20004","80"
"2","4","400","100","0","96004","22003","81"
"2","5","20000","1","1","96005","25101","82"
"2","5","20000","1","1","96005","21952","83"
"2","5","10000","1","1","96005","21905","84"
"2","5","10000","1","2","96005","41000","85"
"2","5","1500","5","5","96005","31200","86"
"2","5","1500","5","5","96005","31253","87"
"2","5","1500","5","5","96005","31255","88"
"2","5","1500","5","5","96005","31256","89"
"2","5","2500","10","5","96005","90005","90"
"4","5","2500","50","10","96005","140001","91"
"2","5","1000","10","10","96005","25001","92"
"4","5","500","30","5","96005","150003","93"
"4","5","650","30","5","96005","150004","94"
"4","5","750","30","5","96005","150005","95"
"4","5","900","30","5","96005","150006","96"
"4","5","1000","30","5","96005","150007","97"
"4","5","1150","30","5","96005","150008","98"
"4","5","1300","30","5","96005","150009","99"
"2","5","2500","500","5","96005","20004","100"
"2","5","1000","500","5","96005","22003","101"
"2","5","1000","100","0","96005","20004","102"
"2","5","400","100","0","96005","22003","103"
"2","6","20000","1","1","96006","25101","104"
"2","6","20000","1","1","96006","21952","105"
"2","6","10000","1","1","96006","21905","106"
"2","6","10000","1","2","96006","41000","107"
"2","6","1500","5","5","96006","31262","108"
"2","6","1500","5","5","96006","31266","109"
"2","6","1500","5","5","96006","31269","110"
"2","6","1500","5","5","96006","31271","111"
"2","6","2500","10","5","96006","90005","112"
"4","6","2500","50","10","96006","140001","113"
"2","6","1000","10","10","96006","25001","114"
"4","6","500","30","5","96006","150003","115"
"4","6","650","30","5","96006","150004","116"
"4","6","750","30","5","96006","150005","117"
"4","6","900","30","5","96006","150006","118"
"4","6","1000","30","5","96006","150007","119"
"4","6","1150","30","5","96006","150008","120"
"4","6","1300","30","5","96006","150009","121"
"2","6","2500","500","5","96006","20004","122"
"2","6","1000","500","5","96006","22003","123"
"2","6","1000","100","0","96006","20004","124"
"2","6","400","100","0","96006","22003","125"
"2","7","20000","1","1","96007","25101","126"
"2","7","20000","1","1","96007","21952","127"
"2","7","10000","1","1","96007","21905","128"
"2","7","10000","1","2","96007","41000","129"
"2","7","1500","5","5","96007","31272","130"
"2","7","2000","5","5","96007","31808","131"
"2","7","1500","5","5","96007","31275","132"
"2","7","2500","10","5","96007","90005","133"
"4","7","2500","50","10","96007","140001","134"
"2","7","1000","10","10","96007","25001","135"
"4","7","500","30","5","96007","150003","136"
"4","7","650","30","5","96007","150004","137"
"4","7","750","30","5","96007","150005","138"
"4","7","900","30","5","96007","150006","139"
"4","7","1000","30","5","96007","150007","140"
"4","7","1150","30","5","96007","150008","141"
"4","7","1300","30","5","96007","150009","142"
"2","7","2500","500","5","96007","20004","143"
"2","7","1000","500","5","96007","22003","144"
"2","7","1000","100","0","96007","20004","145"
"2","7","400","100","0","96007","22003","146"
"2","8","20000","1","1","96008","25101","147"
"2","8","20000","1","1","96008","21952","148"
"2","8","10000","1","1","96008","21905","149"
"2","8","10000","1","2","96008","41000","150"
"2","8","1500","5","5","96008","31279","151"
"2","8","2000","5","5","96008","31809","152"
"2","8","1500","5","5","96008","31284","153"
"2","8","1500","5","5","96008","31285","154"
"2","8","1500","5","5","96008","31289","155"
"2","8","1500","5","5","96008","31287","156"
"2","8","1500","5","5","96008","31293","157"
"2","8","2500","10","5","96008","90005","158"
"4","8","2500","50","10","96008","140001","159"
"2","8","1000","10","10","96008","25001","160"
"4","8","500","30","5","96008","150003","161"
"4","8","650","30","5","96008","150004","162"
"4","8","750","30","5","96008","150005","163"
"4","8","900","30","5","96008","150006","164"
"4","8","1000","30","5","96008","150007","165"
"4","8","1150","30","5","96008","150008","166"
"4","8","1300","30","5","96008","150009","167"
"2","8","2500","500","5","96008","20004","168"
"2","8","1000","500","5","96008","22003","169"
"2","8","1000","100","0","96008","20004","170"
"2","8","400","100","0","96008","22003","171"
"2","9","20000","1","1","96009","25101","172"
"2","9","20000","1","1","96009","21952","173"
"2","9","10000","1","1","96009","21905","174"
"2","9","10000","1","2","96009","41000","175"
"2","9","1500","5","5","96009","31298","176"
"2","9","2000","5","5","96009","31181","177"
"2","9","1500","5","5","96009","31307","178"
"2","9","1500","5","5","96009","31310","179"
"2","9","2500","10","5","96009","90005","180"
"4","9","2500","50","10","96009","140001","181"
"2","9","1000","10","10","96009","25001","182"
"4","9","500","30","5","96009","150003","183"
"4","9","650","30","5","96009","150004","184"
"4","9","750","30","5","96009","150005","185"
"4","9","900","30","5","96009","150006","186"
"4","9","1000","30","5","96009","150007","187"
"4","9","1150","30","5","96009","150008","188"
"4","9","1300","30","5","96009","150009","189"
"2","9","2500","500","5","96009","20004","190"
"2","9","1000","500","5","96009","22003","191"
"2","9","1000","100","0","96009","20004","192"
"2","9","400","100","0","96009","22003","193"
"2","10","20000","1","1","96010","25101","194"
"2","10","20000","1","1","96010","21952","195"
"2","10","10000","1","1","96010","21905","196"
"2","10","10000","1","2","96010","41000","197"
"2","10","2000","5","5","96010","31182","198"
"2","10","1500","5","5","96010","31312","199"
"2","10","1500","5","5","96010","31316","200"
"2","10","1500","5","5","96010","31317","201"
"2","10","2500","10","5","96010","90005","202"
"4","10","2500","50","10","96010","140001","203"
"2","10","1000","10","10","96010","25001","204"
"4","10","500","30","5","96010","150003","205"
"4","10","650","30","5","96010","150004","206"
"4","10","750","30","5","96010","150005","207"
"4","10","900","30","5","96010","150006","208"
"4","10","1000","30","5","96010","150007","209"
"4","10","1150","30","5","96010","150008","210"
"4","10","1300","30","5","96010","150009","211"
