ae209838ff446d3432098d4a03b5aa391de22b8a85e3d77a830638c963220834,977109a6501a31bbd46cc11829b38a19ff3be93116ce3fe1793eb343034dd0de,ae11996ab1dd3584091550a31588d7c37c2a23f7fe7a812ec92fafbac04b183a,71a4e7e300c9afa49b9008c63c15a17e070a41c02b49c3c6dfe89c9035611dce,b817cee1bcda8c180452cb54d3a1dc4b7fa9a32fb6cfb3fa03bbe04ec6813792
"1","1","135","300","1"
"2","1","425","-100","1"
"3","1","-100","125","2"
"4","1","375","-415","2"
"5","1","25","-50","3"
"6","1","-25","-300","3"
"7","1","-195","-335","4"
"8","1","105","-415","4"
"9","1","135","-160","5"
"10","1","345","-40","6"
"11","1","-230","90","7"
"12","1","230","-420","8"
"13","1","30","250","9"
"14","1","280","-245","10"
"15","1","-150","-110","11"
