410df51b63bb687d95dfadc25b6593cf9074e4f2e0c363a811d66f780e9234f7,23b18b400533248b69a99be60c615c04306410f8d239c5ae5977f3734f403058,950084ab0fff90cefa9e88bb4c7d45e209ffc3ea74564fe530ba4fc46172e7c9,943c47b802003e3bfb5f86410e898c0b0640508827983105c7baffea2c40d10e,2300027b7203beb639efa0cdeffded7e714847d6cf01c400c62eb7ec7c9c4104,fc5ca7f5a9e3745d9944d3d442d03cdf0fd0fa67604cdade8306e1a2ffe291c8,949ab4fde4b0246f0e3359b9aca402750588af7d7363a62c494232364e1f3f96,5d93aec9c90f944507e9980b5368a0de0159b2108a5cefba074b031f4b052dae,e0158cdee822e9af2ccb783e6f7cdb17c9d4819e655f14d8c0b8f5a2f6dfa4fd,40af923427bb34dcf409f20fd84ceee768606d8b6f0004be07d93216e1b9ba56,37a8a76bb2fdc4f5c549c0aabdd4380288468a149406ec630badc5890ce18172
"-250","30","12","2.2","12001","talk_sad","52","0","1","5","1"
"0","1","12","0","12002","","1","0","1","6","1"
"0","50","12","1","12003","black","29","0","0","5","0"
"0","1","12","0","12004","","1","0","0","6","1"
"","","12","","12005","","","","0","91",""
"1","1","12","0.2","12006","","1","0","1","6","1"
"1","1","12","0.2","12007","","1","0","0","6","1"
"2","0.3","12","","12008","","-250","","1","2","-20"
"2","0.3","12","","12009","","0","","0","2","0"
"","","12","","12010","","","","0.6","93","0"
"","0","12","","12011","","0","","vo_asb","21","vo_asb_0121"
"1","1","12","0","12012","0","10","0","1","11","思えば手土産すらも、\n持参できず仕舞いでした……"
"","0","12","","12013","","0","","0","91",""
"","","12","0.2","12014","","1","","1","3","guts2_talk_shy"
"","0","12","","12015","","0","","vo_asb","21","vo_asb_0122"
"1","1","12","0","12016","0","10","0","1","11","次に伺う時は必ず……！"
"","0","12","","12017","","0","","0","91",""
"","","12","0.2","12018","","1","","1","3","sad_talk_surprise"
"","0","12","","12019","","0","","vo_asb","21","vo_asb_0123"
