7003186bbfca2d7375d5db985b88857efb7d11b090f358cb0e512f7391c2ac81,1d12768a6f8963f867818b18a78de7a2c2ad5c0bfd36d2fed8a5967d04b557e5
"999999999","1"
"5","2"
"3","3"
"1","4"
"1","5"
"2","6"
"3","7"
"999999999","8"
"999999999","9"
"9","10"
"2","11"
"4","12"
"6","13"
"7","14"
"2","100"
"300","101"
"600","102"
"1200","103"
"2400","104"
"4800","105"
"9999","106"
"500","201"
"500","202"
"500","203"
"500","204"
"500","205"
"100","211"
"100","212"
"100","213"
"100","214"
"100","215"
"100","221"
"200","222"
"100","223"
"1000","224"
"1500","225"
