d6943b2acda5590993858a3877205ccedca9d67ec002180c4d166d13c4e7943f,6c38d0a89aee8010ac16a64b28038062a75a73fb2023981012842e01fc0cc30b,c3b257671f91ac047ceabeb8a5acac6b373f3ed6387125c2b331e2d2be457721,35f923b9efbc23c7ae24e895f022764349e66d94eef6484cd4089f32d20e4f80,f2a23d143539df52517510493af79470bfaa5e2da01512c416238188280221c4,060d146488d30f9a283c173868b11d5029e987b12e3218c282474c7cc81fcb92,02b23ff6cdf97f06e117e1ad8436a8307e66242eb1ceded9e4de16ce4299db20,cfbf31141905a57fa44021058e54c9e177dd9023c53b561acd5a176c99176ae3,6104e918c7e5620e22479454775e1c5c790718c88ddb142fd852ea6cb27d3f61,58d6f85d6aada88c0b4821824868b4e7553ddee5ffe74ac1297cc91d51092c5b,ed2ccf4542ac39e2bec18535ba38c5d534080990c1322097e6d9ef414df214e2
"","1001","","se_travel","","23","se_travel_finish_assemble","","","1010010001","0"
"1.46","1001","0","1","-160","1","1000001","-275","travel_exdrama_r_100_run","1010010002","1"
"1.46","1001","0","1","-200","1","1000002","-575","travel_exdrama_r_100_run","1010010003","2"
"1.46","1001","0","1","-250","1","1000003","-750","travel_exdrama_r_100_run","1010010004","3"
"1.46","1001","1","1","-175","1","1000004","575","travel_exdrama_r_100_run","1010010005","4"
"1.46","1001","1","1","-250","1","1000005","750","travel_exdrama_r_100_run","1010010006","5"
"","1001","","1000001","0","2","-100","1","","1010010007","-160"
"","1001","","1000002","0","2","-275","1","","1010010008","-200"
"","1001","","1000003","0","2","-450","1","","1010010009","-250"
"","1001","","1000004","0","2","275","1","","1010010010","-175"
"","1001","","1000005","0","2","450","1","","1010010011","-250"
"","1001","","1","0","93","0","0","","1010010012","0"
"0.2","1001","0","1000001","0","3","travel_exdrama_r_100_raiseup","","","1010010013","0"
"0","1001","0","1000002","0","3","travel_exdrama_r_100_idle","","","1010010014","1"
"0","1001","0","1000003","0","3","travel_exdrama_r_100_idle","","","1010010015","1"
"0","1001","0","1000004","0","3","travel_exdrama_r_100_idle","","","1010010016","1"
"0","1001","0","1000005","0","3","travel_exdrama_r_100_idle","","","1010010017","1"
