c3524bda4af2c7a02fd516970d6d90ec0fe2be1c85fcb075c8c31a70f43d6a92,5ed0fa4f29b4dd613ac722ff347275f77fda5a545ba6e4693b08cf29ca68edc4,7e3fe4c924fc73a380cc44649b73707d946c743ab2a7d9845d8f9c7794f70e9b,bfdbfb34a21d16b5f3854303add624c5522ccb0ad1e06cc30a1dd955e004b2a0,bdbd5d5d064a0e5310caf0f2d0a6164c66553a66bade40913b982708254fa121,84d9b25b3c402d9628dfaa4767e90a88142ab1cddceca3a65d211915f095aa0c,7dc3311a0a5a0d5077b2cc6bb22f2db2a8091f4ce01375b3e1ee3aacdc27ca56
"10004","71004025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","107601","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体","1"
"10005","71005025","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","108001","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体","2"
"10007","71007031","[3C404E]ボスNORMAL討伐で解放！","108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","3"
"10009","71009031","[3C404E]ボスNORMAL討伐で解放！","108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","4"
"10010","71010031","[3C404E]ボスNORMAL討伐で解放！","108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","5"
"10011","71011031","[3C404E]ボスNORMAL討伐で解放！","109001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","6"
"10013","71013031","[3C404E]ボスNORMAL討伐で解放！","109301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","7"
"10017","71017031","[3C404E]ボスNORMAL討伐で解放！","109801","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","8"
"10019","71019031","[3C404E]ボスNORMAL討伐で解放！","110101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","9"
"20004","72004021","[3C404E]ボスNORMAL討伐で解放！","107601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","10"
"10021","71021035","[3C404E]ボスNORMAL討伐で解放！","110501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","11"
"20005","72005021","[3C404E]ボスNORMAL討伐で解放！","108001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","12"
"10025","71025031","[3C404E]ボスNORMAL討伐で解放！","111201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","13"
"10026","71026031","[3C404E]ボスNORMAL討伐で解放！","108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","15"
"10029","71029031","[3C404E]ボスNORMAL討伐で解放！","111601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","16"
"10030","71030031","[3C404E]ボスNORMAL討伐で解放！","108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","17"
"10031","71031031","[3C404E]ボスNORMAL討伐で解放！","112101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","18"
"10032","71032031","[3C404E]ボスNORMAL討伐で解放！","108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","19"
"10033","71033031","[3C404E]ボスNORMAL討伐で解放！","112301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","20"
