f7420305d1f7679b82a8f1fd91286e2760c572f8485bcdbef091cf6ffa3cad72,30e6819114ab4926a994969a4473d2e01be8a2d87c61743322d402773514e458,61d6db2637a04ff1123963faa5ac065d2afa2b02d4887b3d6c0a71ee428090c3,07eea66ef02e48d1979d67aaa36fc46c4345fbf9818e0b279d44b307b65d2100,c1a5ff9e57a29464df1af86c6b0a21cc6775c9f71d6fbdd2157648f474a14a98
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"0","0","0","2","4"
"0","0","0","2","5"
"0","0","0","2","6"
"0","0","0","3","7"
"0","0","0","3","8"
"0","0","0","3","9"
"0","0","0","4","10"
"0","0","0","4","11"
"0","0","0","4","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","0","2","0","16"
"0","0","2","0","17"
"0","0","2","0","18"
"0","0","3","0","19"
"0","0","3","0","20"
"0","0","3","0","21"
"0","0","0","3","22"
"0","0","0","3","23"
"0","0","0","2","24"
"0","0","0","2","25"
"0","0","2","0","26"
"0","0","2","0","27"
"3","0","0","2","28"
"3","0","0","2","29"
"0","0","2","3","30"
"0","0","2","3","31"
"0","0","3","3","32"
"0","0","3","0","33"
"4","0","0","3","34"
"0","0","0","0","35"
"0","0","2","2","36"
"0","0","2","2","37"
"0","0","3","4","38"
