ad3b2fbf1101089a9d0cf810d04a10036d2479386ab8b671d5a5e72d4fb67fce,9215f15e043f7edf25a118a879c949e2b41cc815e577bf9145ee6c8b121e75b7,47584d681747296b241541f793f2664fc3c3f02cd976f9d736c95294694e52af,a03885b002b573b00f15dacb3420fba2f788851158c564b0f1c25e5217043377,31ce258b24dac210062981987c0609a1d38dad1e4683510f80c87e4f9f3c27e4,59bd29b6b0d710187a51b2cf565f1add25e2497125a8cd7643fa4366fac822c3
"0","1","1","20025","0","1101"
"0","1","1","20025","0","1102"
"5042002","1","0","20025","1","1103"
"0","1","1","20025","0","1104"
"5042003","1","0","20025","1","1105"
"0","1","1","20025","0","1106"
"5042005","1","0","20025","2","1107"
"5042007","2","0","20025","1","1201"
"5042007","2","0","20025","2","1202"
"0","2","1","20025","0","1203"
"0","2","1","20025","0","1204"
"0","1","0","20025","0","1301"
