255901776f86d6fa64756dc57405cfed6f28a2e7b1eed0082694f00d53ec8a6b,df0733280dcebd5a69f305ddd8e1fdff6babb6814695a7b773fcd2142adb9206,9dbd2bc1e56d9bfb2786b7892694c7186411a4b6e914255313397658bb20f704,ea1ccf171e60ef9faab8be70f4f1290fe29702ecc45b7f689161092a485bcf05,80327bda2e2ef1efa2c72083228173bc6d0e0c885eeba0e8a290e4f02583c1e3,4b9573f65ce3c033f125b95d3f165932c1debf14359293bf8e6efe4c98a4aeee,9682fb9043839211b280f8f6652be00491e2987576a141892f2e68cbe740e7d2
"50","150","200","1004","250","100","1"
"80","240","320","1004","400","160","2"
"50","150","200","1004","250","100","3"
"50","150","200","1004","250","100","5"
"80","240","320","1004","400","160","6"
"1","1","2","1004","3","1","12"
"50","150","200","1005","250","100","1"
"50","150","200","1005","250","100","3"
"80","240","320","1005","400","160","4"
"50","150","200","1005","250","100","5"
"80","240","320","1005","400","160","7"
"1","1","2","1005","3","1","13"
"25","75","100","1010","125","50","1"
"40","120","160","1010","200","80","2"
"25","75","100","1010","125","50","3"
"25","75","100","1010","125","50","5"
"40","120","160","1010","200","80","6"
"25","75","100","1011","125","50","1"
"25","75","100","1011","125","50","3"
"40","120","160","1011","200","80","4"
"25","75","100","1011","125","50","5"
"40","120","160","1011","200","80","7"
"100","300","400","1006","500","200","1"
"50","150","200","1006","250","100","2"
"100","300","400","1006","500","200","3"
"100","300","400","1006","500","200","5"
"50","150","200","1006","250","100","6"
"1","1","2","1006","3","1","12"
"100","300","400","1007","500","200","1"
"100","300","400","1007","500","200","3"
"50","150","200","1007","250","100","4"
"100","300","400","1007","500","200","5"
"50","150","200","1007","250","100","7"
"1","1","2","1007","3","1","13"
"25","75","100","1008","125","50","1"
"40","120","160","1008","200","80","2"
"25","75","100","1008","125","50","3"
"25","75","100","1008","125","50","5"
"40","120","160","1008","200","80","6"
"1","1","2","1008","3","1","14"
"25","75","100","1009","125","50","1"
"25","75","100","1009","125","50","3"
"40","120","160","1009","200","80","4"
"25","75","100","1009","125","50","5"
"40","120","160","1009","200","80","7"
"1","1","2","1009","3","1","14"
"50","150","200","1012","250","100","1"
"80","240","320","1012","400","160","2"
"50","150","200","1012","250","100","3"
"50","150","200","1012","250","100","5"
"80","240","320","1012","400","160","6"
"1","3","4","1012","5","2","12"
"50","150","200","1013","250","100","1"
"50","150","200","1013","250","100","3"
"80","240","320","1013","400","160","4"
"50","150","200","1013","250","100","5"
"80","240","320","1013","400","160","7"
"1","3","4","1013","5","2","13"
"40","120","160","1014","200","80","1"
"25","75","100","1014","125","50","2"
"40","120","160","1014","200","80","3"
"40","120","160","1014","200","80","5"
"25","75","100","1014","125","50","6"
"40","120","160","1015","200","80","1"
"40","120","160","1015","200","80","3"
"25","75","100","1015","125","50","4"
"40","120","160","1015","200","80","5"
"25","75","100","1015","125","50","7"
