9152c8cd0780d556349c48e5d488e7f5d2638377b7aa6fbabc5e6db85a15804a,8cfb8f7ead11586db18731f799dcfca2a0b83440c4b50684a9db0a481f86483c,3abf43a906a973d5721ae98f9f4cb790dbab0231ff0fb05376ad2fe123d6a65e,9456358115d83babb9ac45085804615de8542a2a6181bcab5b0463192b5e55d2,6a49dfbd82f022f4222141fd5321ec508463810c89b2f3d0016baf3bc4720221,739f1e8a63c46ed7c25ef520b9049e5e7f324b39418c12e9fa99212e5ce6e304,32dcc28cee69c4ddc7f103a8dbc0c59111539f6835b6a1a7b6c13184d8f4a779,eb0d5ff3cc33b94630373533ed5c7764d649905dbeab3fe2baf3a73a8e48df56,467efe568fe97ebd4e72ae9b464ffc5f374e5487e4a576309873ec11130b317d,a07ea582d1abcf0f31e4f9b7b3c9b5404a32ce145cac37da149d0c62d1edeed9,50f8e18250e39b2b60b3fdd0d0a863c10bc522f9d6317ca1da58eee1f9ccbdde,3ff2ff4f78210df657dd50852c1ad0f52ce9819d964da60e3bce0b1b433918dc
"0","0","11041","0","2","0","1","1","104","0","4","101"
"1","0","10141","0","3","0","2","2","14","0","2","201"
"2","0","11031","0","2","0","3","3","103","0","2","301"
"3","0","11021","0","1","0","4","4","102","0","1","401"
"4","0","11041","0","2","0","5","5","104","0","4","501"
"5","0","10011","0","3","0","6","6","1","0","1","601"
"6","0","11011","0","4","0","7","7","101","0","3","701"
"7","0","11001","0","3","0","8","8","100","0","1","801"
"8","0","11041","0","2","0","9","9","104","0","4","901"
"9","0","10011","0","3","0","10","10","1","0","2","1001"
"10","0","10511","0","4","0","11","11","51","0","1","1101"
"11","0","10521","0","3","0","12","12","52","0","2","1201"
"12","0","11041","0","2","0","13","13","104","0","4","1301"
"13","0","11031","0","1","0","14","14","103","0","1","1401"
"14","0","11021","0","2","0","15","15","102","0","1","1501"
"15","0","10011","0","3","0","16","16","1","0","1","1601"
"16","0","11041","0","2","0","17","17","104","0","4","1701"
"17","0","10501","0","3","0","18","18","50","0","2","1801"
"18","0","11011","0","4","0","19","19","101","0","3","1901"
"19","0","11001","0","3","0","20","20","100","0","2","2001"
"20","0","11041","0","2","0","21","21","104","0","4","2101"
"21","0","10011","0","1","0","22","22","1","0","3","2201"
"22","0","11001","0","3","0","23","23","100","0","2","2301"
"23","0","11011","0","2","0","24","24","101","0","2","2401"
"24","0","11041","0","3","0","25","25","104","0","4","2501"
"25","0","10501","0","4","0","26","26","50","0","3","2601"
"26","0","10521","0","3","0","27","27","52","0","3","2701"
"27","0","10501","0","1","0","28","28","50","0","1","2801"
"28","0","11041","0","2","0","29","29","104","0","4","2901"
"29","0","10511","0","1","0","30","30","51","0","3","3001"
"30","0","11001","0","2","0","31","31","100","0","2","3101"
"31","0","11011","0","3","0","32","32","101","0","1","3201"
"32","0","11041","0","4","0","33","33","104","0","4","3301"
"33","0","11001","0","3","0","34","34","100","0","3","3401"
"34","0","11041","0","2","0","35","35","104","0","4","3501"
"35","0","11031","0","3","0","36","36","103","0","2","3601"
"36","0","11021","0","2","0","37","37","102","0","1","3701"
"37","0","10501","0","1","0","38","38","50","0","2","3801"
"38","0","11021","0","3","0","39","39","102","0","3","3901"
"39","0","11041","0","4","0","40","40","104","0","4","4001"
"40","0","11001","0","3","0","41","41","100","0","1","4101"
"41","0","10521","0","2","0","42","42","52","0","3","4201"
"42","0","11041","0","1","0","43","43","104","0","4","4301"
"43","0","11031","0","2","0","44","44","103","0","1","4401"
"44","0","11041","0","1","0","45","45","104","0","4","4501"
"45","0","11011","0","3","0","46","46","101","0","3","4601"
"46","0","11021","0","4","0","47","47","102","0","1","4701"
"47","0","11041","0","2","0","48","48","104","0","4","4801"
"48","0","11031","0","3","0","49","49","103","0","2","4901"
"49","0","11041","0","2","0","50","50","104","0","4","5001"
"50","0","11011","0","1","0","51","51","101","0","2","5101"
"51","0","11021","0","2","0","52","52","102","0","3","5201"
"52","0","11041","0","3","0","53","53","104","0","4","5301"
"53","0","10521","0","4","0","54","54","52","0","1","5401"
"54","0","11031","0","3","0","55","55","103","0","3","5501"
"55","0","11041","0","4","0","56","56","104","0","4","5601"
"56","0","11001","0","2","0","57","57","100","0","1","5701"
"57","0","11011","0","3","0","58","58","101","0","3","5801"
"58","0","11031","0","4","0","59","59","103","0","2","5901"
"59","0","11041","0","3","0","60","60","104","0","4","6001"
"60","0","11021","0","1","0","61","61","102","0","1","6101"
"61","0","10501","0","2","0","62","62","50","0","3","6201"
"62","0","11041","0","1","0","63","63","104","0","4","6301"
"63","0","11031","0","2","0","64","64","103","0","2","6401"
"64","0","11021","0","3","0","65","65","102","0","1","6501"
"65","0","11041","0","2","0","66","66","104","0","4","6601"
