fc8cb8d93398662dc5b1190ca6a07c5bc1eed63e48e5d9c58062793daaadc54d,246cf3d79e2bad059bfb7a1dda6bed00b197d6056b0befb3435361f8d5e28ac5,9509a2691d7cd6f261d1749ae21c4c4cbf1bd9e4a6a17175887471bdaa29db78,7da1088ebfa8621683ee0de8da8afa72b42008b1d8e0f7322ad69892d5eb3e48,292514f955cc17189cbd8e06bf95068026a5be0a5730ce20de9cd1f190666522,5ca366005acb8e4f5845d93977c2137c9f2e5b50e6ec7c91d5a83cd39d5122d1,2ac9e568daf8bed7f2992d08897fd77aa1908c8d4f1c697e1a0dd41514104b81,079cac6c6373e3f858932bfd2eee7b1cea10d7e50f3d16950647cd02bd493145,ec078a0700721a60149dbfb8279aa76faffe94a65766ec5da8608613f1d015c6
"610201101","","0","1","0","50","1","1.6","0"
"610201151","","0","1","200","-75","1","1.8","0"
"610201201","","0","1","0","50","1","1.6","0"
"610201202","","0","1","0","50","1","1.6","0"
"610201203","","0","1","0","50","1","1.6","0"
"610201251","","0","1","200","-75","1","1.65","0"
"610201252","","0","1","200","-75","1","1.8","0"
"610201253","","0","1","200","-75","1","1.8","0"
"610201301","","0","1","0","50","1","1.6","0"
"610201302","","0","1","0","50","1","1.6","0"
"610201303","","0","1","0","50","1","1.6","0"
"610201351","","0","1","200","-75","1","1.65","0"
"610201352","","0","1","200","-75","1","1.8","0"
"610201353","","0","1","200","-75","1","1.8","0"
"610201401","","1","0","0","0","2","1","0"
"610201402","","1","0","0","0","3","1","0"
"610201403","","1","0","0","0","4","1","0"
"610201451","","0","0","0","0","2","0.78","-200"
"610201452","","0","0","0","0","3","0.78","-140"
"610201453","","0","0","0","0","4","0.78","-60"
"610201501","","1","0","0","0","2","1","0"
"610201502","","1","0","0","0","3","1","0"
"610201503","","1","0","0","0","4","1","0"
"610201551","","0","0","0","0","2","0.78","-200"
"610201552","","0","0","0","0","3","0.78","-140"
"610201553","","0","0","0","0","4","0.78","-60"
"610202101","","0","1","190","-45","1","1.7","0"
"610202201","","0","1","190","-55","1","1.4","0"
"610202202","","0","1","190","-45","1","1.7","0"
"610202203","","0","1","190","-45","1","1.7","0"
"610202301","","0","1","190","-55","1","1.4","0"
"610202302","","0","1","190","-45","1","1.7","0"
"610202303","","0","1","190","-45","1","1.7","0"
"610202401","","0","0","0","0","2","1","-200"
"610202402","","0","0","0","0","3","1","-140"
"610202403","","0","0","0","0","4","1","-60"
"610202404","","0","0","0","0","5","1","-60"
"610202501","","0","0","0","0","2","1","-200"
"610202502","","0","0","0","0","3","1","-140"
"610202503","","0","0","0","0","4","1","-60"
"610202504","","0","0","0","0","5","1","-60"
"610203101","","0","1","190","-80","1","1.03","0"
"610203201","","0","1","190","-42","1","0.66","0"
"610203202","","0","1","190","-80","1","1.03","0"
"610203203","","0","1","190","-80","1","1.03","0"
"610203301","","0","1","190","-42","1","0.66","0"
"610203302","","0","1","190","-80","1","1.03","0"
"610203303","","0","1","190","-80","1","1.03","0"
"610203401","","0","0","0","0","2","0.78","-200"
"610203402","","0","0","0","0","3","0.78","-140"
"610203403","","0","0","0","0","4","0.78","-60"
"610203404","","0","0","0","0","5","0.78","-30"
"610203501","","0","0","0","0","2","0.78","-200"
"610203502","","0","0","0","0","3","0.78","-140"
"610203503","","0","0","0","0","4","0.78","-60"
"610203504","","0","0","0","0","5","0.78","-30"
"610204101","","0","1","305","-65","1","1.75","0"
"610204201","","0","1","305","-55","1","1.4","0"
"610204202","","0","1","305","-65","1","1.75","0"
"610204203","","0","1","305","-65","1","1.75","0"
"610204301","","0","1","305","-55","1","1.4","0"
"610204302","","0","1","305","-65","1","1.75","0"
"610204303","","0","1","305","-65","1","1.75","0"
"610204401","","0","0","0","0","2","0.85","-200"
"610204402","","0","0","0","0","3","0.85","-140"
"610204403","","0","0","0","0","4","1","-60"
"610204404","","0","0","0","0","5","1","-60"
"610204501","","0","0","0","0","2","0.85","-200"
"610204502","","0","0","0","0","3","0.85","-140"
