6ba640c67aabf4399b265ca17fd0d5b760987d6120628b75306416deaae2f1ed,f4ba666090151741b1baebbf18dadc443e47fa23f33df6c3d9a5cc0550f79ad4,11bf8f58aa41c55a7159bcb370586b49fec3e9497019e58c1b8be4a0abcb4ade,6341ee26f873d930b9950f7bdd860a52cd8ea4e8b698b5fa4c9781e2cb001d85,52a14a28d55868a7df13bcd9c2874b390e2e95290576948ee21758c3524ab928,dcca15f4767bd740f1cef416a3a29b3dd901ab2440820ba104c5a093d21ce84a
"150","10","1","150","1","0"
"400","10","1","250","2","0"
"800","10","1","400","3","0"
"150","20","2","150","1","0"
"400","20","2","250","2","0"
"800","20","2","400","3","0"
"1300","20","2","500","4","1"
"800","30","3","800","1","0"
"1800","30","3","1000","2","0"
"3000","30","3","1200","3","0"
"4400","30","3","1400","4","1"
"6000","30","3","1600","5","2"
"800","40","4","800","1","0"
"1800","40","4","1000","2","0"
"3000","40","4","1200","3","0"
"4400","40","4","1400","4","1"
"6000","40","4","1600","5","2"
"0","0","5","0","0","0"
