7c42711907b9072e395d7fe519ba4f03ab1908f261643a0af463ca09ed43a66e,464c4260daa88053ad23bd2713a79bc167784561376523ca05fc0600245be061,4605950a1babbba0438cd2de61a1d80cea6f6f53891d760c56e0fa32aa51a10a,3d247dc048b882331f90fd1f64afaa01401c9c9509d5028b66ee3201cd5ae25b,2c9e8158b8a8c2b228319ad3583b7ff4fa477c02d90ec62379a045cc5535f196,fc56edc00063ad253bf71c6883d8654bf6e4aeeeda61ec1ead8e9403ed0df1c9,a5ddf77ff9398b7c3d65ba93195c74ad0bdd676aaf4794c5f9e0da9a19f800c2,2d1390726a1aa9f71102ceecf91a4f332d6cd5c86b420acfa5f2f74c1d34a85e
"1","100","440","1","4","0","400","4000"
"2","120","1100","2","10","0","1000","10000"
"3","140","1540","3","12","0","1400","14000"
"4","170","2200","4","14","0","2000","20000"
"5","200","2970","5","18","0","2700","27000"
"6","220","4000","6","20","0","3600","36600"
"7","240","4300","7","20","0","3900","39700"
"8","260","4700","8","20","0","4200","42800"
"9","280","5000","9","20","0","4500","45600"
"10","300","5300","10","20","0","4800","48900"
