488ecde462fb6e5cff765e851e0bcb31b17941e1bd1231c79bc2b612a80c33a6,5de7fe7f785a124b3b1dc2dda0d44f5d0c0bdec35a90d7e0d8a7796c37eb8ab9,6a1e056da1786f75df622d01aef9521354be79706781657c015384fca4d60571,3df6d84e38ae7b1b83beda995c22742bfefb38dcb5aa1594741ee27b55e9a4a5,b51d017a02b755be8914b0a20ffbe0271c6e9d115e3fbb6dcd85874707e7ae2f,d96d1dcfa50e3c20b44a4cc9e91356acc113e9ae55a3339d30d034b0593a85b8
"1","211","212","1005","802100290","2114001"
"1","211","212","1006","802100290","2114002"
"1","211","212","1007","802100290","2114003"
"1","211","212","1008","802100290","2114004"
"0","104","100","100501","802100266","2113061"
"0","104","100","100502","802100266","2113062"
"0","105","102","100503","802100266","2113063"
"0","106","103","100504","802100266","2113064"
"0","104","100","100505","802100266","2113065"
"0","104","100","100506","802100266","2113066"
"0","105","102","100507","802100266","2113067"
"0","106","103","100508","802100266","2113068"
"0","104","100","100509","802100266","2113069"
"0","104","100","100510","802100266","2113070"
"0","104","100","100511","802100267","2113071"
"0","104","100","100512","802100267","2113072"
"0","105","102","100513","802100267","2113073"
"0","106","103","100514","802100267","2113074"
"0","104","100","100515","802100267","2113075"
"0","104","100","100516","802100267","2113076"
"0","105","102","100517","802100267","2113077"
"0","106","103","100518","802100267","2113078"
"0","104","100","100519","802100267","2113079"
"0","104","100","100520","802100267","2113080"
"0","104","100","100521","802100268","2113081"
"0","104","100","100522","802100268","2113082"
"0","105","102","100523","802100268","2113083"
"0","106","103","100524","802100268","2113084"
"0","104","100","100525","802100268","2113085"
"1","208","112","100526","802100268","2113086"
"1","201","110","100527","802100268","2113087"
"0","104","100","100528","802100268","2113088"
"0","105","102","100529","802100268","2113089"
"0","106","103","100530","802100268","2113090"
"1","203","114","100601","802100263","2113031"
"1","202","113","100602","802100263","2113032"
"0","105","102","100603","802100263","2113033"
"0","106","103","100604","802100263","2113034"
"1","203","114","100605","802100263","2113035"
"1","202","113","100606","802100263","2113036"
"1","204","111","100607","802100263","2113037"
"1","202","113","100608","802100263","2113038"
"1","202","113","100609","802100263","2113039"
"0","106","103","100610","802100263","2113040"
"1","203","114","100611","802100264","2113041"
"1","202","113","100612","802100264","2113042"
"0","105","102","100613","802100264","2113043"
"0","106","103","100614","802100264","2113044"
"1","203","114","100615","802100264","2113045"
"1","202","113","100616","802100264","2113046"
"1","204","111","100617","802100264","2113047"
"1","202","113","100618","802100264","2113048"
"1","202","113","100619","802100264","2113049"
"0","106","103","100620","802100264","2113050"
"0","105","102","100621","802100265","2113051"
"1","203","114","100622","802100265","2113052"
"1","202","113","100623","802100265","2113053"
"1","204","111","100624","802100265","2113054"
"0","106","103","100625","802100265","2113055"
"1","208","112","100626","802100265","2113056"
"1","201","110","100627","802100265","2113057"
"1","203","114","100628","802100265","2113058"
"1","202","113","100629","802100265","2113059"
"0","106","103","100630","802100265","2113060"
"1","205","112","100701","802100269","2113091"
"1","206","112","100702","802100269","2113092"
"0","102","117","100703","802100269","2113093"
"0","105","102","100704","802100269","2113094"
"0","105","102","100705","802100269","2113095"
"1","202","113","100706","802100269","2113096"
"1","203","114","100707","802100269","2113097"
"0","102","117","100708","802100269","2113098"
"0","105","102","100709","802100269","2113099"
"1","202","113","100710","802100269","2113100"
"1","205","112","100711","802100270","2115001"
"0","102","117","100712","802100270","2115002"
"0","105","102","100713","802100270","2115003"
"0","106","103","100714","802100270","2115004"
"1","203","114","100715","802100270","2115005"
"1","202","113","100716","802100270","2115006"
"1","207","112","100717","802100270","2115007"
"0","105","102","100718","802100270","2115008"
"0","106","103","100719","802100270","2115009"
"1","202","113","100720","802100270","2115010"
"1","205","112","100721","802100271","2115011"
"1","208","112","100722","802100271","2115012"
"0","102","117","100723","802100271","2115013"
"0","105","102","100724","802100271","2115014"
"0","106","103","100725","802100271","2115015"
"1","208","112","100726","802100271","2115016"
"1","201","110","100727","802100271","2115017"
"0","102","117","100728","802100271","2115018"
"0","105","102","100729","802100271","2115019"
"0","106","103","100730","802100271","2115020"
"0","103","104","100801","802100260","2113001"
"0","104","100","100802","802100260","2113002"
"0","104","100","100803","802100260","2113003"
"0","105","102","100804","802100260","2113004"
"0","105","102","100805","802100260","2113005"
"0","104","100","100806","802100260","2113006"
"0","104","100","100807","802100260","2113007"
"0","105","102","100808","802100260","2113008"
"0","105","102","100809","802100260","2113009"
"0","107","101","100810","802100260","2113010"
"0","103","104","100811","802100261","2113011"
"0","104","100","100812","802100261","2113012"
"0","104","100","100813","802100261","2113013"
"0","105","102","100814","802100261","2113014"
"0","106","103","100815","802100261","2113015"
"0","104","100","100816","802100261","2113016"
"0","104","100","100817","802100261","2113017"
"0","105","102","100818","802100261","2113018"
"0","106","103","100819","802100261","2113019"
"0","104","100","100820","802100261","2113020"
"0","103","104","100821","802100262","2113021"
"0","104","100","100822","802100262","2113022"
"0","104","100","100823","802100262","2113023"
"0","105","102","100824","802100262","2113024"
"0","105","102","100825","802100262","2113025"
"1","208","112","100826","802100262","2113026"
"1","201","110","100827","802100262","2113027"
"0","105","102","100828","802100262","2113028"
"0","106","103","100829","802100262","2113029"
"0","103","104","100830","802100262","2113030"
