e31bfad7535db7fb380e629f5d13acbc53ca02f9785d5d1a09ee8507bbb27627,15cc5844ca984a4f9f5887037703e73d5479a6b2bef1e98930c0c5f3b3f71612,305707b56c0ca23dc64eb838ffbd803a0c19d6424beda7eb794100b1382bc9ac,b5799c7a8c428eeebb31711550c67a8993580908d9b77ff5af8b5936cd51ec24,cd8a8dc4ef01fa8a25800833e5f8be80c42b2cba006103ecc562556665db7f57
"1000","2","32000101","25011","320001011"
"1000","2","32000101","25012","320001012"
"1000","2","32000102","25013","320001021"
"1000","2","32000102","25014","320001022"
"1000","8","32000103","91002","320001031"
"3000000","12","32000103","94002","320001032"
"1000","2","32000103","25015","320001033"
"1000","2","32000103","25021","320001034"
"1000","2","32000104","25013","320001041"
"1000","2","32000104","25014","320001042"
"1000","2","32000105","25012","320001051"
"1000","2","32000105","25015","320001052"
"1000","8","32000106","91002","320001061"
"3000000","12","32000106","94002","320001062"
"1000","2","32000106","25011","320001063"
"1000","2","32000106","25021","320001064"
"1000","2","32000107","25014","320001071"
"1000","2","32000107","25015","320001072"
"1000","2","32000108","25011","320001081"
"1000","2","32000108","25013","320001082"
"1000","8","32000109","91002","320001091"
"3000000","12","32000109","94002","320001092"
"1000","2","32000109","25012","320001093"
"1000","2","32000109","25021","320001094"
"3000","2","32000110","25011","320001101"
"3000","2","32000110","25012","320001102"
"3000","2","32000110","25013","320001103"
"3000","2","32000110","25014","320001104"
"3000","2","32000110","25015","320001105"
"3000","2","32000111","25011","320001111"
"3000","2","32000111","25012","320001112"
"3000","2","32000111","25013","320001113"
"3000","2","32000111","25014","320001114"
"3000","2","32000111","25015","320001115"
"3000","2","32000112","25011","320001121"
"3000","2","32000112","25012","320001122"
"3000","2","32000112","25013","320001123"
"3000","2","32000112","25014","320001124"
"3000","2","32000112","25015","320001125"
"1","2","32000113","21953","320001131"
"2000","2","32000113","25021","320001132"
