11cceee29c794b8badb9b1fdbbba00f7aa9c18b31159d9e3812e890186112d4e,119ee92c96f48117ed9077e793616e238711d2b0c4855288a540a0e2874f23bf,fb5fa05b23ae68b5f6311d84ed77271cf4dac714b85d050e723947a73c903c91,3c0e73fb271d4ba82bbac497c49f4cc3cd2f46d2a2660e1c338c66c596e2166d,adfbe81afdf6e7788f5cfade717d6733626022c5b80fca09304c5a596a376878,fa8b31ccd31cfd303dd2a3c002ed0045dd6c51e6323919c2e5059c5c508154b1,912a342564b15927990670016cd7076c917374f5791cd4592f5b579b2a01e6f3,0f7ef7c55bb1c057f9ef56d572ad4d14a27c90ed13a2950ae05f7a1f7eb2a6ab,58e3a66a6fce12251a8e388c85e8192b49e03a67cdb8eb7b3a351e577b2f55e0,c4c4175a4f13cb2659f238b46b0fa15fb0887cc2e909a44fb25bde0ba2a47724,efb065ec7af9ac28ece503defb6398dcdd9b162a4ba9ef55b9287613030d6417
"50047","10001","10002","10003","0","0","0","0","0","0","0"
"50051","10001","10002","10003","0","0","0","0","0","0","0"
"50061","10001","10002","10003","10004","0","0","0","0","0","0"
"50067","10001","10002","10003","10005","0","0","0","0","0","0"
"50079","10001","10002","10003","10005","10006","0","0","0","0","0"
"50084","10001","10002","10003","10005","10006","10007","0","0","0","0"
"50094","10001","10002","10003","10005","10006","10007","10008","0","0","0"
"50108","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50116","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50119","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50129","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50140","10001","10002","10003","10005","10006","10007","10008","10009","10010","10011"
"50151","10002","10003","10005","10006","10007","10008","10009","10010","10011","10012"
"50162","10009","10010","10011","10012","10013","0","0","0","0","0"
"50172","10010","10011","10012","10013","10014","0","0","0","0","0"
"50183","10011","10012","10013","10014","10015","0","0","0","0","0"
"50190","10013","10014","10015","10007","10005","0","0","0","0","0"
"50195","10012","10013","10014","10015","10016","0","0","0","0","0"
"50200","10014","10015","10016","10003","10002","0","0","0","0","0"
"50217","10013","10014","10015","10016","10017","0","0","0","0","0"
"50231","10015","10016","10017","10010","10009","0","0","0","0","0"
"50237","10014","10015","10016","10017","10018","0","0","0","0","0"
"50248","10019","0","0","0","0","0","0","0","0","0"
"50261","10011","0","0","0","0","0","0","0","0","0"
"50267","10020","0","0","0","0","0","0","0","0","0"
"50278","10021","0","0","0","0","0","0","0","0","0"
"50291","10006","0","0","0","0","0","0","0","0","0"
"50298","10022","0","0","0","0","0","0","0","0","0"
"50309","10023","0","0","0","0","0","0","0","0","0"
