4aa0895d1cbfc9b73d962323d556f9d5ed999a878d1e3743d248a0fde01f0d6f,4359389ed5bb96b1896b1c89de3c6b87ef1c7650e98af080679e1ea98f518e3c,9d6673c666aae5d50a4298415647a921b216ed6ce3e2f7fc76a30e8a3fa127ec,9d1a20a351973fd9b55dcb2a40b238ccbc972560710ee660005c2b0666c46731,20cd673319fa9ce33fc8c60aeb5c0600ef4705a67abe13e0670928357f347f37
"2700","1","1","1","0"
"3600","2","1","2","0"
"5400","3","1","3","0"
"3600","1","1","4","1"
"5400","2","1","5","1"
"7200","3","1","6","1"
"1800","1","2","7","0"
"2700","2","2","8","0"
"3600","3","2","9","0"
"2700","1","2","10","1"
"4050","2","2","11","1"
"5400","3","2","12","1"
"1800","1","3","13","0"
"2700","2","3","14","0"
"3600","3","3","15","0"
"2700","1","3","16","1"
"4050","2","3","17","1"
"5400","3","3","18","1"
"1800","1","4","19","0"
"2700","2","4","20","0"
"3600","3","4","21","0"
"2700","1","4","22","1"
"4050","2","4","23","1"
"5400","3","4","24","1"
