bf794d80a64621367de2c1986b3cd49423141b3f61871639e15031b972b2f3b3,9f94819be9365f4b24747ac1715af6b9ef20a42abc62252f7e5f03fd43b6a8a5,8908d3e89bfb2a5cc07863a00b482be497f99a4ee71eeba9525ded783d1aa405,417c6522cbd0b6f82d797613bc2978efd4cbd785118808b656ff79eefe99e51e,6f3befbc501b1749c60b7a9489ff852cf310dda59f4e77322e6444a67450911b,f8bceb09a3bddd4741af0e1a924687fe10d73f93013b4717e22d59ddf1091d31,b1bba6753fba8e8b8732b84e4cc530fb14676c4877841f535dc2cc3b6a679877,5e4bba9051cf3b053c1e9fc781378d1240ef19bdb59b12d56d03f66210049089,a66a7ffe9aa3ff50dca938548358051d7d5c7ef95fc8f2e1d8cad8dd6bc30e71
"1","0","0","2018/06/01 4:59:59","0","0","1","2018/05/22 5:00:00","1"
"2","0","0","2018/09/01 4:59:59","0","0","1","2018/08/21 5:00:00","2"
"3","0","0","2019/01/04 4:59:59","0","0","1","2018/12/22 5:00:00","3"
"4","0","1","2019/03/01 4:59:59","0","0","1","2019/02/15 5:00:00","4"
"5","14","1","2019/03/31 11:59:59","0","4","0","2019/03/01 5:00:00","5"
"6","0","1","2019/09/01 4:59:59","0","0","1","2019/08/15 5:00:00","6"
"7","0","1","2020/01/03 18:59:59","0","0","1","2019/12/20 5:00:00","7"
"8","0","1","2020/03/01 4:59:59","0","0","1","2020/02/15 5:00:00","8"
"9","0","1","2020/05/07 4:59:59","0","0","1","2020/04/30 5:00:00","9"
"10","0","1","2020/09/01 4:59:59","0","0","1","2020/08/15 5:00:00","10"
"11","0","1","2020/11/17 4:59:59","0","0","1","2020/11/10 5:00:00","11"
"12","7","1","2020/11/30 11:59:59","0","11","0","2020/11/17 5:00:00","12"
"13","0","1","2021/01/04 4:59:59","0","0","1","2020/12/21 5:00:00","13"
"14","14","1","2021/01/31 11:59:59","0","13","0","2021/01/04 5:00:00","14"
"15","0","1","2021/03/01 4:59:59","0","0","1","2021/02/15 5:00:00","15"
"16","14","1","2021/03/31 11:59:59","0","15","0","2021/03/01 5:00:00","16"
"17","0","1","2021/05/10 4:59:59","0","0","1","2021/04/30 5:00:00","17"
"18","0","1","2021/09/01 4:59:59","0","0","1","2021/08/15 5:00:00","18"
"19","17","1","2021/09/30 11:59:59","0","18","0","2021/09/01 5:00:00","19"
"20","0","1","2021/11/10 4:59:59","0","0","1","2021/11/03 5:00:00","20"
"21","7","1","2021/11/30 4:59:59","0","20","0","2021/11/10 5:00:00","21"
"22","0","1","2022/01/04 4:59:59","0","0","1","2021/12/22 5:00:00","22"
"23","13","1","2022/01/31 4:59:59","0","22","0","2022/01/04 5:00:00","23"
"24","0","1","2022/03/01 4:59:59","0","0","1","2022/02/15 5:00:00","24"
"25","14","1","2022/03/31 4:59:59","0","24","0","2022/03/01 5:00:00","25"
"26","0","1","2022/05/10 4:59:59","0","0","1","2022/04/30 5:00:00","26"
"27","0","1","2022/09/01 4:59:59","0","0","1","2022/08/15 5:00:00","27"
"28","0","1","2022/11/01 4:59:59","0","0","1","2022/10/25 5:00:00","28"
"29","0","1","2023/01/04 4:59:59","0","0","1","2022/12/23 5:00:00","29"
"30","0","1","2023/03/01 4:59:59","0","0","1","2023/02/15 5:00:00","30"
"31","0","1","2023/05/01 4:59:59","0","0","1","2023/04/25 5:00:00","31"
"32","0","1","2023/09/01 4:59:59","0","0","1","2023/08/15 5:00:00","32"
"33","0","1","2023/11/01 4:59:59","0","0","1","2023/10/26 5:00:00","33"
"34","0","2","2024/01/04 4:59:59","0","0","1","2023/12/22 5:00:00","34"
"35","0","2","2024/03/01 4:59:59","0","0","1","2024/02/15 5:00:00","35"
"36","0","2","2024/05/01 4:59:59","0","0","1","2024/04/26 5:00:00","36"
"37","0","2","2024/09/01 4:59:59","0","0","1","2024/08/15 5:00:00","37"
"38","0","2","2025/01/04 4:59:59","0","0","1","2024/12/22 5:00:00","38"
"39","0","2","2025/02/21 4:59:59","0","0","1","2025/02/10 5:00:00","39"
"40","0","2","2025/05/01 4:59:59","0","0","1","2025/04/26 5:00:00","40"
"41","0","2","2025/09/01 4:59:59","0","0","1","2025/08/15 5:00:00","41"
"42","0","2","2026/01/04 4:59:59","0","0","1","2025/12/21 5:00:00","42"
"43","0","2","2026/03/01 4:59:59","0","0","1","2026/02/15 5:00:00","43"
