528a76a4647a6fa3c1d6a47355b38882f5b3d76517ce300de7268fbde10bbe14,f65b9e6e2be8990c21505c0c47c59f4cb786669a1e8822f6854262bc7493553d,40ca93bd9835452b417b73a8d9d097b20946dc427ec5fc138b87cd0dd92e95c7,51b9f2d5b80f3695b1187fc9f987faff5f850123cbf9a8c18f319ac0c4c7a755,5aab492449f2d32608d25789855a86e88677567b46f5a26644eefb3bd32f90d0,9a876207fec5ef8ad2368782e16b716242493b6f48b738e45df9d8f0d8176356,1ff3846b0334cc5e901935a908b9b1a8dbfbcc734181387c3f7b2670cb891dbb
"31001","-10","0.8","0.8","300900","0","100721"
"31002","-40","0.7","0.7","302300","0","100722"
"31003","-40","0.8","0.8","302400","0","100261"
"31004","-20","0.9","0.9","302500","0","100283"
"31005","-10","0.9","0.9","301700","0","101611"
"31006","-40","0.7","0.7","310100","0","102174"
"31007","-60","0.3","0.3","399800","-80","102751"
"31008","20","0.9","0.9","314901","-20","103001"
"31009","-110","0.7","0.7","318405","30","103232"
"31010","-10","1","1","320100","0","103371"
