8615765920b97f95dcdcf8b56869934e886454b26fb9e3ee8f630f5fed82b9be,679a9f33002099baca20b0c16ed4b0b3727f3a7f77934701b147564f84aba3d5,d512f342328f3be96251c88dede88590dd0078a9ce87bfdd2c8e825b08d33af2,a6ab4063769fb1d40b10d97ea50ad8ab8aaaa184bbb18a9da2a8fc591dc226d3,0b4d3b6a42457c57aa5e97702d87edf0013afea1ecbd01f023e13c453e716ae1,48dfca2ffb8491e3800709600dd99321c44662baf71727f7599c463cee382443,a7e406c25621609a56de39189cc0638f3286ef9fd296a89b2d8b5bc78d6f5d82,5e8aab9254c748c3a72a39a3300b2970fe9735ccf44ab8701771f780db2bf8e6,999d9db1edb9473984f1a31521c5e0a5a9255540bc4085e407c9fbcf120a2cda,e45092c561a68f5ef34f9ca8df05f88081fff9bab0fe543a383195b2dc459cd3,0dc6e02e64ebf9f77e6e3f41dbef5b42fb8c24eddbbdd9480f1225bef6928051,93445f819ba442d45134dfd718923526196236b164353710947cc6a217405774
"vo_10011600_1501","1150001","0","0","0","2","0","vo_10011600","0","15","0","1"
"0","1150002","0.997402597402597","0","0","1","240","0","1","15","0","2"
"0","1150003","0","0","1","4","0","0","1","15","2.4974025974026","3"
"vo_10011600_1502","1150004","0","0","0","2","0","vo_10011600","0","15","0","4"
"0","1150005","0.748051948051948","0","0","1","180","0","2","15","0","5"
"0","1150006","0","0","1","4","0","0","2","15","0.848051948051948","6"
"vo_10011600_1503","1150007","0","0","0","2","0","vo_10011600","0","15","0","7"
"0","1150008","1.16363636363636","180","0","1","460","0","2","15","0","8"
"0","1150009","0","0","1","4","0","0","2","15","1.96363636363636","9"
"vo_10011600_1504","1150010","0","0","0","2","0","vo_10011600","0","15","0","10"
"0","1150011","2.07792207792208","0","0","1","500","0","3","15","0","11"
"0","1150012","0","0","1","4","0","0","3","15","3.47792207792208","12"
"vo_10011600_1505","1150013","0","0","0","2","0","vo_10011600","0","15","0","13"
"0","1150014","1.24675324675325","0","0","1","300","0","4","15","0","14"
"0","1150015","0","0","1","4","0","0","4","15","2.24675324675325","15"
"vo_10011600_1506","1150016","0","0","0","2","0","vo_10011600","0","15","0","16"
"0","1150017","1.95324675324675","300","0","1","770","0","4","15","0","17"
"0","1150018","0","0","1","4","0","0","4","15","1.95324675324675","18"
"vo_10011600_1507","1150019","0","0","0","2","0","vo_10011600","0","15","0","19"
"0","1150020","2.07792207792208","0","0","1","500","0","5","15","0","20"
"0","1150021","0","0","1","4","0","0","5","15","2.97792207792208","21"
"vo_10011600_1508","1150022","0","0","0","2","0","vo_10011600","0","15","0","22"
"0","1150023","1.12207792207792","500","0","1","770","0","5","15","0","23"
"0","1150024","0","0","1","4","0","0","5","15","2.02207792207792","24"
"vo_10011600_1509","1150025","0","0","0","2","0","vo_10011600","0","15","0","25"
"0","1150026","1.32987012987013","0","0","1","320","0","6","15","0","26"
"0","1150027","0","0","1","4","0","0","6","15","2.57987012987013","27"
"vo_10011600_1510","1150028","0","0","0","2","0","vo_10011600","0","15","0","28"
"0","1150029","1.87012987012987","320","0","1","770","0","6","15","0","29"
"0","1150030","0","0","1","4","0","0","6","15","2.87012987012987","30"
"vo_10011600_1511","1150031","0","0","0","2","0","vo_10011600","0","15","0","31"
"0","1150032","1.55844155844156","0","0","1","375","0","7","15","0","32"
"0","1150033","0","0","1","4","0","0","7","15","1.75844155844156","33"
"vo_10011600_1512","1150034","0","0","0","2","0","vo_10011600","0","15","0","34"
"0","1150035","1.26753246753247","375","0","1","680","0","7","15","0","35"
"0","1150036","0","0","1","4","0","0","7","15","2.51753246753247","36"
"vo_10011600_1513","1150037","0","0","0","2","0","vo_10011600","0","15","0","37"
"0","1150038","1.99480519480519","0","0","1","480","0","8","15","0","38"
"0","1150039","0","0","1","4","0","0","8","15","2.49480519480519","39"
"vo_10011600_1514","1150040","0","0","0","2","0","vo_10011600","0","15","0","40"
