373617707b3810933d05fa02a500e9e65995e5b9f31bdfa1aec93913409e8c23,c9bd30014ad1e53991d0a5cbe94fe61564947a8da76447ef18ee857432fa9519,93765ae9eae9f9121bb01c50b2fd2a4b15ae7cfd0f9e84d30ac0331bbd623f00
"101","1","1"
"103","2","1"
"105","3","1"
"101","4","2"
"102","5","2"
"103","6","2"
"105","7","2"
"101","8","3"
"102","9","3"
"103","10","3"
"101","11","4"
"103","12","4"
"104","13","4"
"105","14","4"
"103","15","5"
"104","16","5"
"105","17","5"
"102","18","6"
"104","19","6"
"106","20","6"
"101","21","7"
"102","22","7"
"106","23","7"
"102","24","8"
"103","25","8"
"106","26","8"
"103","27","9"
"104","28","9"
"105","29","9"
"101","30","10"
"103","31","10"
"105","32","10"
"107","33","11"
"108","34","11"
