3a4260ca277741561e7736784b28b473daf8655d0f667c8ce0a4f274fec1af74,780eecf58412acb6ffdfbcb13875a9b5aef77b9ff859185ea8a9f6e8c30f79c6,fe1ec9ea91cef95238ae35b8defd346ccce307a3825ed0abbca5ddd0d9008c25,fa43d3f42898b48a97431105c5a905259bf9d6ede0b7a64f662f83770613b483,34d0a2e01d3e0d3922c6af3b8f73d26eb10b79c4a6045f4a2b25f4b40d556d7c,2db3bdcf267068ad387f8c88640898f04e4d411dfd6ff628977afe8b4e300206,2ae5bf1c6f7a975218c0bdca477d4eac285f65c58567456f3dbba3949700b236,9535f9d566ae2a15f176d1db82d3d991186c15f1dd29dea1b1c011465d96434e
"1","182","1","-401","170","-90","71","1"
"2","182","1","-401","170","-90","81","2"
"3","182","1","-255","255","90","121","3"
"4","182","1","-255","255","90","131","4"
"5","182","1","-255","255","90","141","5"
"6","176","1","-107","229","-80","191","6"
"7","176","1","-107","229","-80","201","7"
"8","151","1","136","218","-85","271","8"
"9","151","1","136","218","-85","281","9"
"10","151","1","136","218","-85","291","10"
"11","219","1","280","156","80","331","11"
"12","219","1","280","156","80","341","12"
"13","219","1","280","156","80","351","13"
"14","183","1","417","213","-97","401","14"
"15","183","1","417","213","-97","411","15"
"2","229","2","-259","242","-73","451","1"
"4","179","2","-222","226","124","481","2"
"6","192","2","-101","219","-67","501","3"
"8","190","2","-26","168","-27","521","4"
"11","260","2","117","192","-50","551","5"
"14","138","2","241","159","120","601","6"
"14","138","2","241","159","120","611","7"
"14","229","2","243","224","-71","621","8"
"1","43","3","-353","71","32","781","1"
"2","268","3","-228","235","-30","801","2"
"3","45","3","-243","80","144","831","3"
"4","225","3","20","221","-76","851","4"
"5","222","3","230","211","-74","861","5"
"6","136","3","-100","115","44","891","6"
"7","136","3","-100","115","44","901","7"
"8","250","3","116","306","76","991","8"
"9","250","3","116","306","76","1001","9"
"10","250","3","116","306","76","1011","10"
"11","188","3","322","96","40","1041","11"
"12","188","3","322","96","40","1051","12"
"1","272","4","-211","294","-6","1091","1"
"2","115","4","-288","92","129","1101","2"
"3","115","4","-288","92","129","1111","3"
"4","174","4","-58","135","128","1121","4"
"5","184","4","143","222","133","1151","5"
"6","98","4","-277","134","-129","1161","6"
"7","98","4","-277","134","-129","1171","7"
"8","70","4","-60","67","-12","1211","8"
"9","70","4","-60","67","-12","1221","9"
"10","185","4","116","132","-55","1231","10"
"11","89","4","-17","93","-103","1261","11"
"12","89","4","-17","93","-103","1271","12"
"13","239","4","232","150","23","1311","13"
"1","72","5","-289","114","-161","1391","1"
"2","72","5","-289","114","-161","1401","2"
"3","248","5","-261","228","80","1411","3"
"4","211","5","-103","223","-91","1431","4"
"5","181","5","-87","186","95","1471","5"
"6","176","5","69","132","-122","1551","6"
"7","176","5","69","132","-122","1561","7"
"8","184","5","54","143","91","1611","8"
"9","247","5","204","211","45","1641","9"
"10","167","5","308","137","141","1651","10"
"11","174","5","282","175","-46","1661","11"
"1","240","6","-252","222","-11","1741","1"
"2","245","6","-19","311","-96","1761","2"
"3","221","6","-46","261","95","1771","3"
"4","237","6","152","166","83","1781","4"
"5","229","6","227","183","-100","1782","5"
"1","183","7","-249","223","-46","1811","1"
"2","247","7","-159","337","54","1881","2"
"3","191","7","30","202","-70","1921","3"
"4","215","7","173","176","0","1941","4"
"5","236","7","292","204","77","1981","5"
"1","254","8","-472","209","89","2001","1"
"2","282","8","-375","250","-77","2031","2"
"3","223","8","-280","241","110","2051","3"
"4","270","8","-148","243","-85","2101","4"
"5","264","8","3","274","74","2131","5"
"6","302","8","155","321","-36","2171","6"
"7","277","8","283","199","82","2201","7"
"8","344","8","374","349","0","2271","8"
"1","301","9","-275","240","-30","2321","1"
"2","108","9","-132","106","-115","2361","2"
"3","108","9","-132","106","-115","2371","3"
"4","246","9","-73","202","32","2381","4"
"5","84","9","-43","114","-140","2411","5"
"6","84","9","-43","114","-140","2421","6"
"8","84","9","50","86","65","2461","7"
"9","84","9","50","86","65","2471","8"
"10","137","9","80","185","-110","2481","9"
"11","137","9","80","185","-110","2491","10"
"7","377","9","131","301","24","2521","11"
"12","305","9","280","190","-50","2531","12"
"3","145","10","-527","123","-137","2601","1"
"4","145","10","-527","123","-137","2611","2"
"1","295","10","-379","408","35","2621","3"
"2","192","10","-299","171","103","2622","4"
"6","244","10","-138","342","-64","2623","5"
"5","254","10","-47","224","9","2701","6"
"8","204","10","131","253","-88","2781","7"
"9","139","10","89","110","23","2791","8"
"10","139","10","89","110","23","2801","9"
"7","249","10","275","292","42","2811","10"
"11","151","10","274","126","-120","2821","11"
"12","151","10","274","126","-120","2831","12"
"13","316","10","448","276","-17","2841","13"
"1","203","11","-292","158","-87","2901","1"
"2","187","11","-224","256","123","3011","2"
"3","225","11","-65","144","-80","3031","3"
"4","214","11","80","149","-84","3111","4"
"5","194","11","227","201","112","3131","5"
"6","111","11","159","161","-111","3141","6"
"7","111","11","159","161","-111","3151","7"
"8","209","11","307","166","-80","3171","8"
"3","206","12","-185","364","-106","3211","1"
"1","277","12","-304","160","34","3221","2"
"2","275","12","-107","249","45","3231","3"
"5","233","12","31","167","-46","3321","4"
"7","130","12","135","174","-122","3381","5"
"8","130","12","135","174","-122","3391","6"
"4","223","12","127","244","101","3431","7"
"6","246","12","254","235","-24","3441","8"
"9","156","12","303","167","-114","3461","9"
"10","156","12","303","167","-114","3471","10"
"11","94","12","338","108","152","3491","11"
"12","94","12","338","108","152","3501","12"
"3","270","13","-286","210","-48","3531","1"
"2","103","13","-310","92","144","3541","2"
"3","219","13","-152","228","-90","3551","3"
"4","103","13","-148","94","99","3561","4"
"5","71","13","-12","110","-157","3571","5"
"1","274","13","-5","209","-2","3581","6"
"6","292","13","141","219","-72","3691","7"
"7","104","13","146","88","143","3701","8"
"8","135","13","299","160","131","3741","9"
"9","135","13","299","160","131","3751","10"
"10","268","13","301","179","-82","3791","11"
"2","286","14","-470","197","6","3801","1"
"3","89","14","-520","134","-123","3811","2"
"1","236","14","-369","204","103","3821","3"
"5","241","14","-283","176","-74","3861","4"
"6","236","14","-151","156","-83","3891","5"
"4","226","14","-174","219","108","3911","6"
"10","96","14","-51","107","-130","3921","7"
"9","251","14","-5","179","50","3931","8"
"11","102","14","100","113","-106","3941","9"
"12","317","14","268","242","-41","3951","10"
"7","240","14","138","209","79","3961","11"
"8","240","14","138","209","79","3971","12"
"14","93","14","441","125","-125","4021","13"
"13","279","14","485","219","22","4031","14"
