855bd0c44fd152cff55864187f6a9e90cfc0f379c115264ef1c0fc9931a4c1d5,eb5a42df406cd1ded383a4c1d4079b853732e361e6cf2eb626c3a4ecbeee6057,a1c06c79a5b53963dd00a0a262f0ba557f61f6f872dd0312b0406290bf5ae5ff,b69726f863fe534aa94360743f45049a36c370b67ae52ee34e79798d0d4239fe,21ee6a46478f9be988b33338a412f2c534e60b20c2140016b4d98d3aebe1fa8f
"ダメージ減衰","75000001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000101"
"ＴＰ上昇上限付与","75000001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000102"
"物理防御力（ダウン不可）アップ","75000001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000103"
"魔法防御力（ダウン不可）アップ","75000001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000104"
"ＨＰ吸収ダウン","75000001","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000105"
"ＴＰダウンカット","75000001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000106"
"ダメージ減衰","75000002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000201"
"ＴＰ上昇上限付与","75000002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000202"
"物理防御力（ダウン不可）アップ","75000002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000203"
"魔法防御力（ダウン不可）アップ","75000002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000204"
"ＨＰ吸収ダウン","75000002","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000205"
"ＴＰダウンカット","75000002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000206"
"ダメージ減衰","75000003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000301"
"ＴＰ上昇上限付与","75000003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000302"
"物理防御力（ダウン不可）アップ","75000003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000303"
"魔法防御力（ダウン不可）アップ","75000003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000304"
"ＨＰ吸収ダウン","75000003","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000305"
"ＴＰダウンカット","75000003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000306"
"ダメージ減衰","75000004","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000401"
