cc1b0a29ec47574bf5f64a89539482b509172fba5a59ffb739a0bc3a234a9956,08a6ae1a0a167b7061b761eaf24e50028b7b03f68937bf49b3d72bcb2910e8f1,7a33a01496d96204c6a16df4f285d615735fba6eaba739e483c505b2286e7e37,5cc0595e173cb938a13f16957a81438816ec473b2823d1c52aba90f285d531c7,82775201ef0f8815f9d5c3e1657b59cfa5e2c8190c5e73c79a9eaa753b0b8aef,722d438a2666ee81f0b1c1d7a9c1ec4e6a212fed4b4253618abdbd182487f47c,eb1c18339f3374275d329ca0ce909fd2e330e671a2ab75ee0c1bf3dca2ee8822,73a38f40d79da0df799a7842b296569f9c5abd62c4655e464399923a81022aa6,84511020bb0575b5dc613e5a2182c76f16b8b3aee70f96999992fd9089d6dcc5,a41da6870285218d20fe4021c1d38001e34b97d13bdbc8213e090969cc52500a
"bgm_M301","記憶領域1層","bgm_M301","102231","102231","-100","0","1","0","75000001"
"bgm_M248_02","記憶領域2層","bgm_M248","81002102","81002102","0","0","1","0","75000002"
"bgm_M301","記憶領域3層","bgm_M301","102241","102241","-100","0","1","0","75000003"
"bgm_M268","記憶領域4層","bgm_M268","81002502","81002502","0","0","1","0","75000004"
"bgm_M502","記憶領域5層","bgm_M502","102881","102881","-100","0","1","0","75000005"
"bgm_M397","記憶領域6層","bgm_M397","81004602","81004602","0","0","1","0","75000006"
"bgm_M503","記憶領域7層","bgm_M503","102871","102871","-100","0","1","0","75000007"
"bgm_M577","記憶領域8層","bgm_M577","81009002","81009002","0","0","1","0","75000008"
"bgm_M301","記憶領域9層","bgm_M301","102251","102251","-100","0","1","0","75000009"
"bgm_M505","記憶領域10層","bgm_M505","102861","102861","-100","0","1","0","75000010"
"bgm_M621","記憶領域11層","bgm_M621","81010002","81010002","0","0","1","0","75000011"
"bgm_M504","記憶領域12層","bgm_M504","81000605","81000605","-100","0","1","0","75000012"
