5f781773152b98a081626ba3aa2849f77f39977d08b2b18ad743730f05bd742d,6512566e46f5e0561d3fd8b72f878950717e3d35b73007a72a33c2ecacd53bb7,3dce5db0db111415d781ea304cea1ebe76fc65d0393d02bc091ccb3a6c32e03a,5160018aaa681b39e5ca5e51476e5b72a8492e931578fd432807023777061481
"104001","2025/03/31 12:00:00","1020301","10203"
"126401","2025/03/31 12:00:00","1020302","10203"
"134701","2025/04/15 15:00:00","1020303","10203"
"126501","2025/03/31 12:00:00","1020304","10203"
"127801","2025/03/31 12:00:00","1020305","10203"
"132501","2025/05/15 15:00:00","1020401","10204"
"132301","2025/05/03 19:00:00","1020402","10204"
"100901","2025/04/30 12:00:00","1020403","10204"
"102701","2025/04/30 12:00:00","1020404","10204"
"101301","2025/04/30 12:00:00","1020405","10204"
"105101","2025/04/30 12:00:00","1020406","10204"
"105601","2025/04/30 12:00:00","1020407","10204"
"134901","2025/06/10 12:00:00","1020501","10205"
"105401","2025/05/31 12:00:00","1020502","10205"
"113901","2025/05/31 12:00:00","1020503","10205"
"117401","2025/05/31 12:00:00","1020504","10205"
"134801","2025/05/31 12:00:00","1020505","10205"
"106501","2025/05/31 12:00:00","1020506","10205"
"104501","2025/05/31 12:00:00","1020507","10205"
"129701","2025/05/31 12:00:00","1020508","10205"
"129001","2025/06/30 12:00:00","1020601","10206"
"106401","2025/06/30 12:00:00","1020602","10206"
"126101","2025/06/30 12:00:00","1020603","10206"
"129601","2025/07/31 12:00:00","1020701","10207"
"126001","2025/07/31 12:00:00","1020702","10207"
"106001","2025/07/31 12:00:00","1020703","10207"
"103001","2025/07/31 12:00:00","1020704","10207"
"129701","2025/07/31 12:00:00","1020705","10207"
"125801","2025/07/31 12:00:00","1020706","10207"
"135501","2025/08/31 12:00:00","1020801","10208"
"135601","2025/09/08 12:00:00","1020802","10208"
"100101","2025/08/31 12:00:00","1020803","10208"
"100301","2025/08/31 12:00:00","1020804","10208"
"135901","2025/10/10 12:00:00","1020901","10209"
"135801","2025/09/30 12:00:00","1020902","10209"
"133101","2025/09/30 12:00:00","1020903","10209"
"133001","2025/09/30 12:00:00","1020904","10209"
"100701","2025/09/30 12:00:00","1020905","10209"
"136001","2025/10/31 12:00:00","1021001","10210"
"101401","2025/10/31 12:00:00","1021002","10210"
"136201","2025/11/14 12:00:00","1021003","10210"
"134901","2025/10/31 12:00:00","1021004","10210"
"129701","2025/10/31 12:00:00","1021005","10210"
"134701","2025/10/31 12:00:00","1021006","10210"
"134801","2025/10/31 12:00:00","1021007","10210"
"118201","2025/11/30 12:00:00","1021101","10211"
"100201","2025/11/30 12:00:00","1021102","10211"
"101201","2025/11/30 12:00:00","1021103","10211"
"104301","2025/11/30 12:00:00","1021104","10211"
"104901","2025/12/31 12:00:00","1021201","10212"
"106801","2025/12/31 12:00:00","1021202","10212"
"101101","2025/12/31 12:00:00","1021203","10212"
