dc2cdd9cbfe549c7fce872d8da41007494f825fd0d839f13c9a6e572f1513634,afb2a1d6c42468faf3b24219b4123ef0c96704a33dfe260d178ee0eac75922f3,ee114bee60e6587bcae02ef47df5a0ab728445a544b69e09dc7f9c4f3c44ea33,6ca118485f86c23957edb358988aece321b0f16f27d397347c6f4df58a6cbfe8,58f01ffe31ee90851f440b42cbadcd84ddb05468fc118af4b51612dacb7e57e0,be250b159f7c92db2f3e0d86c60cab8ad8d67eea34458003302c45ff04cfb46a
"10009101","1","10009106","0","1","1"
"10009101","2","10009112","0","1","1"
"10010101","3","10010110","0","1","1"
"10019101","4","1001901","0","1","2"
"10021101","5","10021112","0","1","1"
"10025101","6","10025109","0","1","1"
"10025","7","5025001","500810","2","3"
"20009101","8","20009106","0","1","1"
"20009101","9","20009112","0","1","1"
"20010101","10","20010110","0","1","1"
"10042","12","5042001","501001","2","3"
"20015101","13","2001501","0","1","2"
"10044","14","5044001","501031","2","3"
"20016101","15","20016112","0","1","1"
"10046","16","5046002","501103","2","3"
"10049101","17","10049109","0","1","1"
"10066101","19","10066112","0","1","1"
"10066","20","5066005","501291","2","3"
"10069","21","5042001","501001","2","3"
"10071","22","5044001","501031","2","3"
"10068","23","5068001","501341","2","3"
"10070","24","5070004","501353","2","3"
"10070","25","5070005","500016","2","3"
"10072","26","5072004","501364","2","3"
"10072","27","5072006","501365","2","3"
"10073","28","5046002","501103","2","3"
"10074","29","5074001","501383","2","3"
"10076101","30","10076112","0","1","1"
"10076","31","5076005","505036","2","3"
"10078","32","5078004","501451","2","3"
"10080","33","5080005","501463","2","3"
"10082101","34","10082105","0","1","1"
"10082102","35","10082108","0","1","1"
"10082103","36","10082111","0","1","1"
"10082","37","5082002","501160","2","3"
"10082","38","5082004","501031","2","3"
"10082","39","5082005","501483","2","3"
"10084","40","5084001","500368","2","3"
"10084","41","5084002","510306","2","3"
"10084","42","5084003","500039","2","3"
"10085","43","5085002","500368","2","3"
"10085","44","5085003","510203","2","3"
"10085","45","5085004","500272","2","3"
"10085","46","5085005","501501","2","3"
"10088","47","5088005","501810","2","3"
"20025","50","5042001","501001","2","3"
"10090","51","5090002","501541","2","3"
"20026","55","5044001","501031","2","3"
"10093101","56","10093112","0","1","1"
"10093","57","5066005","501291","2","3"
"20027","58","5046002","501103","2","3"
"10092","59","5092001","501031","2","3"
"10092","60","5092004","501551","2","3"
"10094","61","5094001","501593","2","3"
"10095","62","5068001","501341","2","3"
"20018","67","5025001","500810","2","3"
"10096","68","5096002","501613","2","3"
"10097","73","5070004","501353","2","3"
"10097","74","5070005","500016","2","3"
"10098","75","5098000","501031","2","3"
"10098101","76","10098104","0","1","1"
"10098102","77","10098111","0","1","1"
"10099","78","5072004","501364","2","3"
"10099","79","5072006","501365","2","3"
"10100","80","5100003","500837","2","3"
"10101","82","5074001","501383","2","3"
"10101","83","5074001","501383","2","3"
"10102","84","5102002","501873","2","3"
"10103101","85","10103112","0","1","1"
"10103","86","5076005","505036","2","3"
"10108","88","5108002","501911","2","3"
"10104","89","5104003","500133","2","3"
"10105","90","5078004","501451","2","3"
"10110","93","5110005","501931","2","3"
"10111","94","5111005","500013","2","3"
"10107","95","5080005","501463","2","3"
"10109101","96","10109105","0","1","1"
"10109102","97","10109108","0","1","1"
"10109103","98","10109111","0","1","1"
"10109","99","5082002","501160","2","3"
"10109","100","5082004","501031","2","3"
"10109","101","5082005","501483","2","3"
"10112","103","5084001","500368","2","3"
"10112","104","5084002","510306","2","3"
"10112","105","5084003","500039","2","3"
"10113","106","5085002","500368","2","3"
"10113","107","5085003","510203","2","3"
"10113","108","5085004","500272","2","3"
"10113","109","5085005","501501","2","3"
"10110101","110","1011001","0","1","2"
"20037101","111","20037112","0","1","1"
"20037","112","5066005","501291","2","3"
"10115","113","5088005","501810","2","3"
"10114","114","5114000","500016","2","3"
"10114","115","5114003","501952","2","3"
"20038","116","5068001","501341","2","3"
"10117","117","5090002","501541","2","3"
"20039","121","5070004","501353","2","3"
"20039","122","5070005","500016","2","3"
"10116","123","5116004","500837","2","3"
"10119","124","5092001","501031","2","3"
"10119","125","5092004","501551","2","3"
"10118","126","5118002","500133","2","3"
"10118","127","5118003","500810","2","3"
"10118","128","5118007","500133","2","3"
"20040","129","5072004","501364","2","3"
"20040","130","5072006","501365","2","3"
"10124","132","5124003","501614","2","3"
"20041","133","5074001","501383","2","3"
"10121","135","5094001","501593","2","3"
"10122","136","5122000","502003","2","3"
"10122","137","5122002","502015","2","3"
"10123","138","5096002","501613","2","3"
"20042","139","5076005","505036","2","3"
"20043","140","5078004","501451","2","3"
"10125","141","5098000","501031","2","3"
"10127","143","5100003","500837","2","3"
"20044","144","5080005","501463","2","3"
"10128","145","5128001","502063","2","3"
"10129","146","5102002","501873","2","3"
"20045101","147","20045105","0","1","1"
