794360b18914d4ed6b48e6047c57bcb9d2fd273c33c4ba8da1705817c1b40e80,9e69231a8302e77489e5e31895ccc83fa7bb02ccf3217fab56f89c35f96e5bea,fc8fe80c00c1843cf0d8148fe7e6d54d3510b12e1d06c6aeadf8e66fc3c4edcd,3afd0fdf17b55d3abd774b03f575c9a58a0b0d0507cb55ac1abc11b17b0050a7,7c4f9a6ee21aa38332ccd954440614f6772379145749d7dafbacb4c1fc22a358
"200","8500","30","1","1"
"5","1500","30","1","2"
"220","8500","60","2","3"
"5","1500","60","2","4"
"200","8500","60","3","5"
"200","1500","15","3","6"
"200","8500","60","4","7"
"200","1500","10","4","8"
"150","8500","40","5","9"
"5","1500","40","5","10"
"150","8500","60","6","11"
"200","1500","10","6","12"
"150","8500","40","7","13"
"5","1500","40","7","14"
"150","8500","50","8","15"
"200","1500","15","8","16"
"150","8500","45","9","17"
"200","1500","10","9","18"
"145","8500","40","10","19"
"5","1500","10","10","20"
"300","8500","40","11","21"
"5","1500","10","11","22"
"200","8500","65","12","23"
"200","1500","10","12","24"
"150","8500","40","13","25"
"5","1500","10","13","26"
"100","8500","40","14","27"
"5","1500","10","14","28"
"200","8500","50","15","29"
"5","1500","10","15","30"
"250","8500","60","16","31"
"200","1500","30","16","32"
"120","8500","45","17","33"
"300","1500","90","17","34"
"120","8500","90","18","35"
"200","1500","30","18","36"
"190","8500","50","19","37"
"350","1500","60","19","38"
"95","8500","90","20","39"
"95","1500","90","20","40"
"200","8500","20","21","41"
"5","1500","5","21","42"
"450","8500","30","22","43"
"5","1500","5","22","44"
"200","8500","20","23","45"
"5","1500","5","23","46"
"130","8500","30","1001","47"
"5","1500","5","1001","48"
"140","8500","30","1002","49"
"5","1500","5","1002","50"
"150","8500","40","1003","51"
"5","1500","5","1003","52"
"155","8500","45","1004","53"
"200","1500","5","1004","54"
"155","8500","60","1005","55"
"200","1500","10","1005","56"
"150","8500","60","1006","57"
"200","1500","15","1006","58"
"150","8500","60","1007","59"
"200","1500","15","1007","60"
"160","8500","50","1008","61"
"200","1500","15","1008","62"
"140","8500","70","1009","63"
"200","1500","30","1009","64"
"180","8500","35","1010","65"
"200","1500","120","1010","66"
"140","8500","65","1011","67"
"200","1500","30","1011","68"
"200","8500","35","1012","69"
"5","1500","5","1012","70"
"150","8500","70","1013","71"
"200","1500","15","1013","72"
"150","8500","60","1014","73"
"200","1500","15","1014","74"
"150","8500","60","1015","75"
"200","1500","15","1015","76"
"150","8500","60","1016","77"
"200","1500","15","1016","78"
"150","8500","60","1017","79"
"200","1500","15","1017","80"
"120","8500","50","1018","81"
"200","1500","60","1018","82"
"102","8500","67","1019","83"
"200","1500","60","1019","84"
"120","8500","35","1020","85"
"250","1500","60","1020","86"
"200","7000","30","10001","87"
"5","3000","30","10001","88"
"220","7000","60","10002","89"
"5","3000","60","10002","90"
"200","7000","60","10003","91"
"200","3000","15","10003","92"
"200","7000","60","10004","93"
"200","3000","10","10004","94"
"150","7000","40","10005","95"
"5","3000","40","10005","96"
"150","7000","60","10006","97"
"200","3000","10","10006","98"
"150","7000","40","10007","99"
"5","3000","40","10007","100"
"150","7000","50","10008","101"
"200","3000","15","10008","102"
"150","7000","45","10009","103"
"200","3000","10","10009","104"
"145","7000","40","10010","105"
"5","3000","10","10010","106"
"300","7000","40","10011","107"
"5","3000","10","10011","108"
"200","7000","65","10012","109"
"200","3000","10","10012","110"
"150","7000","40","10013","111"
"5","3000","10","10013","112"
"100","7000","40","10014","113"
"5","3000","10","10014","114"
"200","7000","50","10015","115"
"5","3000","10","10015","116"
"250","7000","60","10016","117"
"200","3000","30","10016","118"
"120","7000","45","10017","119"
"300","3000","90","10017","120"
"120","7000","90","10018","121"
"200","3000","30","10018","122"
"190","7000","50","10019","123"
"350","3000","60","10019","124"
"95","7000","90","10020","125"
"95","3000","90","10020","126"
"200","7000","60","10021","127"
"200","3000","60","10021","128"
"200","7000","60","10022","129"
"200","3000","60","10022","130"
"200","7000","60","10023","131"
"200","3000","60","10023","132"
"130","7000","30","11001","133"
"5","3000","5","11001","134"
"140","7000","30","11002","135"
"5","3000","5","11002","136"
"150","7000","40","11003","137"
"5","3000","5","11003","138"
"155","7000","45","11004","139"
"200","3000","5","11004","140"
"155","7000","60","11005","141"
"200","3000","10","11005","142"
"150","7000","60","11006","143"
"200","3000","15","11006","144"
"150","7000","60","11007","145"
"200","3000","15","11007","146"
"160","7000","50","11008","147"
"200","3000","15","11008","148"
"140","7000","70","11009","149"
"200","3000","30","11009","150"
"180","7000","35","11010","151"
"200","3000","120","11010","152"
"140","7000","65","11011","153"
"200","3000","30","11011","154"
"200","7000","35","11012","155"
"5","3000","5","11012","156"
"150","7000","70","11013","157"
"200","3000","15","11013","158"
"150","7000","60","11014","159"
"200","3000","15","11014","160"
"150","7000","60","11015","161"
"200","3000","15","11015","162"
"150","7000","60","11016","163"
"200","3000","15","11016","164"
"150","7000","60","11017","165"
"200","3000","15","11017","166"
"120","7000","50","11018","167"
"200","3000","60","11018","168"
"102","7000","67","11019","169"
"200","3000","60","11019","170"
"120","7000","35","11020","171"
"250","3000","60","11020","172"
"200","5000","30","20001","173"
"5","5000","30","20001","174"
"220","5000","60","20002","175"
"5","5000","60","20002","176"
"200","5000","60","20003","177"
"200","5000","15","20003","178"
"200","5000","60","20004","179"
"200","5000","10","20004","180"
"150","5000","40","20005","181"
"5","5000","40","20005","182"
"150","5000","60","20006","183"
"200","5000","10","20006","184"
"150","5000","40","20007","185"
"5","5000","40","20007","186"
"150","5000","50","20008","187"
"200","5000","15","20008","188"
"150","5000","45","20009","189"
"200","5000","10","20009","190"
"145","5000","40","20010","191"
"5","5000","10","20010","192"
"300","5000","40","20011","193"
"5","5000","10","20011","194"
"200","5000","65","20012","195"
"200","5000","10","20012","196"
"150","5000","40","20013","197"
"5","5000","10","20013","198"
"100","5000","40","20014","199"
"5","5000","10","20014","200"
"200","5000","50","20015","201"
"5","5000","10","20015","202"
"250","5000","60","20016","203"
"200","5000","30","20016","204"
"120","5000","45","20017","205"
"300","5000","90","20017","206"
"120","5000","90","20018","207"
"200","5000","30","20018","208"
"190","5000","50","20019","209"
"350","5000","60","20019","210"
"95","5000","90","20020","211"
"95","5000","90","20020","212"
"200","5000","60","20021","213"
"200","5000","60","20021","214"
"200","5000","60","20022","215"
"200","5000","60","20022","216"
"200","5000","60","20023","217"
"200","5000","60","20023","218"
"130","5000","30","21001","219"
"5","5000","5","21001","220"
"140","5000","30","21002","221"
"5","5000","5","21002","222"
"150","5000","40","21003","223"
"5","5000","5","21003","224"
"155","5000","45","21004","225"
"200","5000","5","21004","226"
"155","5000","60","21005","227"
"200","5000","10","21005","228"
"150","5000","60","21006","229"
"200","5000","15","21006","230"
"150","5000","60","21007","231"
"200","5000","15","21007","232"
"160","5000","50","21008","233"
"200","5000","15","21008","234"
"140","5000","70","21009","235"
"200","5000","30","21009","236"
"180","5000","35","21010","237"
"200","5000","120","21010","238"
"140","5000","65","21011","239"
