ded6d77c4e8ec6dee0197ee7b38285410bbe0778a9da9f8775b9afc75a36251f,da5d4bb9161ff98ce57a15a58caadb1763a091b3b50de1a700a55d6ecef950ab,4c160d647e2ccfaa565a893683cc6e8e7e03e89e7873371f83e86dffa632dab1,9ebfcdd37ec035449c5cd7ecb0f32467637f48147f80a08189f39c4dae746d25,85d41e1d7f2bcc53d5a4c51301fd420a458ba89ea3bd2486a8be7fe6ca038c2f,edaeb1a7b4cdcd0d8b30be62c09650f70f52de77cc8cfda95de9c62d751d94a2,3eac9bc9f3ebf03340bd4e8e8df6ebc241e7e8abd858978dc89edffc6e3a5010,db606d30b2dc3ca9f8ab0c1f333502c13f3813d43b69b48f673359072eaa374b,bb919da7610cba61107f8bbf92ed632cb75b1f279ff6b42e558b4ee1f4529c15
"21600","1","","23001","1","2","2","","1"
"19800","1","","23001","2","2","3","","1"
"18000","1","","23001","3","2","3","","1"
"16200","1","","23001","4","2","3","","1"
"14400","1","","23001","5","2","4","","1"
"12960","1","","23001","6","2","4","","1"
"11520","1","","23001","7","2","5","","1"
"10080","1","","23001","8","2","6","","1"
"8640","1","","23001","9","2","7","","1"
"7200","1","","23001","10","2","8","","1"
"5760","1","","23001","11","2","10","","1"
"5040","1","","23001","12","2","12","","1"
"4320","1","","23001","13","2","14","","1"
"7200","1","","23001","14","2","16","","2"
"5400","1","","23001","15","2","18","","2"
"5040","1","","23001","16","2","18","","2"
"4800","1","","23001","17","2","18","","2"
"4500","1","","23001","18","2","20","","2"
"4320","1","","23001","19","2","20","","2"
"6000","1","","23001","20","2","24","","3"
"5700","1","","23001","21","2","48","","3"
"5400","1","","23001","22","2","48","","3"
"5220","1","","23001","23","2","51","","3"
"4980","1","","23001","24","2","54","","3"
"4800","1","","23001","25","2","54","","3"
"4500","1","","23001","26","2","60","","3"
"4320","1","","23001","27","2","60","","3"
"4200","1","","23001","28","2","63","","3"
"5400","1","","23001","29","2","64","","4"
"5220","1","","23001","30","2","68","","4"
"5040","1","","23001","31","2","72","","4"
"4920","1","","23001","32","2","72","","4"
"4800","1","","23001","33","2","72","","4"
"4680","1","","23001","34","2","76","","4"
"4500","1","","23001","35","2","80","","4"
"21600","2","","93001","1","6","80","","20"
"21600","2","","93001","2","6","96","","24"
"21600","2","","93001","3","6","112","","28"
"21600","2","","93001","4","6","120","","30"
"21600","2","","93001","5","6","128","","32"
"21600","2","","93001","6","6","136","","34"
"21600","2","","93001","7","6","144","","36"
"21600","2","","93001","8","6","152","","38"
"21600","2","","93001","9","6","160","","40"
"21600","2","","93001","10","6","168","","42"
"21600","2","","93001","11","6","176","","44"
"21600","2","","93001","12","6","184","","46"
"21600","2","","93001","13","6","192","","48"
"21600","2","","93001","14","6","200","","50"
"21600","2","","93001","15","6","208","","52"
"21600","2","","93001","16","6","216","","54"
"21600","2","","93001","17","6","224","","56"
"21600","2","","93001","18","6","232","","58"
"21600","2","","93001","19","6","240","","60"
"21600","2","","93001","20","6","248","","62"
"21600","2","","93001","21","6","256","","64"
"21600","2","","93001","22","6","264","","66"
"21600","2","","93001","23","6","272","","68"
"21600","2","","93001","24","6","280","","70"
"21600","2","","93001","25","6","288","","72"
"21600","2","","93001","26","6","296","","74"
"21600","2","","93001","27","6","304","","76"
"21600","2","","93001","28","6","312","","78"
"21600","2","","93001","29","6","320","","80"
"21600","2","","93001","30","6","328","","82"
"21600","2","","93001","31","6","336","","84"
"21600","2","","93001","32","6","340","","85"
"21600","2","","93001","33","6","344","","86"
"21600","2","","93001","34","6","348","","87"
"21600","2","","93001","35","6","352","","88"
"14400","3","","20001","1","2","3","","1"
"9600","3","","20001","2","2","5","","1"
"7200","3","","20001","3","2","7","","1"
"5400","3","","20001","4","2","10","","1"
"3600","3","","20001","5","2","15","","1"
"9600","3","","20002","6","2","6","","1"
"7200","3","","20002","7","2","8","","1"
"4800","3","","20002","8","2","12","","1"
"3600","3","","20002","9","2","16","","1"
"2700","3","","20002","10","2","20","","1"
"10800","3","","20003","11","2","6","","1"
"9000","3","","20003","12","2","8","","1"
"7200","3","","20003","13","2","12","","1"
"5400","3","","20003","14","2","16","","1"
"3600","3","","20003","15","2","20","","1"
"2880","3","","20003","16","2","30","","1"
"12600","3","","20004","17","2","7","","1"
"11400","3","","20004","18","2","8","","1"
"10200","3","","20004","19","2","9","","1"
"9300","3","","20004","20","2","10","","1"
"8700","3","","20004","21","2","10","","1"
"6600","3","","20004","22","2","13","","1"
"6300","3","","20004","23","2","14","","1"
"6000","3","","20004","24","2","15","","1"
"5700","3","","20004","25","2","15","","1"
"5400","3","","20004","26","2","16","","1"
"5100","3","","20004","27","2","17","","1"
"4860","3","","20004","28","2","18","","1"
"4620","3","","20004","29","2","19","","1"
"4440","3","","20004","30","2","20","","1"
"4260","3","","20004","31","2","21","","1"
"4080","3","","20004","32","2","22","","1"
"3960","3","","20004","33","2","22","","1"
"3840","3","","20004","34","2","23","","1"
"3720","3","","20004","35","2","24","","1"
"21600","4","","94002","1","12","12000","","3000"
"21600","4","","94002","2","12","18000","","4500"
"21600","4","","94002","3","12","24000","","6000"
"21600","4","","94002","4","12","30000","","7500"
"21600","4","","94002","5","12","42000","","10500"
"21600","4","","94002","6","12","54000","","13500"
"21600","4","","94002","7","12","66000","","16500"
"21600","4","","94002","8","12","84000","","21000"
"21600","4","","94002","9","12","102000","","25500"
"21600","4","","94002","10","12","120000","","30000"
"21600","4","","94002","11","12","144000","","36000"
"21600","4","","94002","12","12","168000","","42000"
"21600","4","","94002","13","12","192000","","48000"
"21600","4","","94002","14","12","222000","","55500"
"21600","4","","94002","15","12","252000","","63000"
"21600","4","","94002","16","12","282000","","70500"
"21600","4","","94002","17","12","318000","","79500"
"21600","4","","94002","18","12","354000","","88500"
"21600","4","","94002","19","12","390000","","97500"
"21600","4","","94002","20","12","432000","","108000"
"21600","4","","94002","21","12","474000","","118500"
"21600","4","","94002","22","12","516000","","129000"
"21600","4","","94002","23","12","562000","","140500"
"21600","4","","94002","24","12","600000","","150000"
"21600","4","","94002","25","12","642000","","160500"
"21600","4","","94002","26","12","684000","","171000"
"21600","4","","94002","27","12","726000","","181500"
"21600","4","","94002","28","12","768000","","192000"
"21600","4","","94002","29","12","810000","","202500"
"21600","4","","94002","30","12","852000","","213000"
"21600","4","","94002","31","12","894000","","223500"
"21600","4","","94002","32","12","920000","","230000"
"21600","4","","94002","33","12","940000","","235000"
"21600","4","","94002","34","12","960000","","240000"
"21600","4","","94002","35","12","980000","","245000"
"21600","5","","93001","1","6","48","","12"
"21600","6","","93001","1","6","48","","12"
"21600","7","","93001","1","6","48","","12"
"21600","8","","93001","1","6","48","","12"
"21600","11","","93001","1","6","48","","12"
"21600","12","","93001","1","6","48","","12"
"21600","19","","93001","1","6","48","","12"
"0","23","14999999999","0","0","0","0","4999999999","1"
"21600","25","","93001","1","6","48","","12"
"21600","28","","93001","1","6","48","","12"
