e7e50d7508b30ccced70e28d5b4b32d88b5d455447dedfe8008f2a5d73aabd12,97d59a94a1d1d9406da9726ad371359b5b86e785639431de509e3356b5eccf4f,ac2529ba135b36a7d2841bb8895c55552a975fd3601019c6be3723f088d49f14,4d33d6e32c556e2409e3e6a04813f3264012a7665e4b536b1c4ba31402d6f256,38ac3c70a459ca83c8b6c673e9e00637238dbc3a3db4470096fefcf33dec5f45,e063b954a2726f14d105c093ede2759eaa8018a71a5cf66344b949c05534668f,f51634caa5a278e372016c5db408a4613db7fa2dfbd94a5d3aaf7823d4e22fb4,0a35495d2c1b10425a3c002b7f6664117e950b40c09323f360aaac912531b251
"10001","10001101","10001","10001","タルグム地方","bgm_M32","10001101","bgm_M32"
"10002","10002101","10002","10002","マシーナ地方","bgm_M98_2","10002101","bgm_M98"
"10003","10003101","10003","10003","ランドソル郊外","bgm_M106","10003101","bgm_M106"
"10004","10004101","10004","10004","タパスビーチ周辺","bgm_M112","10004101","bgm_M112"
"10005","10005101","10005","10005","イルシオンの孤島","bgm_M121","10005101","bgm_M121"
"10006","10006101","10006","10006","王都ランドソル","bgm_M128","10006101","bgm_M128"
"10007","10007101","10007","10007","ランドソル近郊","bgm_M135","10007101","bgm_M135"
"10008","10008101","10008","10008","ランドソル近郊","bgm_M121","10008101","bgm_M121"
"10009","10009101","10009","10009","クリスマス","bgm_M171","10009101","bgm_M171"
"10010","10010101","10010","10010","神殿への参道","bgm_M121","10010101","bgm_M121"
"10011","10011101","10011","10011","バレンタイン","bgm_M189","10011101","bgm_M189"
"10012","10012101","10012","10012","王都ランドソル","bgm_M206","10012101","bgm_M206"
"10013","10013101","10013","10013","マナリア","bgm_M215","10013101","bgm_M215"
"10014","10014101","10014","10014","タルグム地方","bgm_M32","10014101","bgm_M32"
