db2b1fe06e621b7d6204bcf626644d32ddc2e118c9c7742af7872dae50d32fb4,fd781b8538eaa9ef4544570e1841751e4c166ced8d5a391fd1189da60adce536,d3860c8e6afc790058df97e5d446d71da082f3301cfea9f54b663452f9f2dfe1,de0c804a0b14abd056f701b14688e3c8b3c21a3c8c5e1ce7de575168a771d253,b61297f54e6b177bb1b4c86a63fcce05022ab873fcd26e37938fe14529477837,60d36de850525f6fb5767927ca0f95c8bc2ff250398431482b84711a3f396acb,71137e375bb90bf4d503a05d66bfe499cc37f35febebbe58bcd204708841a089,d653a32826bdd5486854285be078cea937b6be66e6e9575084c4e03defa81bc0,c6f7689ccaf6a6a7c01b9b0466fc69ccee80f688e094675346e0099bd88cd3b2,4429c130e3ebc9d0069ca793d522fa7cff5b529299b71e0eeea10671e65bb041,4e76fabf13fad3e28784c3e6b7551e3fd4403e915e60bb496208ffea20a2bc4e
"","イ","","1082","","","","","","",""
"","オ","","1107","","","","","","",""
"","","","1176","","","","","","","ツ"
"ホ","ー","","1189","","ル","","","","",""
"","ゥー","","1192","","","","","","",""
"","イ","","1245","","","","","","",""
"","","","1250","","ちそ","ゃさ","","","",""
"イ","ト","イトメ","2013","ナイト","メ","ア","トメア","ナメア","ナイア","ナ"
"ソ","ラ","ラドソ","2014","ランド","","ル","ンドル","ドソル","ランル","ン"
"","と","そのと","2015","そるの","","う","るのと","そのう","そるう","る"
"な","と","なのと","2016","るなう","う","の","のとう","るのう","るなと","る"
"","う","ひうて","2017","ひくう","い","","くうて","ひてい","ひくて","く"
"","ゃ","しん","2019","ふゃ","し","ん","","ふん","ふゃ","ふ"
"わ","し","むぎし","2020","むしわ","む","ぎ","ぎしゅ","むゅわ","ぎゅわ","ゅ"
"","","","2031","","","","S","","E",""
"","","","2032","AE","","","","","",""
"","","","2033","","","","","R","A",""
"","","","2034","","","","","I","E",""
"","","","2036","","","","","R","UA",""
"","","E","2037","Y","","","","L","E",""
"","","V","2038","I","","","","L","E",""
"","","","2040","","","","","I","L",""
"","","","2041","","","","","A","",""
"","","","2042","","","","Y","","",""
"","","","2043","","","","K","A","",""
"","","","2045","","","","","A","",""
"","","","2046","","","","Q","R","",""
"","","","2047","","","","","R","A",""
"","","","2048","","","","KQ","A","",""
"","","","2049","","","","","","B",""
"","","","2050","T","","","","A","U",""
"","","","2052","P","","","","C","EI",""
"","","","2053","T","","","","A","I",""
"","","","2054","S","","","","","",""
"","","","2055","","","","","R","",""
"","","","2056","","","","","","V",""
"","","","2058","","","","","WU","",""
"","","","2059","","","","R","","",""
"","","","2060","","","","R","","",""
"","","","2062","","","","","S","",""
"","","S","2063","S","","","","E","A",""
"","","","2064","A","","","","A","",""
"","","","2065","S","","","","","A",""
"","","","2066","","","","C","","",""
"","","","2067","","","","","","B",""
"","","","2068","","","","L","","I",""
"","","","2069","","","","C","E","",""
"","","D","2070","","","","","","E",""
"","","N","2071","I","","","","","A",""
"","","","2074","A","","","","C","",""
"","","","2077","A","","","","A","",""
"","","","2092","","","し","","","","ち"
"","","ム","2130","ト","","","フ","ァ","ン",""
"視","聴言","","2200","","わ","聞聴","","","","か"
"","","","2201","","","ビブ","","","","ー"
"","","","2202","","","ル","","","",""
"麦","飯","","2216","","鯉","","","","",""
"し","ゅ","","2261","","う","","","","",""
"","","","2264","","","","","","","ぅ"
"","ー","","2266","","","","","","",""
"ひ","ふ","","2295","","く","き","","","","ん"
"","","","2313","","","だ","","","",""
"","","","3020","","","","ル","ナ","",""
"フ","ェ","","3066","","","","","","",""
"く","","","3068","","","","","","",""
"","","","3073","","が","","","","",""
"","","","3084","","","生","","","",""
"","","","3158","","","ア","","","",""
"","","","3165","","ひ","","","","",""
"","","","3187","","","か","","","",""
"","","","3191","","デ","シス","","","","オ"
"","","","3193","","","さ","","","","ま"
"","","","3195","","","","ブ","","",""
"","","","3222","","ス","","","","",""
"","","","3238","","","ず","","","",""
"","","","3271","","","帰","","","",""
"","ク","","3277","","","","","","",""
"","","","3318","","ア","","","","",""
"","","","4029","","","し","","","","ち"
"","","","4049","","","","","","","X"
"","","","4052","","","た","","","",""
"","","","4077","","","さ","","","",""
"","","","4154","","","","","","","帯"
"","","","4157","","","","","","そ",""
"","","","4167","","","","","","い",""
"","","","4171","","","","二","","",""
"","","","4194","倍","","","","小","",""
"","","","4195","約","","","","大","",""
"高","","","4196","","底","","","","",""
"","","","4197","","","","半","","",""
"","","","4203","","","く","","","",""
"","","","4220","","ウ","","","","",""
"","ィ","","4222","","","","","","",""
"セ","","","4247","","","","","","",""
"","","","5010","","ー","","","","",""
"","","","5011","","ワ","","","","",""
"","","テカ","5030","ラモ","","","","","",""
"","","レカ","5031","オモ","","","","","",""
"","","","5051","","ー","","","","",""
"","お","","5066","","か","ら","","","",""
"","","","5100","","ぶ","","","","",""
"","","つ","5109","じ","","","み","つ","",""
"","","ー","5140","タ","","","カ","ウ","ン",""
"","","","5147","","","","","","","ロ"
"","","","5160","","と","","","","",""
"","牛","卯戌子","5193","戌酉子","虎","","卯辰戌","戌酉卯","戌卯辰",""
"","","","6060","","","","","","","ト"
"","","","6065","","ほ","","","","",""
"","","","6157","","","ィ","","","",""
"","","ト","6188","","","","","","",""
"イ","ン","","6203","","ド","","","","",""
"","","","6216","","ク","ジ","","","","ラ"
"","","","6227","","","","チ","ョ","ウ",""
