668651c0c785087123b9ce69899aaa8ec72c932e244e29b9bd5a5287fdd798e6,1a40c09cf4d8e0aa1ae2e92f8b2531cdcf085a899f337b896af49c418426767e,11ff526674589dd587d18f5d2a282f543ae35f7a97e9886e9c1eca4e321f4f52,c2d181006776c3fef7f222fe55d1e15714fe40ce5d5a4237bc3e24b869b12b2c,366dc8157428c5ef561f8156e0eb9922e2d573f43d7f4cbbe1949f28b0e31225,4bae0dd4fd276b77c86f4c79f8f6eb05f0ff50803acaf4ce8ab13298c6216d0d,6359a53441e37af092ca32d444557bf5cb0ad7ce43b46ec2acd1504155d55d3f,ef81e13ebf07964edeeb36bfe73e2b4164b85ed55443a069356e4a0f69e0e3f8,6c076b1eebe939dead881c5b9e91f75e0c48aa3141442aa6198fad642f90f94d
"20000","0","0","30000","0","50","5000","100111","0"
"20000","0","0","30000","0","50","5000","100112","0"
"20000","0","0","30000","0","50","5000","100113","0"
"30000","0","0","45000","0","125","12500","100121","0"
"30000","0","0","45000","0","125","12500","100122","0"
"30000","0","0","45000","0","125","12500","100123","0"
"40000","0","0","60000","0","200","20000","100131","0"
"40000","0","0","60000","0","200","20000","100132","0"
"40000","0","0","60000","0","200","20000","100133","0"
"20000","0","0","30000","0","50","5000","100211","0"
"20000","0","0","30000","0","50","5000","100212","0"
"20000","0","0","30000","0","50","5000","100213","0"
"30000","0","0","45000","0","125","12500","100221","0"
"30000","0","0","45000","0","125","12500","100222","0"
"30000","0","0","45000","0","125","12500","100223","0"
"40000","0","0","60000","0","200","20000","100231","0"
"40000","0","0","60000","0","200","20000","100232","0"
"40000","0","0","60000","0","200","20000","100233","0"
"20000","0","0","30000","0","50","5000","100311","0"
"20000","0","0","30000","0","50","5000","100312","0"
"20000","0","0","30000","0","50","5000","100313","0"
"30000","0","0","45000","0","125","12500","100321","0"
"30000","0","0","45000","0","125","12500","100322","0"
"30000","0","0","45000","0","125","12500","100323","0"
"40000","0","0","60000","0","200","20000","100331","0"
"40000","0","0","60000","0","200","20000","100332","0"
"40000","0","0","60000","0","200","20000","100333","0"
"20000","0","0","30000","0","50","5000","100411","0"
"20000","0","0","30000","0","50","5000","100412","0"
"20000","0","0","30000","0","50","5000","100413","0"
"30000","0","0","45000","0","125","12500","100421","0"
"30000","0","0","45000","0","125","12500","100422","0"
"30000","0","0","45000","0","125","12500","100423","0"
"40000","0","0","60000","0","200","20000","100431","0"
"40000","0","0","60000","0","200","20000","100432","0"
"40000","0","0","60000","0","200","20000","100433","0"
"20000","0","0","30000","0","50","5000","100511","0"
"20000","0","0","30000","0","50","5000","100512","0"
"20000","0","0","30000","0","50","5000","100513","0"
"30000","0","0","45000","0","125","12500","100521","0"
"30000","0","0","45000","0","125","12500","100522","0"
"30000","0","0","45000","0","125","12500","100523","0"
"40000","0","0","60000","0","200","20000","100531","0"
"40000","0","0","60000","0","200","20000","100532","0"
"40000","0","0","60000","0","200","20000","100533","0"
"20000","0","0","30000","0","50","5000","100611","0"
"20000","0","0","30000","0","50","5000","100612","0"
"20000","0","0","30000","0","50","5000","100613","0"
"30000","0","0","45000","0","125","12500","100621","0"
"30000","0","0","45000","0","125","12500","100622","0"
"30000","0","0","45000","0","125","12500","100623","0"
"40000","0","0","60000","0","200","20000","100631","0"
"40000","0","0","60000","0","200","20000","100632","0"
"40000","0","0","60000","0","200","20000","100633","0"
"20000","0","0","30000","0","50","5000","100711","0"
"20000","0","0","30000","0","50","5000","100712","0"
"20000","0","0","30000","0","50","5000","100713","0"
"30000","0","0","45000","0","125","12500","100721","0"
"30000","0","0","45000","0","125","12500","100722","0"
"30000","0","0","45000","0","125","12500","100723","0"
"40000","0","0","60000","0","200","20000","100731","0"
"40000","0","0","60000","0","200","20000","100732","0"
"40000","0","0","60000","0","200","20000","100733","0"
"20000","0","0","30000","0","50","5000","100811","0"
"20000","0","0","30000","0","50","5000","100812","0"
"20000","0","0","30000","0","50","5000","100813","0"
"30000","0","0","45000","0","125","12500","100821","0"
"30000","0","0","45000","0","125","12500","100822","0"
"30000","0","0","45000","0","125","12500","100823","0"
"40000","0","0","60000","0","200","20000","100831","0"
"40000","0","0","60000","0","200","20000","100832","0"
"40000","0","0","60000","0","200","20000","100833","0"
"20000","0","0","30000","0","50","5000","100911","0"
"20000","0","0","30000","0","50","5000","100912","0"
"20000","0","0","30000","0","50","5000","100913","0"
"30000","0","0","45000","0","125","12500","100921","0"
"30000","0","0","45000","0","125","12500","100922","0"
"30000","0","0","45000","0","125","12500","100923","0"
"40000","0","0","60000","0","200","20000","100931","0"
"40000","0","0","60000","0","200","20000","100932","0"
"40000","0","0","60000","0","200","20000","100933","0"
