80e8e477ae20f39f512e025703a3134c25401b436d5fc5917ef77cd545a78e63,22ee1acbbe72b79a14dd691ebe4cbe0d979362060da79976b7740a9db74388ab,ecb6f27c8dc880af3f069fb96dfebcfba9756d5770f775a6be8e60790b402bea
"1","1","114601"
"2","2","114701"
"3","3","115601"
"5","4","115801"
"6","5","116801"
"7","6","117401"
"8","7","117801"
"9","8","119201"
"10","9","120801"
"12","10","121201"
"13","11","122101"
"14","12","122401"
"15","13","122801"
"16","14","123501"
"17","15","124101"
"20","16","124701"
"21","17","124901"
"22","18","125701"
"24","19","126701"
"25","20","127001"
"27","21","128301"
"28","22","128801"
"29","23","105801"
"30","24","105901"
"31","25","106001"
"32","26","106401"
