115368d4b58ba10b10dba5700d782e8b6ae36e122a43f0d3527a4d918bfc0fe7,92319ba79f7e3bbf60f7ce92858d90ba15fda0133eb6301faf11433c7588f28a,04598f37d87430f6c2090bb52031fe436fa236fd27650c2316628040339f0af6,41a7c7afb1bbb613731c918ecae0e5d9346bebd388d6d0a651cc817841188dc0,8811274705195cc75fcd32e86292e3851c96af17036e931f5884dba714b44580,be876ed375430bc2cdd65c0e99b8c6fb169bb8caaabb518b79867694389889ca,99dbf6b022c54e92eea6430eca4da210a6a71cf481933d99039d94579389413e,770be2cded8a46dc6615054b5732edf3f67320db3d7ffdda55731cdce93f5ea5,62fe616e7110bb805a207b20b6005c112850978a478a98eaf1d06ce1f6281aaf,aaf682d1fc3526db89a22a5cd817527032571f27a49394835f2087b6f8cc32aa,4ee62c4debc0f69d513cb84d72b420fff80927cc29e67ec1d590c5e138f9e196,22901bffdae82c81d53d943a60336a04c909d04bfebf549c3f900f46e9ab3ca3
"7003","2022/12/23 11:59:59","1","31000101","2022/12/16 12:00:00","0","0","1000","10","1回バトルしよう","3","31000101"
"7003","2022/12/23 11:59:59","5","31000102","2022/12/16 12:00:00","0","0","1000","10","5回バトルしよう","3","31000102"
"7003","2022/12/23 11:59:59","10","31000103","2022/12/16 12:00:00","0","0","1000","10","10回バトルしよう","3","31000103"
"7003","2022/12/23 11:59:59","15","31000104","2022/12/16 12:00:00","0","0","1000","10","15回バトルしよう","3","31000104"
"7003","2022/12/23 11:59:59","20","31000105","2022/12/16 12:00:00","0","0","1000","10","20回バトルしよう","3","31000105"
"7003","2022/12/23 11:59:59","25","31000106","2022/12/16 12:00:00","0","0","1000","10","25回バトルしよう","3","31000106"
"7003","2022/12/23 11:59:59","30","31000107","2022/12/16 12:00:00","0","0","1000","10","30回バトルしよう","3","31000107"
"7003","2022/12/23 11:59:59","35","31000108","2022/12/16 12:00:00","0","0","1000","10","35回バトルしよう","3","31000108"
"7003","2022/12/23 11:59:59","40","31000109","2022/12/16 12:00:00","0","0","1000","10","40回バトルしよう","3","31000109"
"7004","2022/12/23 11:59:59","5000000","31001101","2022/12/16 12:00:00","0","3001","1001","10","黒の王ジャバウォックに累積500万ダメージ与えよう","3","31001101"
"7004","2022/12/23 11:59:59","7500000","31001102","2022/12/16 12:00:00","0","3001","1001","10","黒の王ジャバウォックに累積750万ダメージ与えよう","3","31001102"
"7004","2022/12/23 11:59:59","10000000","31001103","2022/12/16 12:00:00","0","3001","1001","10","黒の王ジャバウォックに累積1000万ダメージ与えよう","3","31001103"
"7005","2022/12/23 11:59:59","1","31001111","2022/12/16 12:00:00","2500000","3001","1001","11","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","3","31001111"
"7005","2022/12/23 11:59:59","1","31001112","2022/12/16 12:00:00","5000000","3001","1001","11","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","3","31001112"
"7004","2022/12/23 11:59:59","5000000","31001201","2022/12/16 12:00:00","0","3002","1001","20","暴走のイノセントボウに累積500万ダメージ与えよう","3","31001201"
"7004","2022/12/23 11:59:59","7500000","31001202","2022/12/16 12:00:00","0","3002","1001","20","暴走のイノセントボウに累積750万ダメージ与えよう","3","31001202"
"7004","2022/12/23 11:59:59","10000000","31001203","2022/12/16 12:00:00","0","3002","1001","20","暴走のイノセントボウに累積1000万ダメージ与えよう","3","31001203"
"7005","2022/12/23 11:59:59","1","31001211","2022/12/16 12:00:00","2500000","3002","1001","21","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","3","31001211"
"7005","2022/12/23 11:59:59","1","31001212","2022/12/16 12:00:00","5000000","3002","1001","21","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","3","31001212"
"7004","2022/12/23 11:59:59","5000000","31001301","2022/12/16 12:00:00","0","3003","1001","30","ファントムバロンに累積500万ダメージ与えよう","3","31001301"
"7004","2022/12/23 11:59:59","7500000","31001302","2022/12/16 12:00:00","0","3003","1001","30","ファントムバロンに累積750万ダメージ与えよう","3","31001302"
"7004","2022/12/23 11:59:59","10000000","31001303","2022/12/16 12:00:00","0","3003","1001","30","ファントムバロンに累積1000万ダメージ与えよう","3","31001303"
"7005","2022/12/23 11:59:59","1","31001311","2022/12/16 12:00:00","2500000","3003","1001","31","ファントムバロンに1度のバトルで250万ダメージ与えよう","3","31001311"
"7005","2022/12/23 11:59:59","1","31001312","2022/12/16 12:00:00","5000000","3003","1001","31","ファントムバロンに1度のバトルで500万ダメージ与えよう","3","31001312"
