34982b532faf5a15a6d3283c3a83c6857eccd4f4f574147b6969c44482948c1b,699af9da810a5ff85208ff6eadcfba14f086c2b1714ab1462ccce6557c93a00a,146ff2ccd7b77f33b46fdc293f4b07eeb9007615df3b920dabc286f613202d87,f47a61cf49d91897e081e9fcc4c574f664f6a2215b3ee53c1f59623a1b675000,90f3c53cf4a0d4dda4825e3de53cf6c9b09aba70ebd668cb13cc2915065a04a7,9f0b280d6351966769c134d26bfdcee3714df9976b928891bfc9be8c84537156,9e607056c7be2e52b95df3ec1f18d3d7d29edec1c35c8b7166a8d782e7d57d1e,b5913b180497034e6040f82aa9c84ab7ba35f9863cbb0b3eb4ea07e698d573c4
"srt_inori_idle","start_000-start_001,start_002/start_003-boss_emote_064-start_004","","","srt_kaya_idle","srt_dragon_in,srt_dragon_idle","0","GAME_START"
"srt_inori_idle","","まずはオレの番だな！","","srt_kaya_idle","srt_dragon_idle","2","ENEMY_FIRST"
"srt_inori_idle","","「{0}」か\n「{1}」で始まるのは…","","srt_kaya_waiting","srt_dragon_idle","2","ENEMY_TURN1"
"srt_inori_idle","","「{0}」か\nうーん、「{1}」で始まる言葉ねえ…","","srt_kaya_waiting","srt_dragon_idle","2","ENEMY_TURN2"
"srt_inori_idle","","「{0}」か\nオッケー、次は「{1}」だな","","srt_kaya_waiting","srt_dragon_idle","2","ENEMY_TURN3"
"","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","","srt_homare_help","srt_kaya_help","","0","ENEMY_HELP"
"","","","","srt_kaya_flash","","0","ENEMY_FLASH"
"srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だ！","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","2","ENEMY_SELECT1"
"srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だな！","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","2","ENEMY_SELECT2"
"srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」だぜ！","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","2","ENEMY_SELECT3"
"srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","「{0}」ってのはどうだ！","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","2","ENEMY_SELECT_GREAT1"
"srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","へっへーん！「{0}」だ！","","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","2","ENEMY_SELECT_GREAT2"
"","","","","","","-1","ENEMY_SELECT_WAIT"
"","out_071","カヤぴぃ、「ん」がついてるですよ……","","srt_kaya_shock","","1","ENEMY_SELECT_N"
"srt_inori_thinking","","「{0}」ですか\n次は「{1}」で始まる言葉ですね","","srt_kaya_waiting","srt_dragon_thinking","1","PLAYER_TURN1"
"srt_inori_thinking","","「{0}」ですか\nうーん、「{1}」で始まる言葉は…","","srt_kaya_waiting","srt_dragon_thinking","1","PLAYER_TURN2"
"srt_inori_thinking","","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…","","srt_kaya_waiting","srt_dragon_thinking","1","PLAYER_TURN3"
"","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","","","","1","PLAYER_CUTIN_GREAT"
"","sugoyomi_cutin_050,sugoyomi_cutin_052","","","","","1","PLAYER_CUTIN_PRICONNE"
"srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","「{0}」です！","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","1","PLAYER_SELECT1"
"srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","「{0}」ですね！","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","1","PLAYER_SELECT2"
"srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","「{0}」なんてどうです！","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","1","PLAYER_SELECT_GREAT1"
"srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","ふふ～ん♪「{0}」です！","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","1","PLAYER_SELECT_GREAT2"
"srt_inori_select_1,srt_inori_idle","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","ふっふっふ、ずばり\n「{0}」です！","","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","1","PLAYER_SELECT_PRECONNE1"
"srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","ひらめいたです！\n「{0}」ですね！","","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","1","PLAYER_SELECT_PRECONNE2"
"","","","","","","-1","PLAYER_SELECT_WAIT"
"srt_inori_miss,srt_inori_thinking","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","はうっ！ま、間違ったです…","","srt_kaya_react_3,srt_kaya_waiting","srt_dragon_miss,srt_dragon_thinking","1","PLAYER_MISS"
"srt_inori_shock","out_070","おいおい、「ん」がついてるじゃねえか……","","srt_kaya_react_4","","2","PLAYER_SELECT_N"
"srt_inori_thinking","rush","どんどんいくですよ！","","srt_kaya_infever","srt_dragon_thinking","1","INFEVER"
"srt_inori_select_1","correct_028-correct_029,correct_037-correct_038","「{0}」です！","","","srt_dragon_select_1","1","FEVER_SELECT1"
"srt_inori_select_2","correct_030-correct_031,correct_035-correct_036","「{0}」ですね！","","","srt_dragon_select_2","1","FEVER_SELECT2"
"srt_inori_miss","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","はうっ！ま、間違ったです…","","","srt_dragon_miss","1","FEVER_MISS"
"srt_inori_fever_attack","rush_attack","覚悟するです！","","srt_kaya_fever_damage","srt_dragon_fever_attack","1","FEVER_DAMAGE"
"srt_inori_win_1","win_005-win_006,win_012-win_013","あたしたちの勝ちですよ！！","","srt_kaya_lose","srt_dragon_win","1","WIN_HP"
"srt_inori_win_1","win_005-win_006,win_012-win_013","あたしたちの勝ちですよ！！","","","srt_dragon_win","1","WIN_N"
