7973cb62acdc756c82e0c34ad2cf5a783f52c6730241d7539652f5d9a51ae807,bbe9b098f0f5f045d5ef0e112b79c5f851b0ef365c5247a27d218a93f39e861d,41af5cd973553cb3617041d3eacae3db989ac8e3991ad34f0a8af72949d24651,b804c5f1af37eb76e337e052dbaf491b5d45dd3dc0d4749b87b70bb08f3ea0f9
"20","1","10101","0"
"40","1","10101","1"
"50","1","10101","2"
"60","1","10101","3"
"70","1","10101","4"
"90","1","10101","5"
"20","2","10101","0"
"40","2","10101","1"
"50","2","10101","2"
"60","2","10101","3"
"70","2","10101","4"
"90","2","10101","5"
"20","3","10101","0"
"40","3","10101","1"
"50","3","10101","2"
"60","3","10101","3"
"70","3","10101","4"
"90","3","10101","5"
"20","4","10101","0"
"40","4","10101","1"
"50","4","10101","2"
"60","4","10101","3"
"70","4","10101","4"
"90","4","10101","5"
"20","5","10101","0"
"40","5","10101","1"
"50","5","10101","2"
"60","5","10101","3"
"70","5","10101","4"
"90","5","10101","5"
"5","6","10101","0"
"15","6","10101","1"
"25","6","10101","2"
"25","6","10101","3"
"35","6","10101","4"
"45","6","10101","5"
"5","7","10101","0"
"15","7","10101","1"
"25","7","10101","2"
"25","7","10101","3"
"35","7","10101","4"
"45","7","10101","5"
"5","8","10101","0"
"15","8","10101","1"
"25","8","10101","2"
"25","8","10101","3"
"35","8","10101","4"
"45","8","10101","5"
"5","9","10101","0"
"10","9","10101","1"
"15","9","10101","2"
"20","9","10101","3"
"25","9","10101","4"
"25","9","10101","5"
"5","10","10101","0"
"5","10","10101","1"
"5","10","10101","2"
"10","10","10101","3"
"10","10","10101","4"
"15","10","10101","5"
"20","1","10102","0"
"40","1","10102","1"
"50","1","10102","2"
"60","1","10102","3"
"70","1","10102","4"
"90","1","10102","5"
"20","2","10102","0"
"40","2","10102","1"
"50","2","10102","2"
"60","2","10102","3"
"70","2","10102","4"
"90","2","10102","5"
"20","3","10102","0"
"40","3","10102","1"
"50","3","10102","2"
"60","3","10102","3"
"70","3","10102","4"
"90","3","10102","5"
"20","4","10102","0"
"40","4","10102","1"
"50","4","10102","2"
"60","4","10102","3"
"70","4","10102","4"
"90","4","10102","5"
"20","5","10102","0"
"40","5","10102","1"
"50","5","10102","2"
