efd949a8a0bf3bb24e8626ba1fda0af4488800a7e95b8d2a66e58f7f6dfd62e1,a681018c6ebba791ac2653ac9168642cf1507ff6ec022692288222947cc10d6b,30fe123720a6b187bb3b08f0c3c3b58e2bfbe0e8d11d3eb5400150270a2bff71,7bdfbf35661b4c45f0663bdccb4887ea987a94113584ae1fe1d57d337b29ad05,0257264885997c6ce638773473ca9ff56fc1689634e1020f3476b086c5224643,e28002b320f8606e83f5d08e2efdffda8979f2fc296fe43d2b6c61a872c4c175,ab7f3ba32c1d25a50e605b9547fd716d5cb58807509d218573e7dfbc34ce1c25,1c40afb5d0ea6e63ffed908b3cb9bec165a40d08875f3367407264d3411fd6b9,7e3f44884d7477ee27dbddf3bae32eae55b6aa9e182ffdc414ad74e9b4c705ed,6050fc600d894d4d910d16d1db7f453ce1fd501f7458b9d3fd177e65edbcd428,0fb0b2229671653b0772ba1b77909ba30f645db20976edd7e77ab7ac26a84e89,325ffa45ad924957713aae0c7a74225d6d08c3b04d8a046d68d71567f4e57a10,da1e895f7df0ef7dccf7b2b98a7cdec39534792a78fe6916983a00c5b7974186,20878c9d61f40679507782e41350465cba72e260638b0bbd9da077a60e805963,0f6be19afa04f4715d840cca23ccf806a7898e1c56dc92869932754bae4c2d88,4c1b9a1396b383d89129091aa823744eaf337bfa9e309fcaffc5fb11e0c2d273,fad8bac46cf41f4e99fb45349bceea76d554febc085187b0d4c2eb1bbcd27162,c3ef7a7c0ecabd43ea4bdb2274c693502a0221d050ee05f6868d7b9a81de4c86,db1cfe1e535a3004e9d0ace8260d544f2bb9f9af93637271387fa94ae95a26a5,dd5e7966d78e0b6da35536e60a118b1ccdea79841cd5b723e6d12a7c07c17665
"1","1001201","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"2","1001201","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"3","1001201","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"4","1001201","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"5","1001202","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"6","1001202","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"7","1001202","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"8","1001202","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"9","1001203","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"10","1001203","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"11","1001203","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"12","1001203","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"13","1001204","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"14","1001204","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"15","1001204","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"16","1001204","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"17","1001205","20003","0","1","0","0","3100104","0","2","2","0","40","1","0","0","10","0","90006","0"
"18","1001205","20003","0","2","0","0","3100103","0","2","2","0","30","3","0","0","8","0","90006","0"
"19","1001205","20003","0","4","0","0","3100102","0","2","2","0","20","10","0","0","6","0","90006","0"
"20","1001205","20003","0","11","0","0","3100101","0","2","2","0","10","30","0","0","2","0","90006","0"
"21","1001206","20003","0","1","0","0","3100104","0","2","2","0","5","1","0","0","4","0","90006","0"
"22","1001206","20003","0","2","0","0","3100103","0","2","2","0","4","3","0","0","3","0","90006","0"
"23","1001206","20003","0","4","0","0","3100102","0","2","2","0","3","10","0","0","2","0","90006","0"
"24","1001206","20003","0","11","0","0","3100101","0","2","2","0","2","30","0","0","1","0","90006","0"
"25","1001207","20003","0","1","0","0","3100104","0","2","2","0","5","1","0","0","4","0","90006","0"
"26","1001207","20003","0","2","0","0","3100103","0","2","2","0","4","3","0","0","3","0","90006","0"
"27","1001207","20003","0","4","0","0","3100102","0","2","2","0","3","10","0","0","2","0","90006","0"
"28","1001207","20003","0","11","0","0","3100101","0","2","2","0","2","30","0","0","1","0","90006","0"
"29","1001208","20003","0","1","0","0","3100104","0","2","2","0","5","1","0","0","4","0","90006","0"
"30","1001208","20003","0","2","0","0","3100103","0","2","2","0","4","3","0","0","3","0","90006","0"
"31","1001208","20003","0","4","0","0","3100102","0","2","2","0","3","10","0","0","2","0","90006","0"
"32","1001208","20003","0","11","0","0","3100101","0","2","2","0","2","30","0","0","1","0","90006","0"
"33","1001209","20003","0","1","0","0","3100104","0","2","2","0","5","1","0","0","4","0","90006","0"
"34","1001209","20003","0","2","0","0","3100103","0","2","2","0","4","3","0","0","3","0","90006","0"
"35","1001209","20003","0","4","0","0","3100102","0","2","2","0","3","10","0","0","2","0","90006","0"
"36","1001209","20003","0","11","0","0","3100101","0","2","2","0","2","30","0","0","1","0","90006","0"
"37","1001210","20003","0","1","0","0","3100104","0","2","2","0","5","1","0","0","4","0","90006","0"
"38","1001210","20003","0","2","0","0","3100103","0","2","2","0","4","3","0","0","3","0","90006","0"
"39","1001210","20003","0","4","0","0","3100102","0","2","2","0","3","10","0","0","2","0","90006","0"
"40","1001210","20003","0","11","0","0","3100101","0","2","2","0","2","30","0","0","1","0","90006","0"
"41","1002201","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"42","1002201","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"43","1002201","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"44","1002201","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"45","1002202","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"46","1002202","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"47","1002202","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"48","1002202","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"49","1002203","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"50","1002203","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"51","1002203","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"52","1002203","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"53","1002204","20003","0","1","0","0","3100104","0","2","2","0","20","1","0","0","5","0","90006","0"
"54","1002204","20003","0","2","0","0","3100103","0","2","2","0","15","3","0","0","4","0","90006","0"
"55","1002204","20003","0","4","0","0","3100102","0","2","2","0","10","10","0","0","3","0","90006","0"
"56","1002204","20003","0","11","0","0","3100101","0","2","2","0","5","30","0","0","1","0","90006","0"
"57","1002205","20003","0","1","0","0","3100104","0","2","2","0","40","1","0","0","10","0","90006","0"
"58","1002205","20003","0","2","0","0","3100103","0","2","2","0","30","3","0","0","8","0","90006","0"
