c2203a740f99a1025ce478e4b9b5398424a7e2b8dfe19ac545ef84c5649e6c48,f0f8253d01028d73c7fa49ca1c85074d3a1c508490f810c436b168e9037f4e80,2bb65af364348307ae32381d606c8c36de09f9356e1fd4038ae6d5d982380838,01d30551ab1d9ff75c8d8472ab4d558552ac97a4f5b644bd962cdc0bb99a6600,0a3c0da00c57a07b33d246909b4dd7cc844de0a7857878320281f2a786e2536e,172d12931a4879636576e30a72ecad57db28e8067a70c01a6b3e139c3e12fda7,b1dbba28c8bf20954bb7079c2d9dc2d5e0b832156108afc5d643fc1ce7574c2e,d8917368b1c703197327b401fbc2a08986327190c06c67a457ba59eb6f47ba7a,f59c8c13e59d9085241e6994e81fdc9c5f3eb61eb4d294502742c7ccb919db6e,fab39c02e743dc2909d30a4d4c16be9b0f67164cea1c36adb9ae8240c28d9739,1856fb7647780d8ee6bcfc92b4da3ea9d15885bdf71931e87d8a5b05174323d8,dcbc31fa67ed38c3961624240a6c5fae0f40070aca98e7267474525d5808fa3d
"1","0","0","0","0","0","0","0","0","0","0","0"
"11002","800","2","0","3","0","0","1","0","1","0","0"
"12001","500","1","0","1","0","0","1","0","1","0","0"
"12002","700","1","0","1","0","0","1","0","1","0","0"
"13001","600","2","0","1","0","0","1","0","1","0","0"
"13002","700","2","0","1","0","0","1","0","1","0","0"
"14002","600","2","0","1","0","0","1","0","1","0","0"
"21001","900","2","0","3","0","0","2","0","1","0","0"
"22001","0","0","0","0","0","0","8000","0","2","0","0"
"23001","1","1","0","99","1","0","5","0","3","0","0"
"23002","1","1","0","99","1","0","7","0","3","0","0"
"25001","3","4","0","0","1","0","0","0","5","0","0"
"25002","0","1","0","0","0","1","0","0","5","0","0"
"25003","3","4","0","0","1","0","1","0","5","0","0"
"25004","0","1","0","0","0","1","1","0","5","0","0"
"26001","37","0","0","0","0","40","76","0","6","0","0"
"27001","1","0","0","0","0","1","2","0","7","0","0"
"27002","1","0","0","0","0","1","3","0","7","0","0"
"28001","0","0","0","0","0","0","0","0","8","0","0"
