197a26978e7a9a5f23373025d9c09da76a9292b2096aa09d012520ea43c879a0,b8562248f0b711b99d49e2b51b8c966ef8926597b89caf726993a6f5fe956a27,88ecb21a160f6fcc41520c3076b2ed9cae01e4d0f696774c77a16ba841399581,c1bb5f7fcc5e2ce8236df99c4461cf908392d358b5489698480e01499ac57140,70458780f16759b381d2528449e0fc8c041c54a77446afa47dff8d67b04a7c83,71a533cd6d801ab9d2463faabcc291ecfc6c0f3e5cd78ad05b8da27fada80a61,8bdcaffd34b225232e7623e459e5871a673e884e1b1703b637c583120a093ece,2ba64d7e34f836ff6b4d2ca38b5f863d6cae60ca5d5dc0b83827b6d0d10cfce8,4cbdba1722555c24142ea787f99b5ca0c6be3176716cb4666d0f50bd59508b71,d45a6713a18be89b86504f309e59f5059862a1df942d0c037ca206d0025bd7e4
"1","7001","0","0","10174101","0","0","ウヅキとリンのメモリー","10174","0"
"2","7002","0","0","10174103","0","0","ニュージェネレーションズのメモリー","10174","0"
"4","7003","0","0","10174103","0","0","ウヅキとミオのメモリー","10174","0"
"6","7004","0","0","10174105","0","0","美食殿のメモリー","10174","0"
"7","7005","0","0","10174105","0","0","リンとミオのメモリー","10174","0"
"8","7006","0","0","10174105","0","0","ニュージェネレーションズのメモリー","10174","0"
"9","7007","0","0","10174107","0","0","ニュージェネレーションズと美食殿のメモリー","10174","0"
"10","7008","0","0","10174107","0","0","美食殿のメモリー","10174","0"
"14","7009","0","0","10175105","0","0","ニュージェネレーションズと美食殿のメモリー","10175","0"
"3","7102","0","0","10174103","0","0","ニュージェネレーションズのメモリー","10174","0"
"5","7103","0","0","10174103","0","0","美食殿のメモリー","10174","0"
"11","7104","0","0","10174107","0","0","ニュージェネレーションズと美食殿のメモリー","10174","0"
"12","7105","0","0","10175105","0","0","ニュージェネレーションズと美食殿のメモリー","10175","0"
"13","7106","0","0","10175105","0","0","ニュージェネレーションズと美食殿のメモリー","10175","0"
"15","7201","2405","1","10174101","0","1","","10174","7"
