d79d4e8c07dd9877bc7d93bfc6444b7aa59e086fdc7e9e8d36ec62381e6c4da9,7e0841328fd2a1b40943ada1823b90f9e63c7fcc89c040c6147b0c24b47862cb,33cc0584ea921f92918fec59b65aea8743769e470a906ca48f73498cb69480d7,00a64b7569e8e0d7666b0140e8d54f8c0887f64461bc5e5d5f786177a3a2176b
"2","1","20","20"
"3","1","30","30"
"3","2","50","80"
"3","3","80","160"
"4","1","60","60"
"4","2","100","160"
"4","3","180","340"
"4","4","360","700"
"4","5","500","1200"
"5","1","100","100"
"5","2","160","260"
"5","3","280","540"
"5","4","480","1020"
"5","5","780","1800"
"6","1","100","100"
"6","2","160","260"
"6","3","280","540"
"6","4","480","1020"
"6","5","780","1800"
"7","1","100","100"
"7","2","160","260"
"7","3","280","540"
"7","4","480","1020"
"7","5","780","1800"
"8","1","100","100"
"8","2","160","260"
"8","3","280","540"
"8","4","480","1020"
"8","5","780","1800"
"9","1","100","100"
"9","2","160","260"
"9","3","280","540"
"9","4","480","1020"
"9","5","780","1800"
"10","1","100","100"
"10","2","160","260"
"10","3","280","540"
"10","4","480","1020"
"10","5","780","1800"
