447492e903e86e0f2d4f7fdfdf714cad78700468568d2ee275eced56ccc023e2,d997f1ddbbc4dbafbcf15dd2acef9cdc0012dfa109999aca31d0b6f4dde1aa8c,b07b6c8f2628cd247b105f27c092e0fa985a97aef0a800cc2725903347d7ae0b,7404685df1f0abb12317531c399d1e81e8852cb8b300d2cdc5d49e1cd787ae5c,46cf183bca6610884d237640a844765b91ea238ef0b73582ebd09315c6ee2d56,db10eaf5515e5e25faa6325bb4de577617b6bf77c5db9edb2b39fc916a22a5bd,3f83f0d594a4bdea38f140eef7ff59a3fa3321955efdb5a92c76d26370d28d2d
"11012","11011","0","2","2","1101","ギルド管理協会です！どんなお仲間をお探しですか？"
"11022","11021","0","2","2","1102","ギルド管理協会です！どんなお仲間をお探しですか？"
"11032","11031","0","2","2","1103","ギルド管理協会です！どんなお仲間をお探しですか？"
"11042","11041","0","2","2","1104","ギルド管理協会です！どんなお仲間をお探しですか？"
"11052","11051","0","4","4","1105","魔物たちが集まる闘技場を見つけた！"
"11072","11073","11071","7","7","1107","不思議な石板を発見！どうする？"
"11081","11082","0","8","8","1108","ダンジョンで迷った！どっちに進む？"
"11092","11091","0","4","4","1109","魔物たちが集まる闘技場を見つけた！"
"11102","11101","11103","3","3","1110","じゃんけん……ぽん！"
"11112","11111","0","10","10","1111","箱の中から声が聞こえる……"
"11122","11121","0","11","11","1112","イベント会場に魔物が現れた！"
"11132","11131","0","4","4","1113","魔物たちが集まる闘技場を見つけた！"
"11172","11171","0","4","4","1117","魔物たちが集まる闘技場を見つけた！"
"0","13141","0","5","5","1314","釣りスポットを発見！"
"0","13151","0","9","9","1315","絶好のピクニック日和だ！"
"0","13161","0","6","6","1316","スロットマシンだ！挑戦する？"
"0","23141","0","5","5","2314","ラッキー！もう一回釣れるぞ！"
"23151","23152","0","9","9","2315","料理ができた！でも、まだ材料はあるぞ！"
"23161","23162","0","6","6","2316","もう一勝負だ！"
"0","33141","0","5","5","3314","ラストもう一回！"
"33151","33152","0","9","9","3315","完璧！でも、まだまだ材料はあるぞ！"
"33161","33162","0","6","6","3316","ラスト一発！"
