2fb66a6e522c546fb78b358ec833a41142130cef3375b399871ee0a635386a64,f49baf89b8d479a69439c55606ebaab949eb1394962b662f56229f6c9aa53973,8ea622050f73d6668748dcdac789c14b131438a3ce54d8c5cadcadcc9d2841f6,dd0ebee7de264ce5100755e7fa02daab7f9a46e7c8333219e4369ac936676e38,a04f8b65aba01d618dbb5645ebd2d736ec5030ae4fdd172bf13900a04915bd36,3c515e3337138c4950be431cc2dd2e9526d10563e8eceb5240e99eb5038f4fa2,f45785cee8fc0aedcaaa7edaffc401a4560948e2224a5cd17a05ce09a0d71e7a,391cda67541b1e2b432628b0c25d94240cce44bb3079e793a2f24e8e3daac6fa,521f6937b96bea3177dc291477f763d1420c89b7989c5ebb9b1172d5f8a4820e
"600","21","0","0","1101002","0","0","0","1101001"
"2400","22","0","0","1101003","0","600","0","1101002"
"1","20","0","0","1","0","-1500","50","1101003"
"900","21","0","0","1101012","0","0","0","1101011"
"2100","22","0","0","1101013","0","700","0","1101012"
"1","20","0","0","1","0","-1500","200","1101013"
"400","21","0","0","1101022","0","0","0","1101021"
"2000","22","0","0","1101023","0","500","0","1101022"
"1","20","0","0","1","0","-1500","350","1101023"
"1000","21","0","0","1101032","0","0","0","1101031"
"1800","22","0","0","1101033","0","900","0","1101032"
"1","20","0","0","1","0","-1500","500","1101033"
"500","21","0","0","1101042","0","0","0","1101041"
"1600","22","0","0","1101043","0","800","0","1101042"
"1","20","0","0","1","0","-1500","750","1101043"
"1","1","2","0","25","0","2","2","1101101"
"1","20","0","0","1","0","-2000","-100","1102001"
"1","1","2","0","20","0","2","10","1102101"
"2","10","2","0","200000","0","0","0","1102102"
"500","21","0","0","1103002","0","0","0","1103001"
"0","3","2","0","1000","0","0","0","1103002"
"3","2","2","0","-15","0","3000","0","1202001"
"3","2","1","0","15","0","30000","0","1204001"
"3","2","1","0","10","0","30000","0","1205001"
"3","2","1","0","10","0","30000","0","1206001"
"3","2","1","0","10","0","30000","0","1207001"
"2","2","1","0","15","0","3000","0","1208001"
"1","2","1","0","25","0","3000","0","1209001"
"2","2","1","0","10","0","3000","0","1210001"
"3000","21","0","0","1210003","0","0","0","1210002"
"1","2","1","0","15","0","30000","0","1210003"
"2","2","1","0","-10","0","3000","0","1211001"
"3000","21","0","0","1211003","0","0","0","1211002"
"1","2","2","0","-15","0","30000","0","1211003"
"1","2","2","0","-10","0","30000","0","1213001"
"2","2","2","0","-10","0","30000","0","1213002"
"3","2","2","0","-25","0","1500","0","1214001"
"3","2","2","0","-20","0","3000","0","1216001"
"3","2","1","0","20","0","30000","0","1218001"
"3","2","1","0","15","0","30000","0","1219001"
"3","2","1","0","15","0","30000","0","1220001"
"3","2","1","0","15","0","30000","0","1221001"
"2","2","1","0","20","0","3000","0","1222001"
"1","2","1","0","30","0","3000","0","1223001"
"2","2","1","0","15","0","3000","0","1224001"
"3000","21","0","0","1224003","0","0","0","1224002"
"1","2","1","0","20","0","30000","0","1224003"
"2","2","1","0","-10","0","3000","0","1225001"
"3000","21","0","0","1225003","0","0","0","1225002"
"1","2","2","0","-20","0","30000","0","1225003"
"1","2","2","0","-15","0","30000","0","1227001"
"2","2","2","0","-15","0","30000","0","1227002"
"3","2","2","0","-35","0","1500","0","1228001"
"3","2","1","0","20","0","30000","0","1229001"
"2","2","1","0","20","0","3000","0","1230001"
"3000","21","0","0","1230003","0","0","0","1230002"
"1","2","1","0","50","0","30000","0","1230003"
"3","2","2","0","-25","0","3000","0","1232001"
"3","2","1","0","25","0","30000","0","1234001"
"3","2","1","0","20","0","30000","0","1235001"
"3","2","1","0","20","0","30000","0","1236001"
"3","2","1","0","20","0","30000","0","1237001"
"2","2","1","0","25","0","3000","0","1238001"
"1","2","1","0","35","0","3000","0","1239001"
"2","2","1","0","20","0","3000","0","1240001"
"3000","21","0","0","1240003","0","0","0","1240002"
"1","2","1","0","25","0","30000","0","1240003"
"2","2","1","0","-10","0","3000","0","1241001"
"3000","21","0","0","1241003","0","0","0","1241002"
"1","2","2","0","-25","0","30000","0","1241003"
"1","2","2","0","-20","0","30000","0","1242001"
"2","2","2","0","-20","0","30000","0","1242002"
"3","2","2","0","-75","0","1500","0","1244001"
"3","2","1","0","20","0","30000","0","1246001"
"3","2","1","0","30","0","30000","0","1247001"
"3000","21","0","0","1247003","0","0","0","1247002"
"1","2","1","0","25","0","3000","0","1247003"
"1","2","1","0","75","0","3000","0","1248001"
"3","2","2","0","-90","0","1500","0","1249001"
"2","2","1","0","10","0","30000","0","2101001"
"2","2","1","0","10","0","30000","0","2102001"
"2","2","2","0","-15","0","3000","0","2103001"
"3","2","2","0","-15","0","3000","0","2103002"
"3","2","2","0","-25","0","3000","0","2105001"
"3","2","1","0","25","0","30000","0","2107001"
"3","2","1","0","10","0","30000","0","2108001"
"3","2","1","0","10","0","30000","0","2109001"
"3","2","1","0","10","0","30000","0","2110001"
"2","2","1","0","15","0","3000","0","2111001"
"1","2","1","0","25","0","3000","0","2112001"
"2","2","1","0","10","0","3000","0","2113001"
"3000","21","0","0","2113003","0","0","0","2113002"
"1","2","1","0","25","0","30000","0","2113003"
"2","2","1","0","-10","0","3000","0","2114001"
"3000","21","1","0","2114003","0","0","0","2114002"
"1","2","2","0","-25","0","30000","0","2114003"
"1","2","2","0","-10","0","30000","0","2116001"
"2","2","2","0","-10","0","30000","0","2116002"
