94387bf4c28d2a298bc5dfd78142d154c1284dfa2de1716df199695a55df4d5b,580a65a033b3b510f496db59843a357cb1ff460252c48fc63f46eb4817251d35,0dbf1bf56f988677fd0375ea8352c192bce1821c0424ed28b59e6e5a14c25a12,ed126601dab928545f806dbcbdd388fd8f4381451604292bba5c84c01de5cd36,b2f132e6c87b900bf6c18cb4c5d2b0c69ea802841584dbc74f2cce481955694a,8e8291d88ee3cfde6e108b5ba07ebe094c763108264ea36f06f35f27c7a8d6fc,e0cefab091286e8f8dd0f6cb85fd6b37d795962816f26db058674fa6f47f4694,f063fbf999691ca609cf1bdee83602931d68a2dc69a792b1cbe2a1a11d7f7418,0c65e1a0330e27603b69ee3fb9c94ed65f81bae59c7337c926bacec0c0817f91,ad9e0fdad8c33d526ee92d4dccafac071ef1b8f6cc92d1b4210f13447d7d7bcf,cf322d07823b9252cfafec57608bc890faaf7478d049fbfb6406f483cfacaf80,96c648b0cb2daac445f1ed97dd63cf9a6565dd5945b15ba1cb9fb2b05688855c,f94bf99342e34ba4a97684fb622d0058c8e5fb40ec99dc0653942526a2b40895,fb0ff12129b5f8b54230d01ded753597abf954d06da58aeb561b0669e3d04ed0
"1001","1","-1","1","1","6","1","1","1","1","4","7","30","30"
"1002","1","-1","1","1","6","1","1","1","1","31","11","60","60"
"1003","1","-1","1","1","6","1","1","1","1","61","15","90","90"
"1004","1","-1","1","1","6","1","1","1","1","91","19","120","120"
"1005","1","-1","1","1","6","1","1","1","1","121","23","150","150"
"1006","1","-1","1","1","6","1","1","1","1","151","27","180","180"
"1007","1","-1","1","1","6","1","1","1","1","181","29","210","210"
"1008","1","-1","1","1","6","1","1","1","1","211","31","240","240"
"1009","1","-1","1","1","6","1","1","1","1","241","31","270","270"
"1010","1","-1","1","1","6","1","1","1","1","271","31","300","300"
"1011","1","-1","1","1","6","1","1","1","1","301","31","-1","310"
"1101","1","-1","1","2","5","1","1","1","1","4","7","30","30"
"1102","1","-1","1","2","5","1","1","1","1","31","11","60","60"
"1103","1","-1","1","2","5","1","1","1","1","61","15","90","90"
"1104","1","-1","1","2","5","1","1","1","1","91","19","120","120"
"1105","1","-1","1","2","5","1","1","1","1","121","23","150","150"
"1106","1","-1","1","2","5","1","1","1","1","151","27","180","180"
"1107","1","-1","1","2","5","1","1","1","1","181","29","210","210"
"1108","1","-1","1","2","5","1","1","1","1","211","31","240","240"
"1109","1","-1","1","2","5","1","1","1","1","241","31","270","270"
"1110","1","-1","1","2","5","1","1","1","1","271","31","300","300"
"1111","1","-1","1","2","5","1","1","1","1","301","31","-1","310"
"1201","1","-1","1","3","5","1","1","1","1","4","7","30","-1"
"1202","1","-1","1","3","5","1","1","1","1","31","11","60","-1"
"1203","1","-1","1","3","5","1","1","1","1","61","15","90","-1"
"1204","1","-1","1","3","5","1","1","1","1","91","19","120","-1"
"1205","1","-1","1","3","5","1","1","1","1","121","23","150","-1"
"1206","1","-1","1","3","5","1","1","1","1","151","27","180","-1"
"1207","1","-1","1","3","5","1","1","1","1","181","29","210","-1"
"1208","1","-1","1","3","5","1","1","1","1","211","31","240","-1"
"1209","1","-1","1","3","5","1","1","1","1","241","31","270","-1"
"1210","1","-1","1","3","5","1","1","1","1","271","31","300","-1"
"1211","1","-1","1","3","5","1","1","1","1","301","31","-1","-1"
"1301","1","-1","1","4","5","1","1","1","1","4","7","30","30"
"1302","1","-1","1","4","5","1","1","1","1","31","10","60","60"
"1303","1","-1","1","4","5","1","1","1","1","61","13","90","90"
"1304","1","-1","1","4","5","1","1","1","1","91","16","120","120"
"1305","1","-1","1","4","5","1","1","1","1","121","19","150","150"
"1306","1","-1","1","4","5","1","1","1","1","151","22","180","180"
"1307","1","-1","1","4","5","1","1","1","1","181","25","210","210"
"1308","1","-1","1","4","5","1","1","1","1","211","28","240","240"
"1309","1","-1","1","4","5","1","1","1","1","241","28","270","270"
"1310","1","-1","1","4","5","1","1","1","1","271","28","300","300"
"1311","1","-1","1","4","5","1","1","1","1","301","28","-1","310"
"1401","1","-1","1","5","5","1","1","1","1","4","7","30","-1"
"1402","1","-1","1","5","5","1","1","1","1","31","10","60","-1"
"1403","1","-1","1","5","5","1","1","1","1","61","13","90","-1"
"1404","1","-1","1","5","5","1","1","1","1","91","16","120","-1"
"1405","1","-1","1","5","5","1","1","1","1","121","19","150","-1"
"1406","1","-1","1","5","5","1","1","1","1","151","22","180","-1"
"1407","1","-1","1","5","5","1","1","1","1","181","25","210","-1"
"1408","1","-1","1","5","5","1","1","1","1","211","28","240","-1"
"1409","1","-1","1","5","5","1","1","1","1","241","28","270","-1"
"1410","1","-1","1","5","5","1","1","1","1","271","28","300","-1"
"1411","1","-1","1","5","5","1","1","1","1","301","28","-1","-1"
"1501","1","-1","1","6","3","1","1","1","1","4","7","30","-1"
"1502","1","-1","1","6","3","1","1","1","1","31","10","60","-1"
"1503","1","-1","1","6","3","1","1","1","1","61","13","90","-1"
"1504","1","-1","1","6","3","1","1","1","1","91","16","120","-1"
"1505","1","-1","1","6","3","1","1","1","1","121","19","150","-1"
"1506","1","-1","1","6","3","1","1","1","1","151","22","180","-1"
"1507","1","-1","1","6","3","1","1","1","1","181","22","210","-1"
"1508","1","-1","1","6","3","1","1","1","1","211","22","240","-1"
"1509","1","-1","1","6","3","1","1","1","1","241","22","270","-1"
"1510","1","-1","1","6","3","1","1","1","1","271","22","-1","-1"
"1601","1","5","1","7","6","1","1","1","1","4","7","30","30"
"1602","1","5","1","7","6","1","1","1","1","31","11","60","60"
"1603","1","5","1","7","6","1","1","1","1","61","15","90","90"
"1604","1","5","1","7","6","1","1","1","1","91","19","120","120"
"1605","1","5","1","7","6","1","1","1","1","121","23","150","150"
"1606","1","5","1","7","6","1","1","1","1","151","27","180","180"
"1607","1","5","1","7","6","1","1","1","1","181","29","210","210"
"1608","1","5","1","7","6","1","1","1","1","211","31","240","240"
"1609","1","5","1","7","6","1","1","1","1","241","31","270","270"
"1610","1","5","1","7","6","1","1","1","1","271","31","300","300"
"1611","1","5","1","7","6","1","1","1","1","301","31","-1","310"
"1701","1","5","1","8","5","1","1","1","1","4","7","30","30"
"1702","1","5","1","8","5","1","1","1","1","31","11","60","60"
"1703","1","5","1","8","5","1","1","1","1","61","15","90","90"
"1704","1","5","1","8","5","1","1","1","1","91","19","120","120"
"1705","1","5","1","8","5","1","1","1","1","121","23","150","150"
"1706","1","5","1","8","5","1","1","1","1","151","27","180","180"
"1707","1","5","1","8","5","1","1","1","1","181","29","210","210"
"1708","1","5","1","8","5","1","1","1","1","211","31","240","240"
"1709","1","5","1","8","5","1","1","1","1","241","31","270","270"
"1710","1","5","1","8","5","1","1","1","1","271","31","300","300"
"1711","1","5","1","8","5","1","1","1","1","301","31","-1","310"
