0fd2ef60a9fcf36bfb8b34ddadd244034cbdcc8daf1e3937cc9286d356a8c7e3,be0365e661ca9f18311c6d120c6e14f316b03580c36d5eea6a4f40ece4684462,9f821d36485fdb82ce9479247654ee7cecc1fc5ec62d0265ccff12be5cef377e,7cec4396bd87786ef1a963b73dd711fa25abd606dd8469d91d11bed8af68cac9
"1","5046601","1004601","1004601"
"1","5048007","1004801","1004801"
"2","1004801","1004802","1004802"
"1","5056601","1005601","1005601"
"1","5061601","1006101","1006101"
"3","5061602","1006102","1006102"
"1","5061601","1006103","1006103"
"4","5027704","1006601","1006601"
"5","0","1007001","1007001"
"1","5046601","1007301","1007301"
"1","5048007","1007501","1007501"
"2","1004801","1007502","1007502"
"6","0","1008201","1008201"
"1","5056601","1008301","1008301"
"1","5061601","1008901","1008901"
"3","5061602","1008902","1008902"
"1","5061601","1008903","1008903"
"3","5092601","1009201","1009201"
"3","5100601","1010001","1010001"
"3","5100601","1010201","1010201"
"6","0","1010901","1010901"
"3","5092601","1011901","1011901"
"3","5100601","1012701","1012701"
"1","5056601","2003201","2003201"
