4a1541517450185b10e13f1aa508f31d4182ab1db3dcd4d831c204d161a44dc8,358b178e44fa8715d1e791b0510de01dfb154a3c0e5258f0232b3aad5f189ee5,18f629abebd43cc3452e6f423557988b745f47993f262f6b32f7e15e3ce89abc,9d0effe25a642a07d745eb100773b6d1b28b19dd039fdb737eef59bb8dc744b1,e2009fc65fa278be5307ee3a62d56d694fa6470f114f2ade7cbb1e45cbe7b3ec,af701c3447eb8ae74b44d4b5013740c9739d19c1c400da1a29f9da29da9f6d55,16f0648cde51784a6f28682c97088eb9317e22b322ee2507f9d1183412af7916,3fa1f090d94851e0d694610e52c2d2fb9a2678b127539e52ecffa76d5758381e,7d125e94a7e3ca1a9043276acb01c6f56e2c9adcf8d3829e85fb7b220ef71b33,466e71e603de2f670d8591c30b0f4e9c68db70618208a678627e5c2bba65cc86,bb47150bd5d612424e4c7fb411a6c79a967c791a2852004941b53b9fd0c91c44
"1","-280","5152061","1","382","idle_normal","1","110311","110","1.55","61001"
"0","-210","5152061","1","145","idle_normal","1","131911","106","1.55","61002"
"0","-225","5152061","1","-50","joy_idle_normal","1","102311","107","1.55","61003"
"0","-240","5152061","1","-245","wish_idle","1","102111","108","1.55","61004"
"0","-255","5152061","1","-440","idle_normal","1","107711","109","1.55","61005"
"0","-105","5152061","1","40","doya_idle","1","122811","103","1.45","61006"
"0","-120","5152061","1","-160","idle_normal","1","122911","104","1.45","61007"
"0","-135","5152061","1","-355","idle_normal","1","122711","105","1.45","61008"
"","","5152061","110311","","","13","210","","","61009"
"","","5152061","131911","","","13","206","","","61010"
"","","5152061","107711","","","13","209","","","61011"
"","","5152061","122711","","","13","205","","","61012"
"","","5152061","122811","","","13","203","","","61013"
"","","5152061","122911","","","13","204","","","61014"
"","","5152061","102111","","","13","208","","","61015"
"","","5152061","102311","","","13","207","","","61016"
"0","160","5152061","2","-110","empty","5","2","210","0.75","61017"
"0","-45","5152061","3","352","empty","5","3","210","1","61018"
"","1","5152061","1","0","","31","1","0","1","61019"
"","1","5152061","2","0","","31","2","0","0","61020"
"","1","5152061","3","0","","31","3","0","1","61021"
"","1","5152061","11","0","","31","11","0","0","61022"
"","","5152061","0","","","91","0","","","61023"
"","","5152061","3","","","37","telop_1","","","61024"
"","","5152061","0","","","102","0","0","","61025"
"","","5152061","1","","","93","0","","","61026"
"0","1","5152061","110311","callout_loop","","3","callout_in","0","0.2","61027"
"","","5152061","0.1","","","93","0","","","61028"
"","","5152061","vo_rag","0","","21","vo_rag_6001","0","","61029"
