2c6ffc02beef91ca54a7a55a94765e1963d45f7b953e4b1b448fd3554ef7520b,15c6337f81b803e1090a7f8a4b21774ff231f2880529b6b5606aa4ddc53ec0fb,7fa599a5cc9091b506aaaee0ebe5f2298ec045f2f34d6dc0c1b12728d847e34e
"100101","1","1"
"100201","1","1"
"100301","1","1"
"100401","1","1"
"102101","1","1"
"102201","1","1"
"102501","1","1"
"103401","1","1"
"104001","1","1"
"105001","1","1"
"105201","1","1"
"105801","1","1"
"105901","1","1"
"106001","1","1"
"100601","2","1"
"100701","2","1"
"100801","2","1"
"101301","2","1"
"101601","2","1"
"101701","2","1"
"102001","2","1"
"102301","2","1"
"102701","2","1"
"103101","2","1"
"103301","2","1"
"103801","2","1"
"104201","2","1"
"104501","2","1"
"104601","2","1"
"104801","2","1"
"105101","2","1"
"102601","2","1"
"101501","2","1"
"105401","2","1"
"100501","2","1"
"100901","3","1"
"101001","3","1"
"101101","3","1"
"101201","3","1"
"101801","3","1"
"102801","3","1"
"102901","3","1"
"103001","3","1"
"103201","3","1"
"104301","3","1"
"104901","3","1"
"105301","3","1"
"105701","3","1"
"104701","3","1"
"106301","3","1"
"103601","3","1"
"104401","3","1"
"103701","3","1"
"105601","3","1"
"107101","3","1"
