d7050aae1c94d684204c36d9776df1940d53294810578ac8cfaafdf704894ba7,2ecec0482eb843a99582068ce0ef5cb2e2c35f8945fa583f5ac2ccae90044994,322f1148ae90097c6cecad16942d68bf82e756a1cf92edc552202b3632554b50,926c9b1b73e63524b4153f59d8f7911779ff1d67c235b7272f6a4847d80266c4,c2008cb6196c4cf5b47e00053dda6e06298d81aa2c8810f8ff973e878aa569e5
"12","100101","94002","5000000","1"
"2","100102","90008","2000","2"
"2","100103","25001","20","3"
"2","100104","90008","2500","4"
"2","100105","25001","30","5"
"8","100106","91002","300","6"
"2","100107","41000","1","7"
"12","100108","94002","5000000","8"
"12","100109","94002","1000000","9"
"12","100110","94002","1000000","10"
"12","100111","94002","1000000","11"
"2","100112","20004","400","12"
"2","100113","20004","300","13"
"2","100114","20004","200","14"
"12","100115","94002","1000000","15"
"12","100116","94002","1000000","16"
"12","100117","94002","1000000","17"
"2","100118","20004","400","18"
"2","100119","20004","300","19"
"2","100120","20004","200","20"
"12","100121","94002","1000000","21"
"12","100122","94002","1000000","22"
"12","100123","94002","1000000","23"
"2","100124","20004","400","24"
"2","100125","20004","300","25"
"2","100126","20004","200","26"
"12","100201","94002","5000000","27"
"2","100202","90008","2000","28"
"2","100203","25001","20","29"
"2","100204","90008","2500","30"
"2","100205","25001","30","31"
"8","100206","91002","300","32"
"2","100207","41000","1","33"
"12","100208","94002","5000000","34"
"12","100209","94002","1000000","35"
"12","100210","94002","1000000","36"
"12","100211","94002","1000000","37"
"2","100212","20004","400","38"
"2","100213","20004","300","39"
"2","100214","20004","200","40"
"12","100215","94002","1000000","41"
"12","100216","94002","1000000","42"
"12","100217","94002","1000000","43"
"2","100218","20004","400","44"
"2","100219","20004","300","45"
"2","100220","20004","200","46"
"12","100221","94002","1000000","47"
"12","100222","94002","1000000","48"
"12","100223","94002","1000000","49"
"2","100224","20004","400","50"
"2","100225","20004","300","51"
"2","100226","20004","200","52"
"12","100301","94002","5000000","53"
"2","100302","90008","2000","54"
"2","100303","25001","20","55"
"2","100304","90008","2500","56"
"2","100305","25001","30","57"
"8","100306","91002","300","58"
"2","100307","41000","1","59"
"12","100308","94002","5000000","60"
"12","100309","94002","1000000","61"
"12","100310","94002","1000000","62"
"12","100311","94002","1000000","63"
"2","100312","20004","400","64"
"2","100313","20004","300","65"
"2","100314","20004","200","66"
"12","100315","94002","1000000","67"
"12","100316","94002","1000000","68"
"12","100317","94002","1000000","69"
"2","100318","20004","400","70"
"2","100319","20004","300","71"
"2","100320","20004","200","72"
"12","100321","94002","1000000","73"
"12","100322","94002","1000000","74"
"12","100323","94002","1000000","75"
"2","100324","20004","400","76"
"2","100325","20004","300","77"
"2","100326","20004","200","78"
"12","100401","94002","5000000","79"
"2","100402","90008","2000","80"
"2","100403","25001","20","81"
"2","100404","90008","2500","82"
"2","100405","25001","30","83"
"8","100406","91002","300","84"
"2","100407","41000","1","85"
"12","100408","94002","5000000","86"
"12","100409","94002","1000000","87"
"12","100410","94002","1000000","88"
"12","100411","94002","1000000","89"
"2","100412","20004","400","90"
"2","100413","20004","300","91"
"2","100414","20004","200","92"
"12","100415","94002","1000000","93"
"12","100416","94002","1000000","94"
"12","100417","94002","1000000","95"
"2","100418","20004","400","96"
"2","100419","20004","300","97"
"2","100420","20004","200","98"
"12","100421","94002","1000000","99"
"12","100422","94002","1000000","100"
"12","100423","94002","1000000","101"
"2","100424","20004","400","102"
"2","100425","20004","300","103"
"2","100426","20004","200","104"
"12","100501","94002","5000000","105"
"2","100502","90008","2000","106"
"2","100503","25001","20","107"
"2","100504","90008","2500","108"
"2","100505","25001","30","109"
"8","100506","91002","300","110"
"2","100507","41000","1","111"
"12","100508","94002","5000000","112"
"12","100509","94002","1000000","113"
"12","100510","94002","1000000","114"
"12","100511","94002","1000000","115"
"2","100512","20004","400","116"
"2","100513","20004","300","117"
"2","100514","20004","200","118"
"12","100515","94002","1000000","119"
"12","100516","94002","1000000","120"
"12","100517","94002","1000000","121"
"2","100518","20004","400","122"
"2","100519","20004","300","123"
"2","100520","20004","200","124"
"12","100521","94002","1000000","125"
"12","100522","94002","1000000","126"
"12","100523","94002","1000000","127"
"2","100524","20004","400","128"
"2","100525","20004","300","129"
"2","100526","20004","200","130"
"12","100601","94002","5000000","131"
"2","100602","90008","2000","132"
"2","100603","25001","20","133"
"2","100604","90008","2500","134"
"2","100605","25001","30","135"
"8","100606","91002","300","136"
"2","100607","41000","1","137"
"12","100608","94002","5000000","138"
"12","100609","94002","1000000","139"
"12","100610","94002","1000000","140"
"12","100611","94002","1000000","141"
"2","100612","20004","400","142"
