e96dc49f1cf3ea319e478fd68b00a3ebc61e7e3ea35a2a907dbb9cae5081e323,578eb7791edbc1bf82a6db2af79ff4b319b9a1292d6364cf4ba5bb8d9894f490,ba0da2adfea4f901599af30c648cc338ecfebc6b672b01878b180be3861559e5,93353888bf3143bb086179610f7d4ee73625d6548a01f2dc7c3867dfb4fb114c,a35bc049772fe6d542bc399f0b950283ac2ca0db0a00f789059b6c3dfa3fc9d1
"シャドウ1体追加","add_shadow","ジータのシャドウが追加される。","74001102","1"
"シャドウ3体追加","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001103","2"
"シャドウ★6化","star6_shadow","ノゾミのシャドウが★6になる。","74001104","3"
"シャドウ3体追加","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001104","4"
"シャドウ★6化","star6_shadow","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","74001105","5"
"シャドウ3体追加","add_shadow","ジータ、サレン（サマー）、アメスのシャドウが追加される。","74001105","6"
"シャドウ1体追加","add_shadow","ユカリのシャドウが追加される。","74001202","7"
"シャドウ3体追加","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001203","8"
"シャドウ★6化","star6_shadow","ユカリとユイのシャドウが★6になる。","74001204","9"
"シャドウ3体追加","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001204","10"
"シャドウ★6化","star6_shadow","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","74001205","11"
"シャドウ3体追加","add_shadow","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","74001205","12"
"ボス魔法ダメージカット","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","74001301","13"
"ボス魔法ダメージカット","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001302","14"
"シャドウ1体追加","add_shadow","シズル（サマー）のシャドウが追加される。","74001302","15"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001303","16"
"ボス魔法ダメージカット","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","74001303","17"
"シャドウ2体追加","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","74001303","18"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001304","19"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001304","20"
"ボス魔法ダメージカット","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","74001304","21"
"シャドウ2体追加","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","74001304","22"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74001305","23"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001305","24"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001305","25"
"ボス魔法ダメージカット","boss_magic_cut","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","74001305","26"
"シャドウ2体追加","add_shadow","シズル（サマー）とクリスティーナのシャドウが追加される。","74001305","27"
"ボス物理ダメージカット","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","74001401","28"
"ボス物理ダメージカット","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001402","29"
"シャドウ1体追加","add_shadow","クウカ（オーエド）のシャドウが追加される。","74001402","30"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001403","31"
"ボス物理ダメージカット","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001403","32"
"シャドウ2体追加","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","74001403","33"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001404","34"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001404","35"
"ボス物理ダメージカット","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","74001404","36"
"シャドウ2体追加","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","74001404","37"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74001405","38"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001405","39"
"開始時TP回復","energy_recover","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001405","40"
"ボス物理ダメージカット","boss_physics_cut","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","74001405","41"
"シャドウ2体追加","add_shadow","クウカ（オーエド）とネネカのシャドウが追加される。","74001405","42"
"開始時攻撃力アップ","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001502","43"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74001503","44"
"開始時攻撃力アップ","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001503","45"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74001504","46"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001504","47"
"開始時攻撃力アップ","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001504","48"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74001505","49"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74001505","50"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74001505","51"
"開始時攻撃力アップ","boss_atk_up","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001505","52"
"シャドウ1体追加","add_shadow","カリンのシャドウが追加される。","74002102","53"
"シャドウ強化","star6_shadow","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","74002103","54"
"シャドウ1体追加","add_shadow","カリンのシャドウが追加される。","74002103","55"
"シャドウ強化","star6_shadow","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002104","56"
"シャドウ1体追加","add_shadow","カリンのシャドウが追加される。","74002104","57"
"シャドウ物理攻撃力アップ","boss_atk_up","すべてのシャドウの物理攻撃力が大幅に上昇する。","74002105","58"
"シャドウ強化","star6_shadow","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002105","59"
"シャドウ1体追加","add_shadow","カリンのシャドウが追加される。","74002105","60"
"シャドウ1体追加","add_shadow","カヤ（リベレイター）のシャドウが追加される。","74002202","61"
"シャドウ強化","star6_shadow","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","74002203","62"
"シャドウ1体追加","add_shadow","カヤ（リベレイター）のシャドウが追加される。","74002203","63"
"シャドウ強化","star6_shadow","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","74002204","64"
"シャドウ1体追加","add_shadow","カヤ（リベレイター）のシャドウが追加される。","74002204","65"
"シャドウ魔法防御力アップ","boss_magic_def_up","すべてのシャドウの魔法防御力が大幅に上昇する。","74002205","66"
"シャドウ強化","star6_shadow","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","74002205","67"
"シャドウ1体追加","add_shadow","カヤ（リベレイター）のシャドウが追加される。","74002205","68"
"シャドウ1体追加","add_shadow","ノゾミのシャドウが追加される。","74002302","69"
"シャドウ2体追加","add_shadow","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002303","70"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74002304","71"
"シャドウ強化","star6_shadow","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002304","72"
"シャドウ2体追加","add_shadow","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002304","73"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74002305","74"
"開始時物理防御力アップ","boss_def_up","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002305","75"
"開始時魔法防御力アップ","boss_magic_def_up","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002305","76"
"シャドウ強化","star6_shadow","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002305","77"
"シャドウ2体追加","add_shadow","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002305","78"
"シャドウ1体追加","add_shadow","アヤネのシャドウが追加される。","74002402","79"
"シャドウ2体追加","add_shadow","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002403","80"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74002404","81"
"シャドウ強化","star6_shadow","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002404","82"
"シャドウ2体追加","add_shadow","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002404","83"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74002405","84"
"開始時物理防御力アップ","boss_def_up","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002405","85"
"開始時魔法防御力アップ","boss_magic_def_up","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002405","86"
"シャドウ強化","star6_shadow","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002405","87"
"シャドウ2体追加","add_shadow","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002405","88"
"バトル時間制限","limit_time","バトル時間が70秒になる。","74002502","89"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74002503","90"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74002504","91"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74002504","92"
"バトル時間制限","limit_time","バトル時間が45秒になる。","74002505","93"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74002505","94"
"シャドウ強化","star6_shadow","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","74003102","95"
"シャドウ1体追加","add_shadow","ユキのシャドウが追加される。","74003103","96"
"シャドウ強化","star6_shadow","ハツネ、ユキのシャドウが★6になる。","74003103","97"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74003104","98"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74003105","99"
"シャドウ最大ＨＰアップ","max_hp_up","すべてのシャドウの最大ＨＰが大幅に上昇する。","74003105","100"
"モンスター1体追加","add_shadow","カーズ・レリックが追加される。","74003202","101"
"シャドウ強化","star6_shadow","アオイのシャドウが★6になる。","74003203","102"
"開始時魔法ダメージカット","boss_magic_cut","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","74003204","103"
"モンスター強化","boss_ub_enhance","カーズ・レリックのスキルが強化される。","74003204","104"
"開始時魔法ダメージカット","boss_magic_cut","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","74003205","105"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74003205","106"
"モンスター1体追加","add_shadow","ヒール・レリックが追加される。","74003302","107"
"シャドウ強化","star6_shadow","キャル（ニューイヤー）のシャドウに専用装備が追加される。","74003303","108"
"開始時物理ダメージカット","boss_physics_cut","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","74003304","109"
"モンスター強化","boss_ub_enhance","ヒール・レリックのスキルが強化される。","74003304","110"
"開始時物理ダメージカット","boss_physics_cut","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","74003305","111"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74003305","112"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003402","113"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003402","114"
"バトル時間制限","limit_time","バトル時間が70秒になる。","74003403","115"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003403","116"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003403","117"
"バトル時間制限","limit_time","バトル時間が70秒になる。","74003404","118"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74003404","119"
