b6ba6fea3ac77528633330ccfe79f74d37d6e1600b6d65d936e6e588a4e02653,24cf409105ae8a0be3d199770d704b28d183c6716d5066bb62872f0a4ad5b87f,07f93aea1687c33bf89b7f63a654f3c81be5338e787bedf6a855b0ab1bf1f7e2,254c1fa286075d34626ad5569256d985dd6143e9ae9a56f733c5f9c2304d4b73,f47372a7f70bedd253f9a6f10d0c5400f905a4071dcbe7fb5781ea40b431e104
"58","1","1","1","1"
"59","2","1","1","1"
"60","3","1","1","1"
"64","4","1","1","1"
"1","5","1","2","1"
"2","6","1","2","1"
"3","7","1","2","1"
"68","8","1","3","1"
"49","9","1","3","1"
"11","10","1","3","1"
"29","11","1","4","1"
"42","12","1","4","1"
"54","13","1","4","1"
"20","14","1","5","1"
"4","15","1","5","1"
"36","16","1","5","1"
"15","17","1","6","1"
"12","18","1","6","1"
"40","19","1","6","1"
"44","20","1","7","1"
"31","21","1","7","1"
"7","22","1","7","1"
"22","23","1","7","1"
"6","24","1","7","1"
"47","25","1","8","1"
"71","26","1","8","1"
"37","27","1","8","1"
"5","28","1","8","1"
"28","29","1","9","1"
"25","30","1","9","1"
"21","31","1","9","1"
"23","32","1","9","1"
"10","33","1","10","1"
"43","34","1","10","1"
"17","35","1","10","1"
"14","36","1","10","1"
"33","37","1","11","1"
"26","38","1","11","1"
"52","39","1","11","1"
"38","40","1","11","1"
"32","41","1","12","1"
"48","42","1","12","1"
"34","43","1","12","1"
"46","44","1","12","1"
"56","45","1","13","1"
"51","46","1","13","1"
"27","47","1","13","1"
"13","48","1","13","1"
"9","49","1","13","1"
"18","50","1","14","1"
"16","51","1","14","1"
"50","52","1","14","1"
"53","53","1","15","1"
"30","54","1","15","1"
"8","55","1","15","1"
"45","56","1","15","1"
"55","57","1","15","1"
"110","58","1","16","1"
"108","59","1","16","1"
"109","60","1","16","1"
"67","61","1","17","1"
"65","62","1","17","1"
"66","63","1","17","1"
"181","64","1","18","1"
"182","65","1","18","1"
"233","66","1","18","1"
"180","67","1","19","1"
"258","68","1","20","1"
"260","69","1","20","1"
"261","70","1","20","1"
"265","71","1","21","1"
"264","72","1","21","1"
"277","73","1","21","1"
"278","74","1","21","1"
"309","75","1","21","1"
"297","76","1","22","1"
"296","77","1","22","1"
"347","78","1","22","1"
"349","79","1","22","1"
"362","80","1","22","1"
"360","81","1","22","1"
"331","82","1","23","1"
"330","83","1","23","1"
"359","84","1","23","1"
"358","85","1","23","1"
"369","86","1","23","1"
"300","87","1","24","1"
"301","88","1","24","1"
"302","89","1","24","1"
"323","90","1","25","1"
"325","91","1","25","1"
"324","92","1","25","1"
"230","93","1","26","1"
"186","94","1","26","1"
"61","95","1","26","1"
"70","96","1","26","1"
"69","97","1","26","1"
"185","98","1","26","1"
"290","99","1","26","1"
"355","100","1","26","1"
"356","101","1","26","1"
"57","102","1","26","1"
"256","103","1","26","1"
"92","104","1","26","1"
"94","105","1","26","1"
"93","106","1","26","1"
"63","107","1","26","1"
"114","108","1","26","1"
"223","109","1","26","1"
"336","110","1","26","1"
