e7c77028be89240f8a8cdcf73d1fef983ef07d706a061db5b2473f68eefca3c6,7c9b2214b9686c7b0bf48b3df7bf79efa24776442aa0735de15dae5fa86104bc,2427124a8bbb317f9b51ad19fd1c23004f8db3b3e4ff0764782307cf671150ff,41f5be37a0fa5a86b285702345f9264b0c550bf2c90e1a33feb94d00f2a08f3e
"1","18","4301511","1"
"1","18","4301512","2"
"1","18","4301513","3"
"1","18","4301514","4"
"1","18","4301515","5"
"1","2","26202","6"
"2","18","4302511","1"
"2","18","4302512","2"
"2","18","4302513","3"
"2","18","4302514","4"
"2","18","4302515","5"
"2","2","26202","6"
"3","18","4303511","1"
"3","18","4303512","2"
"3","18","4303513","3"
"3","18","4303514","4"
"3","18","4303515","5"
"3","2","26202","6"
"4","18","4304511","1"
"4","18","4304512","2"
"4","18","4304513","3"
"4","18","4304514","4"
"4","18","4304515","5"
"4","2","26202","6"
"5","18","4305511","1"
"5","18","4305512","2"
"5","18","4305513","3"
"5","18","4305514","4"
"5","18","4305515","5"
"5","2","26202","6"
