c8074a0cf48adee33099d889916c2663926e47c7988035dbd8f66252312f1bc5,e3c681b5ab8685e1a2ec3e70c8570af8b0e3d2f1ad1639af243974d55048dc6b,adfc48e13d9845e9b0e42c3bbc873f50a06e681df78e279738de034ff3c8ad49,583574232f638ef5cea075d033d130f60b4d04a268f4d868064bb2091984924b,4f74495ba9d4b76a967016c80fcc929d70056c1f544d0fcd696d9fd4a1d5f969,077d31026310980d5c7eeaf218066792e61d7bcf1e57e500db0320cd4d37dd8a,05c95fc8176ebf778e33324a7506a1b30e5ecd80ea3d1cbb94b02b30323d395c,9899778adc46291ab766ad0b0479880dff7fcfb20bd22bf86a31161992c2b773,0a9b4d82fd50190efcc6bb69e83eb8ef5f08a066b507720d05c88844fe327e65,4b23b7c09987a0afaf3a3a31a3ae1ba3ef26b894da79df7c976620e785aeb110,91eb4c801006d2a1c2094ae8b630e299463af91ca73424150faa93687262a1e4,be6bd597563bf6c20f7a87025d76106c137d10c081c22c1f9da6cc79ac8f14c5
"20000","2","ランダムEXPポーションBOX","0","0","0","2030/08/01 14:59:59","0","ランダムなEXPポーションが獲得できる。","6","1","2015/12/17 15:00:00"
"20001","1","ミニEXPポーション","80","0","60","2030/08/01 14:59:59","0","キャラのLv強化に使用すると、キャラEXPが60加算される。","1","999999","2015/12/17 15:00:00"
"20002","2","EXPポーション","400","0","300","2030/08/01 14:59:59","0","キャラのLv強化に使用すると、キャラEXPが300加算される。","1","999999","2015/12/17 15:00:00"
"20003","3","EXPハイポーション","2000","0","1500","2030/08/01 14:59:59","0","キャラのLv強化に使用すると、キャラEXPが1500加算される。","1","999999","2015/12/17 15:00:00"
"20004","4","EXPメガポーション","10000","0","7500","2030/08/01 14:59:59","0","キャラのLv強化に使用すると、キャラEXPが7500加算される。","1","999999","2015/12/17 15:00:00"
"20005","5","EXPギガポーション","50000","0","37500","2030/08/01 14:59:59","0","キャラのLv強化に使用すると、キャラEXPが37500加算される。","1","999999","2015/12/17 15:00:00"
"21001","1","ユカリ（クリスマス）専用スフィア / Lv180","0","0","1","2030/08/01 14:59:59","0","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2020/11/30 12:00:00"
"21002","1","ムイミ（ニューイヤー）専用スフィア / Lv180","0","0","2","2030/08/01 14:59:59","0","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2020/12/31 12:00:00"
"21003","1","ユイ（儀装束）専用スフィア / Lv180","0","0","3","2030/08/01 14:59:59","0","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/01/31 12:00:00"
"21004","1","リマ（シンデレラ）専用スフィア / Lv180","0","0","5","2030/08/01 14:59:59","0","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/02/28 12:00:00"
"21005","1","タマキ（作業服）専用スフィア / Lv180","0","0","6","2030/08/01 14:59:59","0","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/05/31 12:00:00"
"21006","1","ツムギ（サマー）専用スフィア / Lv180","0","0","7","2030/08/01 14:59:59","0","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/07/31 12:00:00"
"21007","1","ニノン（ハロウィン）専用スフィア / Lv180","0","0","8","2030/08/01 14:59:59","0","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/09/30 12:00:00"
"21008","1","マヒル（クリスマス）専用スフィア / Lv215","0","0","9","2030/08/01 14:59:59","0","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2021/11/30 12:00:00"
"21009","1","ルカ（ニューイヤー）専用スフィア / Lv215","0","0","10","2030/08/01 14:59:59","0","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2021/12/31 12:00:00"
"21010","1","ラビリスタ（オーバーロード）専用スフィア / Lv215","0","0","12","2030/08/01 14:59:59","0","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/02/07 12:00:00"
"21011","1","アオイ（キャンプ）専用スフィア / Lv215","0","0","13","2030/08/01 14:59:59","0","アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/05/31 12:00:00"
"21012","1","ヒヨリ（サマー）専用スフィア / Lv215","0","0","14","2030/08/01 14:59:59","0","ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/06/30 12:00:00"
"21013","1","ミソギ（サマー）専用スフィア / Lv215","0","0","15","2030/08/01 14:59:59","0","ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/07/31 12:00:00"
"21014","1","リン（ハロウィン）専用スフィア / Lv215","0","0","16","2030/08/01 14:59:59","0","リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/09/30 12:00:00"
"21015","1","ヨリ（クリスマス）専用スフィア / Lv250","0","0","17","2030/08/01 14:59:59","0","ヨリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2022/11/30 12:00:00"
"21016","1","ミツキ（ニューイヤー）専用スフィア / Lv250","0","0","20","2030/08/01 14:59:59","0","ミツキ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2022/12/31 12:00:00"
"21017","1","カヤ（リベレイター）専用スフィア / Lv250","0","0","21","2030/08/01 14:59:59","0","カヤ（リベレイター）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2023/01/31 12:00:00"
"21018","1","カリン（アルケミスト）専用スフィア / Lv250","0","0","22","2030/08/01 14:59:59","0","カリン（アルケミスト）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2023/04/30 12:00:00"
"21019","1","アキノ（サマー）専用スフィア / Lv250","0","0","24","2030/08/01 14:59:59","0","アキノ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2023/06/30 12:00:00"
"21020","1","クウカ（サマー）専用スフィア / Lv250","0","0","25","2030/08/01 14:59:59","0","クウカ（サマー）専用のグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2023/07/31 12:00:00"
"21021","1","イノリ（ニューイヤー）専用スフィア / Lv280","0","0","27","2030/08/01 14:59:59","0","イノリ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","21","999","2023/12/31 12:00:00"
"21022","1","レイ（アストラル）専用スフィア / Lv280","0","0","28","2030/08/01 14:59:59","0","レイ（アストラル）専用のグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","21","999","2024/01/31 12:00:00"
"21900","1","グロウスフィア / Lv180","0","0","4","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","21","999","2021/02/21 12:00:00"
"21901","1","グロウスフィア / Lv215","0","0","11","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","21","999","2022/01/31 12:00:00"
"21902","1","グロウスフィア / Lv250","0","0","18","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv250/RANK26まで強化できる。","21","999","2022/11/30 12:00:00"
"21903","1","グロウスフィア / Lv100","0","0","19","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv100/RANK12まで強化できる。","21","999","2022/12/15 12:00:00"
"21904","1","グロウスフィア / Lv260","0","0","23","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv260/RANK28まで強化できる。","21","999","2023/04/30 12:00:00"
"21905","1","グロウスフィア / Lv280","0","0","26","2030/08/01 14:59:59","0","すべてのキャラに使用できるグロウスフィア。キャラのステータスをLv280/RANK29まで強化できる。","21","999","2023/10/30 12:00:00"
"21951","1","専用装備１グロウスフィア / Lv240","0","0","10001","2030/08/01 14:59:59","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv240まで強化できる。","23","999","2022/06/15 15:00:00"
"21952","1","専用装備１グロウスフィア / Lv270","0","0","10002","2030/08/01 14:59:59","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv270まで強化できる。","23","999","2023/05/15 15:00:00"
"21953","1","専用装備１グロウスフィア / Lv290","0","0","10003","2030/08/01 14:59:59","0","すべてのキャラに使用できる専用装備１のグロウスフィア。専用装備１を作成し、Lv290まで強化できる。","23","999","2024/02/15"
"22001","1","精錬石","120","0","10","2030/08/01 14:59:59","0","キャラの装備強化に使用すると、装備強化Ptが10加算される。","3","999999","2015/12/17 15:00:00"
"22002","2","上精錬石","720","0","60","2030/08/01 14:59:59","0","キャラの装備強化に使用すると、装備強化Ptが60加算される。","3","999999","2015/12/17 15:00:00"
"22003","3","精錬結晶","2400","0","200","2030/08/01 14:59:59","0","キャラの装備強化に使用すると、装備強化Ptが200加算される。","3","999999","2015/12/17 15:00:00"
"23001","1","スキップチケット","0","0","0","2030/08/01 14:59:59","0","クリアランク★3を獲得したクエストの、プレイ時間をスキップするチケット。","5","999999","2015/12/17 15:00:00"
"23002","1","ファストチケット","0","0","0","2030/08/01 14:59:59","0","アドベンチャーのクエストにかかる時間を短縮することができるチケット。","5","999999","2015/12/17 15:00:00"
"24001","1","プラチナガチャチケット","0","0","0","2030/08/01 14:59:59","0","プラチナガチャやピックアップガチャを1回引くことができるガチャチケット。","8","999","2015/12/17 15:00:00"
"24003","1","共闘チケット","0","0","0","2030/08/01 14:59:59","0","共闘時に使用すると、クリア時の報酬が豪華になるチケット。","10","999","2015/12/17 15:00:00"
"24004","1","10回ガチャチケット","0","0","0","2030/08/01 14:59:59","0","ガチャを10回引くことができるガチャチケット。","8","999","2015/12/17 15:00:00"
"24005","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 1）","0","0","0","2030/08/01 14:59:59","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","17","999","2020/08/04 12:00:00"
"24006","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 2）","0","0","0","2030/08/01 14:59:59","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","17","999","2020/09/03 19:00:00"
"24007","1","★3確定 アニメガチャチケット （プリンセスコネクト！Re:Dive 3）","0","0","0","2030/08/01 14:59:59","0","対象の★3キャラをランダムで1キャラ仲間にできる特別なガチャチケット。","17","999","2020/10/01 17:00:00"
