1b8b940d31909c7780587d29c631466677108d70aead9695e63934d59260faa2,1bc0142efa475082bda1f891a21543a1f6cc320170e7bb0743dfda67ef698038,95cd5d01b20e7bebc01ceeb390648876f0881aa78c45558eb5bae3c11a08a6e3,712c1105bef889985800461ffb0351a8784415017d96f7a5ae4822c0bfa0a93b,bc3fbe658469c84fc53c90f0493f0c1fafd2599d38f0389a8b0d7b53e0a873a1,0c57eb376f6364dc7542c310869fac122f119915269cc7908b5059ed36d5e97b,b79a99a0aee689ba1ab0d769f685f7a29d7d9da690aabd68b2f6f9ef63932fbe
"0","0","0","1","3","料理入手イベント","1"
"0","0","0","2","1","ダイス入手イベント1","2"
"0","0","0","3","2","ダイス入手イベント2","2"
"1","3","0","4","0","ターン数カウントスキップ","3"
"0","2","1","5","100","マイル+100%","4"
"0","2","1","6","100","ミニゲームマイル+100%","5"
"0","3","1","7","300","ショップ割引イベント","6"
"0","3","1","8","300","ショップ割引イベント","6"
"2","3","0","98001","0","ターン数カウントスキップ1","3"
"1","3","0","98011","0","ターン数カウントスキップ1","3"
"2","3","0","98012","0","ターン数カウントスキップ2","3"
