dcdbe47f5c480bb0ced777c8d36b122527a8537ee16f28708741c8cf6097bd82,d17fe5a102ac4d194f6b2a795d674b1f121f69ba2501853bc8634585e46f9d5c,b6cb5bbc9f6d78a46b5071d926bd96d82fc3fa3c89f3d9f58b11df0467c56435,18ef179d3eb96683c3e170b8d7cea901e2d81fd8082489cbbfcb3cc8f2dd5f5f,c0ca4791caf81d3d6f05a68b8a611521fccbb0cb7fc76339564e399d878099ed,2755b71d36bbe934586be300cfa4d448ca2b1d0ddb7b67e277a311d9c9ca1aca,c3f559e1f46bb3e129113d1a91b64a570f179a9bfa5ac91bdc5393e2a6a59e2d,95033cbb3101c8240a4360bdbcd2074f60cb63147c5f2d244da9f199f9e5c7f0,b981720bcc877809f2ee17b4dab65e3e6cc8290f9bded6fb481960b69a8559e8,97c9f20081a544c8790e62c75e63c5a2644bafe8f23ecf7fb56b3da5167d810b,b149af2b101a73fd18ee7fa659061fb5fb59e8306f3c11b0ec0905db3aa3feb7
"01_uek_cmn_idol_def_N","-157","1010001","105831","1","0","100","-496","1","1","1.3"
"01_uek_cmn_idol_def_N","-178","1010002","105931","1","0","110","-355","1","1","1.3"
"01_uek_cmn_idol_def_N","-124","1010003","112631","1","1","100","410","1","1","1.3"
"01_uek_cmn_idol_def_N","-258","1010004","112531","1","1","110","389","1","1","1.3"
"01_uek_cmn_idol_def_N","-234","1010005","106031","1","0","120","-415","1","1","1.3"
"01_uek_cmn_idol_def_N","-235","1010006","112431","1","1","120","262","1","1","1.3"
"","1","1010007","01_uek_01_peko","3","0.2","0","01_uek_cmn_pose03","1","105831","0"
"","1","1010008","01_uek_01_kokkoro","3","0.2","0","01_uek_talk_normal","1","105931","0"
"","1","1010009","01_uek_01_kyaru","3","0.2","0","01_uek_cmn_pose02","1","106031","0"
"","1","1010010","01_uek_01_mio","3","0.2","0","01_uek_cmn_pose03","1","112631","0"
"","1","1010011","01_uek_01_rin","3","0.2","0","01_uek_cmn_pose02","1","112531","0"
"","1","1010012","01_uek_01_uduki","3","0.2","0","01_uek_cmn_pose01","1","112431","0"
"","","1010013","","93","","","","1","3",""
"","0","1010014","01_uek_cmn_pose03","3","","1","","1","112631","0.2"
"","0","1010015","01_uek_cmn_pose01","3","","1","","1","112431","0.2"
"","0","1010016","01_uek_cmn_pose03","3","","1","","1","105831","0.2"
"","1","1010017","01_uek_talk_normal","3","0.1","0","01_uek_cmn_idol_def_N","1","105931","0.2"
"","1","1010018","01_uek_cmn_pose02","3","0.1","0","01_uek_cmn_idol_def_N","1","106031","0.2"
"","1","1010019","01_uek_cmn_pose02","3","0.1","0","01_uek_cmn_idol_def_N","1","112531","0.2"
"","","1010020","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","11","","10","","1","105831",""
"","","1010021","","91","","","","1","0",""
"","","1010022","うえきちゃんが\nどこまで続くのか\n分からないほどです","11","","10","","1","105931",""
"","","1010023","","91","","","","1","0",""
"","","1010024","こういうのってさ\n上がどうなってるか\n見てみたいよね！","11","","10","","1","112631",""
"","","1010025","","91","","","","1","0",""
"","","1010026","確かにね…それに\nこうなった理由も\n分かるかも","11","","10","","1","112531",""
"","","1010027","","91","","","","1","0",""
"","","1010028","ま、興味はあるし\n付き合ってあげるわ","11","","10","","1","106031",""
"","","1010029","","91","","","","1","0",""
"","","1010030","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","11","","10","","1","112431",""
"","","1010031","","91","","","","1","0",""
"02_uek_cmn_idol_def_N","0","1020001","104431","1","0","100","0","2","1","1.3"
"","0","1020002","02_uek_02_ilya","3","","0","02_uek_02_ilya_loop","2","104431",""
"","","1020003","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","11","","10","0","2","104431",""
"","0","1020004","","91","","","","2","0",""
"01_uek_cmn_idol_def_N","-10","1030001","105831","1","0","100","-140","3","1","1.3"
"01_uek_cmn_idol_def_N","10","1030002","105931","1","1","100","120","3","1","1.3"
"01_uek_cmn_idol_def_N","0","1030003","106031","1","1","100","0","3","1","1.3"
"","0","1030004","01_uek_03_peko","3","","0","01_uek_03_peko_loop","3","105831",""
"","0","1030005","01_uek_03_kyaru","3","","0","01_uek_03_kyaru_loop","3","106031",""
