17fcf413ffe484b33f9f21a80bb72550d71871d31eabe15805aee63a4f06b694,41b80d84ff919772af6e2d9e7ac5fd496119eb124683becbd3c3481c41ac6777,827a241ee58653ecfd5620a4fe49e2c7c5c8d19c142269517846d3a857a62f52,e01eac48ad6c63a0419616d71cad882c8140850e4f8ad3485b1b9eab72cc035f,92756ddb8600e64ddd111eba18c78fe3487ec4965d830c35a8cd51930f7800d0,64329ce9e698b360ea6fc9046bac71b5dfbe4841416ac6e1be144385bfd65aca
"0","111011101","101001","1","1","1110111"
"0","111021101","101002","1","1","1110211"
"0","133011101","301","3","1","1330111"
"0","133011201","301","3","1","1330112"
"500","133020101","302","3","0","1330201"
"500","133020201","302","3","0","1330202"
"1","133030101","303","3","0","1330301"
"250","133030201","303","3","0","1330302"
"1","133030301","303","3","0","1330303"
"1","133030401","303","3","0","1330304"
"250","133030501","303","3","0","1330305"
"1","133030601","303","3","0","1330306"
"1000","133040101","304","3","0","1330401"
"1000","133040201","304","3","0","1330402"
"1000","133040301","304","3","0","1330403"
"1000","133040401","304","3","0","1330404"
"0","133051101","305","3","1","1330511"
"0","133051201","305","3","1","1330512"
"1","134010101","401","3","0","1340101"
"1","134010201","401","3","0","1340102"
"0","134021101","402","3","1","1340211"
"0","134021201","402","3","1","1340212"
"1","140010101","1","4","0","1400101"
"1","140010201","1","4","0","1400102"
"10","140010301","1","4","0","1400103"
"0","140020101","2","4","0","1400201"
"0","210000101","0","1","0","2100001"
"0","211030101","101003","1","0","2110301"
"0","221010101","100001","2","0","2210101"
"0","221020101","100002","2","0","2210201"
"0","221030101","100003","2","0","2210301"
"0","221050101","100005","2","0","2210501"
"0","221070101","100007","2","0","2210701"
"0","221080101","100008","2","0","2210801"
"0","221090101","100009","2","0","2210901"
"0","221100101","100010","2","0","2211001"
"0","221110101","100011","2","0","2211101"
"0","221120101","100012","2","0","2211201"
"0","221130101","100013","2","0","2211301"
"0","221140101","100014","2","0","2211401"
"0","221160101","100016","2","0","2211601"
"0","221170101","100017","2","0","2211701"
"0","222020101","201020","1","0","2220201"
"0","222040101","201040","1","0","2220401"
"0","222050101","201050","1","0","2220501"
"0","222060101","201060","1","0","2220601"
"0","222070101","201070","1","0","2220701"
"0","222080101","201080","1","0","2220801"
"0","222090101","201090","1","0","2220901"
"0","222100101","201100","1","0","2221001"
"0","222110101","201110","1","0","2221101"
"0","222130101","201130","1","0","2221301"
"0","222140101","201140","1","0","2221401"
"0","222160101","201160","1","0","2221601"
"0","222180101","201180","1","0","2221801"
"0","222190101","201190","1","0","2221901"
"0","222200101","201200","1","0","2222001"
"0","222210101","201210","1","0","2222101"
"0","222220101","201220","1","0","2222201"
"0","222230101","201230","1","0","2222301"
"0","222240101","201240","1","0","2222401"
"0","222250101","201250","1","0","2222501"
"0","222270101","201270","1","0","2222701"
"0","222280101","201280","1","0","2222801"
"0","222290101","201290","1","0","2222901"
"0","222300101","201300","1","0","2223001"
"0","222320101","201320","1","0","2223201"
"0","222340101","201340","1","0","2223401"
"0","222350101","201350","1","0","2223501"
"0","222360101","201360","1","0","2223601"
"0","222370101","201370","1","0","2223701"
"0","222380101","201380","1","0","2223801"
"0","222390101","201390","1","0","2223901"
"0","222400101","201400","1","0","2224001"
"0","222410101","201410","1","0","2224101"
"0","222430101","201430","1","0","2224301"
"0","222440101","201440","1","0","2224401"
"0","222470101","201470","1","0","2224701"
"0","222480101","201480","1","0","2224801"
"0","222490101","201490","1","0","2224901"
"1000","233010101","301","3","0","2330101"
"1000","233050101","305","3","0","2330501"
"0","234020101","402","3","0","2340201"
"0","234030101","403","3","0","2340301"
"0","240010101","1","4","0","2400101"
"0","310000101","0","1","0","3100001"
"0","310000102","0","1","0","3100002"
"0","311010101","101001","1","0","3110101"
"0","311020101","101002","1","0","3110201"
