480b644c857683813d4e7bebf746e2b752fcb47051ac4dff60697b41cac2b0ad,7b31a509e1cbd92a750745683ce98f83446305a8de76b98fa758408af47f32e8,77ac25b8ed79ef93cd95bc811c6f9d39d78786b4f78f5b838f4ada4c07eb2405,07a1875c64bf6df2d4d402c8f2bb58b40de88b4565835d0c7ece921ba6a44669,b342f1acb5e5ad39fae3dacb8b92981134756f817aa262c88f92fadece3391a3,2caa3ac7b164bfbdf5e401ca864661f07004687693192fa44df079a1aea5588f,c04f2cdb8990a24af7cf757b1d6b041fd9387b79f20bb4281c80b6b7328de023,4684598b1eb80af204a4e4dcb8c51f257c9b9081abd69844d991a1377ea59ecb,0a9d24dc60053801acaa078550c2a10bc9f66137d468fda30d167b563e08aae8,ff4d71f60aeb993bcc4229b0d95f3037e7ca3e77bed4df5df6f273e6d12ca425
"1","1","0","20","100","1","3","10000","パーツを20個獲得しよう","1"
"2","2","0","25","100","1","3","10001","パーツを25個獲得しよう","1"
"2","3","0","30","100","1","3","10002","パーツを30個獲得しよう","1"
"3","4","0","35","100","1","3","10003","パーツを35個獲得しよう","1"
"3","5","0","40","100","1","3","10004","パーツを40個獲得しよう","1"
"4","6","0","45","100","1","3","10005","パーツを45個獲得しよう","1"
"4","7","0","50","100","1","3","10006","パーツを50個獲得しよう","1"
"3","101","0","1500","101","2","2","20000","総戦力を1500以上にしよう","1"
"3","102","0","2000","101","2","2","20001","総戦力を2000以上にしよう","1"
"3","103","0","2500","101","2","2","20002","総戦力を2500以上にしよう","1"
"3","104","0","3000","101","2","2","20003","総戦力を3000以上にしよう","1"
"3","105","0","3500","101","2","2","20004","総戦力を3500以上にしよう","1"
"4","106","0","4000","101","2","2","20005","総戦力を4000以上にしよう","1"
"4","107","0","4500","101","2","2","20006","総戦力を4500以上にしよう","1"
"4","108","0","5000","101","2","2","20007","総戦力を5000以上にしよう","1"
"4","109","0","6000","101","2","2","20008","総戦力を6000以上にしよう","1"
"4","110","0","7000","101","2","2","20009","総戦力を7000以上にしよう","1"
"5","111","0","8000","101","2","2","20010","総戦力を8000以上にしよう","1"
"5","112","0","9000","101","2","2","20011","総戦力を9000以上にしよう","1"
"5","600","0","10000","101","2","2","20012","総戦力を10000以上にしよう","1"
"2","201","0","100","200","3","4","30000","バトルポイントを累計100pt獲得しよう","2"
"2","202","0","200","200","3","4","30001","バトルポイントを累計200pt獲得しよう","2"
"2","203","0","300","200","3","4","30002","バトルポイントを累計300pt獲得しよう","2"
"2","204","0","400","200","3","4","30003","バトルポイントを累計400pt獲得しよう","2"
"2","205","0","500","200","3","4","30004","バトルポイントを累計500pt獲得しよう","2"
"3","206","0","600","200","3","4","30005","バトルポイントを累計600pt獲得しよう","2"
"3","207","0","700","200","3","4","30006","バトルポイントを累計700pt獲得しよう","2"
"3","208","0","800","200","3","4","30007","バトルポイントを累計800pt獲得しよう","2"
"3","209","0","900","200","3","4","30008","バトルポイントを累計900pt獲得しよう","2"
"3","210","0","1000","200","3","4","30009","バトルポイントを累計1000pt獲得しよう","2"
"7","401","0","5","400","5","1","50000","フブキから5個パーツを獲得しよう","4"
"7","402","0","10","400","5","1","50001","フブキから10個パーツを獲得しよう","4"
"7","403","0","15","400","5","1","50002","フブキから15個パーツを獲得しよう","4"
"7","404","0","20","400","5","1","50003","フブキから20個パーツを獲得しよう","4"
"7","405","0","25","400","5","1","50004","フブキから25個パーツを獲得しよう","4"
"7","406","0","30","400","5","1","50005","フブキから30個パーツを獲得しよう","4"
"7","407","0","35","400","5","1","50006","フブキから35個パーツを獲得しよう","4"
"7","408","0","40","400","5","1","50007","フブキから40個パーツを獲得しよう","4"
"7","409","0","45","400","5","1","50008","フブキから45個パーツを獲得しよう","4"
"6","700","0","50","400","5","1","50009","フブキから50個パーツを獲得しよう","4"
"7","999","30009","800","209","6","4","60000","バトルポイントを800pt獲得しよう（何度でも）","2"
"6","799","0","14","300","7","3","70000","ステージ14をクリアしよう","3"
"8","800","0","50","301","7","3","70001","ステージ50をクリアしよう","3"
