b753b67b9074213a2e24b3d3e7ea8cb4c892af9565bad26b50cc1d03afed6a7c,8928ae7d8aaf1e0afeab6a118bf9905a467a55beac418c0ffc090d5edd16ffc2,3bd80ee4d0542aab1ca8664af628baf5e0ae1771f926901db06678ed834c824a,f9f18dac64d4f9b184c921f12a29917b74ba70883a850329b3902594af368c19,6504f3547154f42635172b08e2f92b9d3705c7085154607bbc22c4564f384ae0,cbed2af34bb4aa631b7aea0c8b2d8637c66eef5472d949caf5cc65314b30ab51,ff5d7e6b68d7476b2326b4f564ff3cd1b3c65d361cbb35ca8a520f855b5b2b10,b15382c2b76639f622162994696355d87a5cf779086da74a38ab4410a24f36f5,173c7b0fcb4693491184e3d7343ab66e2bebc98b17eaa49d91582c40eb98e36f,609e0f157f38b25152d4bfae19a6d38f1795eecbbb13a3d13a81c75528240f9b
"オープニング","懐かしき過去の結晶","10110","0","20059104","0","0","0","5110601","0"
"オクトーの追想　その1","リーダーはどっちだ！","10110","8","20059104","1","30","91002","5110602","0"
"オクトーの追想　その2","勝ちたい理由","10110","8","20059105","1","30","91002","5110603","0"
"クリスティーナの追想　その1","聞き上手な誓約女君","10110","8","20059108","1","30","91002","5110604","0"
"ダイゴの追想　その1","秘めたる本当の実力……？","10110","8","20059109","1","30","91002","5110605","0"
"ラビリスタの追想　その1","友と書いてライバルと読む","10110","8","20059110","1","30","91002","5110606","0"
"マサキの追想","悪と正義の高笑い","10110","8","20059112","1","30","91002","5110607","0"
"ラジラジの追想　その1","プリンセスナイトとは","10110","8","20059113","1","30","91002","5110608","0"
"オクトーの追想　その3","まだ見ぬ日々に想い馳せて","10110","8","20059114","1","30","91002","5110609","0"
"ラジラジの追想　その2","跳躍王のお仕置き","10111","8","20060103","1","30","91002","5111602","0"
"クリスティーナの追想　その2","二人なら絶対だって","10111","8","20060105","1","30","91002","5111603","0"
"ダイゴの追想　その2","虎の尾を踏む","10111","8","20060108","1","30","91002","5111604","0"
"ラビリスタの追想　その2","一番怪しい七冠は誰だ","10111","8","20060109","1","30","91002","5111605","0"
"ネネカの追想","簡単すぎる問題","10111","8","20060110","1","30","91002","5111606","0"
"オクトーの追想　その4","魔物使いは語る","10111","8","20060113","1","30","91002","5111607","0"
"オクトーの追想　その5","悪党たちの目指す未来","10111","8","20060113","1","30","91002","5111608","0"
"エンディング","過去を超える思い出を","10111","16","0","0","1","9000222","5111609","1"
