851ccf20fd06609a74c3920d36f70760a9cf05606ccccb49b7e8e6b2d119b7df,0b1f62884614a5baf4d7fce3c3f4d0890955f251651d3e5248c827cba68e0e6e,d5be839bba5a093e59268d682d6a668f92ed376d0dfd3e120fbee37f1f29c585,d97453bafb5d3596b4aef0fd971ed5ec79968fdae2b4f1d4d19b47bff65823bc,4c84d586e2260c86825d4190aa74513346128ea91a3c1b146603126640e6775a,06f8ffd443cd2cfb1d0defe121b3aec507060982704f8cf89e866696ad9f98ee,c445b00ba9dc34e062fbd17569e98418abb594b1f7293faa0a819eca15bca517
"1","1","2","3","105","105","105"
"2","1","2","3","105","120","120"
"3","1","2","3","100","120","100"
"4","1","2","3","105","120","120"
"5","1","2","3","105","120","105"
"6","1","2","3","100","105","100"
"7","1","2","3","120","105","100"
"8","1","2","3","100","105","100"
"9","1","2","3","105","120","120"
"10","1","2","3","120","105","100"
"11","1","2","3","100","100","105"
"12","1","2","3","105","120","120"
"13","1","2","3","105","105","105"
"14","1","2","3","105","105","120"
"15","1","2","3","120","120","120"
"16","1","2","3","100","100","100"
"17","1","2","3","120","120","105"
"18","1","2","3","120","105","120"
"19","1","2","3","105","100","105"
"20","1","2","3","100","105","105"
"21","1","2","3","100","100","105"
"22","1","2","3","120","120","120"
"23","1","2","3","105","100","100"
"24","1","2","3","120","120","120"
"25","1","2","3","105","120","105"
"26","1","2","3","100","100","100"
"27","1","2","3","100","100","100"
"28","1","2","3","100","100","100"
"29","1","2","3","120","120","120"
"30","1","2","3","105","105","120"
