1fa348b5b9bce53dd0748110e8d0dab6ac69c69f5aa0b7626c1fee828d0796fe,42a863c756a3dd17982392a86b1c3849713b8ae8e09b0dfed324a9576ca7e506,26c0082326c502095420a8cae3d3c60fa2dc87ec0a3e2f98bcbb005245c80910,9b71ec4b600911ec8c66f4f5ef17d6906a10ec479b778b3c1771773c86bb4e60,a4d338c5f9323fc77f9fc862ead120c135427be4b37d70897b4d064d54acc05f,6eb9e90b2ce968e6e6e745b8910717284049c36ab51f6244293db619d1ffd12e
"123001","2025/01/31 12:00:00","バトル開始後90秒間味方全体の物理\n防御力特大アップ","10201501","3002","10201001"
"123001","2025/01/31 12:00:00","バトル開始後90秒間味方全体の魔法\n防御力特大アップ","10201501","3004","10201002"
"106901","2025/01/31 12:00:00","バトル開始後90秒間敵全体の物理防\n御力特大ダウン","10201501","3011","10201003"
"106901","2025/01/31 12:00:00","バトル開始後90秒間敵全体の魔法防\n御力特大ダウン","10201501","3011","10201004"
"107101","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ","10201501","3001","10201005"
"107101","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201501","3010","10201006"
"107001","2025/01/31 12:00:00","バトル開始後90秒間魔法攻撃力極大\nアップ","10201501","3003","10201007"
"107001","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201501","3010","10201008"
"106801","2025/01/31 12:00:00","バトル開始後90秒間味方全体の物理\n攻撃力特大アップ","10201501","3001","10201009"
"106801","2025/01/31 12:00:00","バトル開始後味方全体のＴＰ大回復","10201501","3014","10201010"
"111501","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ","10201501","3001","10201011"
"111501","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201501","3010","10201012"
"123801","2025/01/31 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ","10201501","3001","10201013"
"123801","2025/01/31 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201501","3010","10201014"
"133901","2025/02/10 12:00:00","バトル開始後90秒間物理攻撃力極大\nアップ","10201501","3001","10201015"
"133901","2025/02/10 12:00:00","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","10201501","3010","10201016"
"115001","2025/01/31 12:00:00","バトル開始後90秒間味方全体に継続\nＨＰ回復状態付与","10201501","3005","10201017"
"115001","2025/01/31 12:00:00","バトル開始後味方全体の行動不能\n2回無効","10201501","3013","10201018"
