1413d807867129f7b49c10c5137795af3939fe718561d64951d66ce61fd380aa,b25502c3f0d262871d4a682cdad310c2bef29e2cb67fcc4a5d1788d5e0592008,b1180998927c3dd7e5b1e83e8fc3e2874a9bb8050315aad79146969b40c20772,ae701662244fc9d8108663b215ff7312f355d0d6ae5ca1bdc453051c219cfa07,968c41648f3f8d777f18fe83d5c10ac959a3ffacc4d1ccd4eff97a10fede7cba,1698e503ad808f84104b25bb6ac72ee82ee005607a3699eafa50bdd3399b19ec
"10008103","0","10008","1","1","10008001"
"10008104","0","10008","1","2","10008002"
"10008105","0","10008","1","3","10008003"
"10008107","0","10008","1","4","10008004"
"10008111","0","10008","1","5","10008005"
"0","0","10008","2","201","10008006"
"10008105","0","10008","201","101","10008201"
"10008107","0","10008","201","102","10008202"
"10008111","0","10008","201","103","10008203"
"10008115","0","10008","202","111","10008204"
"0","0","10008","101","105601","10008301"
"10008103","0","10008","101","100901","10008302"
"10008104","0","10008","101","101301","10008303"
"10008105","0","10008","101","105601","10008304"
"10008107","0","10008","101","101301","10008305"
"10008111","0","10008","101","100901","10008306"
"0","0","10008","102","105601","10008307"
"0","0","10010","2","201","10010001"
"10010112","0","10010","1","2","10010002"
"10010115","0","10010","1","3","10010003"
"10010103","0","10010","1","4","10010004"
"10010105","0","10010","1","5","10010005"
"10010107","0","10010","1","6","10010006"
"10010109","0","10010","1","7","10010007"
"10010112","0","10010","211","101","10010201"
"10010115","0","10010","211","0","10010202"
"10010110","101471","10010","501","101461","10010501"
"10010110","101472","10010","501","101462","10010502"
"10010110","101473","10010","501","101463","10010503"
"1001004","0","10010","3","211","10010531"
"1001201","0","10012","4","1","10012001"
"1001202","0","10012","4","2","10012002"
"1001203","0","10012","4","3","10012003"
"1001204","0","10012","4","4","10012004"
"1001201","0","10012","5","101","10012301"
"1001202","0","10012","5","101","10012302"
"1001203","0","10012","5","101","10012303"
"0","0","10012","6","501","10012401"
"1001204","0","10012","3","211","10012531"
"1001304","0","10013","3","211","10013531"
"1001504","0","10015","3","211","10015531"
"10017102","0","10017","1","1","10017001"
"10017108","0","10017","1","2","10017002"
"10017115","0","10017","1","3","10017003"
"0","0","10017","101","105801","10017301"
"10017102","0","10017","101","109901","10017302"
"0","0","10017","102","109901","10017303"
"1001704","0","10017","3","211","10017531"
"10021112","101931","10021","501","101921","10021001"
"10021112","101932","10021","501","101922","10021002"
"10021112","101933","10021","501","101923","10021003"
"10021112","100351","10021","501","100011","10021004"
"10021112","100352","10021","501","100012","10021005"
"10021112","100353","10021","501","100013","10021006"
"10021112","100354","10021","501","100014","10021007"
"10021112","100355","10021","501","100015","10021008"
"10021112","100356","10021","501","100016","10021009"
"10021112","100357","10021","501","100017","10021010"
"10021112","100358","10021","501","100018","10021011"
"10021112","100359","10021","501","100019","10021012"
"1003904","0","10039","3","211","10039531"
"10053102","0","10053","1","1","10053001"
"10053108","0","10053","1","2","10053002"
"10053115","0","10053","1","3","10053003"
"0","0","10053","101","105801","10053301"
"10053102","0","10053","101","109901","10053302"
"0","0","10053","102","109901","10053303"
"1005304","0","10053","3","211","10053531"
"10084102","0","10084","1","1","10084001"
"10084112","0","10084","1","2","10084002"
"10084115","0","10084","1","3","10084003"
"10085102","0","10085","1","1","10085001"
"10085108","0","10085","1","2","10085002"
"10085115","0","10085","1","3","10085003"
"10112102","0","10112","1","1","10112001"
"10112112","0","10112","1","2","10112002"
"10112115","0","10112","1","3","10112003"
"10113102","0","10113","1","1","10113001"
"10113108","0","10113","1","2","10113002"
"10113115","0","10113","1","3","10113003"
"10153102","0","10153","1","1","10153001"
"10153108","0","10153","1","2","10153002"
"10153115","0","10153","1","3","10153003"
"0","0","10153","101","105801","10153301"
"10153102","0","10153","101","109901","10153302"
"0","0","10153","102","109901","10153303"
"1015304","0","10153","3","211","10153531"
"20008103","0","20008","1","1","20008001"
"20008104","0","20008","1","2","20008002"
"20008105","0","20008","1","3","20008003"
"20008107","0","20008","1","4","20008004"
"20008111","0","20008","1","5","20008005"
"0","0","20008","2","201","20008006"
"20008105","0","20008","201","101","20008201"
"20008107","0","20008","201","102","20008202"
"20008111","0","20008","201","103","20008203"
"20008115","0","20008","202","111","20008204"
"0","0","20008","101","105601","20008301"
"20008103","0","20008","101","100901","20008302"
"20008104","0","20008","101","101301","20008303"
"20008105","0","20008","101","105601","20008304"
"20008107","0","20008","101","101301","20008305"
"20008111","0","20008","101","100901","20008306"
"0","0","20008","102","105601","20008307"
"0","0","20010","2","201","20010001"
"20010110","0","20010","1","1","20010002"
"20010112","0","20010","1","2","20010003"
"20010115","0","20010","1","3","20010004"
"20010103","0","20010","1","4","20010005"
"20010105","0","20010","1","5","20010006"
"20010107","0","20010","1","6","20010007"
"20010109","0","20010","1","7","20010008"
"20010112","0","20010","211","101","20010201"
"20010115","0","20010","211","0","20010202"
"20010110","101471","20010","501","101461","20010501"
"20010110","101472","20010","501","101462","20010502"
"20010110","101473","20010","501","101463","20010503"
"2001004","0","20010","3","211","20010531"
"2001201","0","20012","4","1","20012001"
"2001202","0","20012","4","2","20012002"
"2001203","0","20012","4","3","20012003"
"2001204","0","20012","4","4","20012004"
"2001201","0","20012","5","101","20012301"
"2001202","0","20012","5","101","20012302"
"2001203","0","20012","5","101","20012303"
"0","0","20012","6","501","20012401"
"2001204","0","20012","3","211","20012531"
"2001404","0","20014","3","211","20014531"
"20016112","101931","20016","501","101921","20016001"
"20016112","101932","20016","501","101922","20016002"
"20016112","101933","20016","501","101923","20016003"
"20016112","100351","20016","501","100011","20016004"
"20016112","100352","20016","501","100012","20016005"
"20016112","100353","20016","501","100013","20016006"
"20016112","100354","20016","501","100014","20016007"
"20016112","100355","20016","501","100015","20016008"
"20016112","100356","20016","501","100016","20016009"
"20016112","100357","20016","501","100017","20016010"
"20016112","100358","20016","501","100018","20016011"
"20016112","100359","20016","501","100019","20016012"
"20046102","0","20046","1","1","20046001"
"20046112","0","20046","1","2","20046002"
"20046115","0","20046","1","3","20046003"
"20047102","0","20047","1","1","20047001"
"20047108","0","20047","1","2","20047002"
"20047115","0","20047","1","3","20047003"
