f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc,2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2
"01:33","bgm_M152","1","00:58","bgm_M152","キャラクターソング\n\n時間 / 01:33\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","Lost Princess"
"01:56","bgm_M153","2","01:01","bgm_M153","キャラクターソング\n\n時間 / 01:56\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","Connecting Happy！！"
"01:48","bgm_M61","3","00:00","bgm_M61_juke","メインクエスト\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","旅の始まり"
"01:35","bgm_M62","4","00:00","bgm_M62_juke","メインクエスト\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","森を駆ける風"
"01:18","bgm_M90","5","00:00","bgm_M90_juke","クランバトル\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","メサルティム"
"01:02","bgm_M32","6","00:00","bgm_M32_juke","ストーリーイベントテーマ\n-｢Smiley Contrast｣アレンジ-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","ハツネのプレゼント大作戦"
"02:34","bgm_M47","7","00:00","bgm_M47_juke","ストーリーイベントボスバトル\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","ジズ"
"01:40","bgm_M149","8","00:57","bgm_M149","キャラクターソング\n\n時間 / 01:40\n歌　 / ハツネ（大橋彩香）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","Smiley Contrast"
"00:59","bgm_M97","9","00:00","bgm_M97_juke","クランバトル\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ミノタウロス"
"01:00","bgm_M98","10","00:00","bgm_M98_juke","ストーリーイベントテーマ\n-｢リトルアドベンチャー｣アレンジ-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","リトル・リリカル・アドベンチャーズ"
