0e56888ccd16cd0b5ed2b27c5a3e43bf34fe219272882a18c62f1aeb5c84f0f4,42483b768687c54c66aa6fbd024166c1b9869d4c052b4e56546ca0abfaba1a3d,939a40f62e74ae70bf5112b836056a7de73ca677f7f0cdbc19dedd29c83547c5,c72bfe34a54055619983e028ec4c8ce7a8a9360904fccad2d1a6844c6401809c,bd9b6fd6c3d1703c4aa51b86414c2f8e595c22206a6203e821c4ff92b69a15b0,72099f8db0323ad4a08ef72b9adc6f29b00c662b5dce20052a599a39c217e99f,912848ca5c99788cfc7884c9d836ce5dc69d08ef63f6177fec96c3f8326f7013,c4bde1c7caa890abdb33f5b314d52b39842ee4a8498c30f8442b1c5b5de9ea87,7a658fd08fae21cc49aa7f95251bb9199567270218e47a954bb84ff07e1e632f,02706b6cec14d7fd045fe34fa5c7953333d9098569f18930c3a1873b6d8034ab,144887c10d2d8292010d7a8c5308a47a90c0974763731620d25080fa43262bb5,b53567e55d546d7e4e5eae631fc814ff885171f83a1c5009fff77e3fd4429056
"0","1","0","3001","0","3001","3","バトル開始時、味方のＴＰが250アップ","TP250アップ","-1","3001","2"
"0","1","0","3002","0","3002","3","バトル開始時、味方のＴＰが250アップ","TP250アップ","-1","3002","2"
"0","1","0","3003","0","3003","3","バトル開始時、味方のＴＰが250アップ","TP250アップ","-1","3003","2"
"0","1","0","3004","0","3004","3","バトル開始時、味方のＴＰが250アップ","TP250アップ","-1","3004","2"
"0","3","0","3006","0","3006","3","バトル開始時、味方のＴＰが1000アップ","TP1000アップ","-1","3006","2"
"0","3","0","3007","0","3007","3","バトル開始時、味方のＴＰが1000アップ","TP1000アップ","-1","3007","2"
"13125000000000","1","0","3001","9006503","30011","3","バトル開始から90秒間、味方の物理攻撃力がアップ","物理攻撃アップ90秒","25200","30011","3"
"9000000000000","1","0","3001","9006504","30012","3","バトル開始から90秒間、敵の物理防御力がダウン","物理防御ダウン90秒","72000","30012","3"
"9000000000000","1","0","3002","9006506","30021","3","バトル開始から90秒間、味方のＨＰが毎秒回復","毎秒ＨＰ回復90秒","39600","30021","3"
"4500000000000","1","0","3002","9006507","30022","3","バトル開始から90秒間、味方のＴＰが毎秒アップ","毎秒ＴＰアップ90秒","72000","30022","3"
"8700000000000","1","0","3003","9006509","30031","3","バトル開始から15秒間、味方が無敵状態になる","無敵15秒","43200","30031","3"
"6000000000000","1","0","3003","9006510","30032","3","バトル開始から90秒間、敵の魔法攻撃力がダウン","魔法攻撃ダウン90秒","72000","30032","3"
"12600000000000","1","0","3004","9006512","30041","3","バトル開始から15秒間、敵がスタン状態になる","スタン15秒","32400","30041","3"
"9000000000000","1","0","3004","9006513","30042","3","バトル開始から90秒間、敵の物理防御力がダウン","物理防御ダウン90秒","43200","30042","3"
"38280000000000","2","0","3005","9006516","30051","3","バトル開始から90秒間、味方の魔法攻撃力がアップ","魔法攻撃アップ90秒","43200","30051","3"
"26250000000000","3","0","3006","9006519","30061","3","バトル開始から90秒間、味方のＴＰが毎秒アップ","毎秒ＴＰアップ90秒","21600","30061","3"
"15000000000000","3","0","3006","9006520","30062","3","バトル開始から90秒間、敵の魔法防御力がダウン","魔法防御ダウン90秒","43200","30062","3"
