6643b16b7ccfe944f5a1def6d09f9406ff5e10d0c84f0514f22ee65d12d4d85b,245f60be8daae331ed31c0fe559454a800c78352f5fadbd0e302b7d23188d4da,1a503b1fd0ad1e86320afc30d2ecaa693a6e8c0e64ba95c68cb9731f0eae276b,306dde609cbbc141bbed89f5bd1096c9a01dd786cfb3c90569a5c6e6c0f13f40,a318b8a363f5db2892c97a237ad2e5cf38c14ef05dc77d346fec9c47c1b8bee0,1b45fa37423b602f87664af6d7864f80ed51f8b15d9cc7d62d158aebf8be8e4d,df294447339917241f3b49f1523dce7f080c22829bc5967937f38c94236a73fa
"1","9999999","50","0","0","50","1"
"2","9999999","80","0","0","20","2"
"3","2000","30","0","0","70","3"
"4","5000","40","30","0","30","3"
"5","10000","40","40","20","0","3"
"6","15000","30","40","30","0","3"
"7","20000","25","40","35","0","3"
"8","25000","20","40","40","0","3"
"9","30000","15","40","45","0","3"
"10","35000","10","40","50","0","3"
"11","40000","10","35","55","0","3"
"12","45000","5","35","60","0","3"
"13","50000","5","30","65","0","3"
"14","55000","0","30","70","0","3"
"15","60000","0","25","75","0","3"
"16","65000","0","20","80","0","3"
"17","70000","0","15","85","0","3"
"18","75000","0","10","90","0","3"
"19","80000","0","5","95","0","3"
"20","9999999","0","0","100","0","3"
